ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"CEPAL:11362/1100";"Situación de la agricultura latinoamericana = Agriculture in Latin America";"En: Estudio económico de América Latina, 1966 - E/CN.12/767/Rev.1 - 1967 - p. 367-436";"";"";"Economic Commission for Latin America and the Caribbean;Food and Agriculture Organization of the United Nations (FAO)";"";"Economic Commission for Latin America and the Caribbean";"1967-09-30";"en;es";"agrarian reform;agriculture;land tenure";"Indigenous & Community Land Rights";"005;013";"Institutional & promotional materials";"http://hdl.handle.net/11362/1100";"http://repositorio.cepal.org/bitstream/11362/1100/2/ESLA1966_en.pdf";"http://repositorio.cepal.org/bitstream/11362/1100/18/1966_es.pdf.jpg";"";"";"";"AGRICULTURA;DESARROLLO AGRICOLA;REFORMA AGRARIA;TENENCIA DE LA TIERRA;AGRARIAN REFORM;AGRICULTURAL DEVELOPMENT;AGRICULTURE;LAND TENURE";""
"CEPAL:11362/1892";"Planificación regional y urbana en América Latina";"";"Seminario Internacional sobre Planificación Regional y Urbana en América Latina";"";"Friedrich-Ebert-Stiftung - Instituto Latinoamericano de Investigaciones Sociales;Instituto Latinoamericano y del Caribe de Planificación Económica y Social";"Siglo XXI Editores";"Economic Commission for Latin America and the Caribbean";"1974-12-31";"es";"urban planning";"Urban Tenure";"005;013";"Institutional & promotional materials";"http://hdl.handle.net/11362/1892";"http://repositorio.cepal.org/bitstream/11362/1892/1/S3092063S471_es.pdf";"http://repositorio.cepal.org/bitstream/11362/1892/3/S3092063S471_es.pdf.jpg";"";"";"407";"PLANIFICACION REGIONAL;PLANIFICACION URBANA;REGIONAL PLANNING;URBAN PLANNING";""
"CEPAL:11362/2100";"La crisis urbana en América Latina y el Caribe: reflexiones sobre alternativas de solución";"";"Recoge textos elaborados en los últimos años por expertos de la CEPAL y por autores externos para la Unidad Conjunta CEPAL/CNUAH de Asentamientos Humanos, en cumplimiento de su programa de trabajo. Los textos se agrupan segun 3 líneas temáticas, 1) Areas críticas para la formulación de políticas de asentamiento humano en América Latina y el Caribe, 2) Metropolización y crisis, y 3) Planificación y gestión del desarrollo nacional: el rol de los gobiernos locales.";"";"Economic Commission for Latin America and the Caribbean";"Economic Commission for Latin America and the Caribbean";"Economic Commission for Latin America and the Caribbean";"1989-12-31";"es";"human settlements;urban planning";"Urban Tenure";"419";"Journal Articles & Books";"http://hdl.handle.net/11362/2100";"http://repositorio.cepal.org/bitstream/11362/2100/1/S8960866_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2100/3/S8960866_es.pdf.jpg";"";"";"197";"ASENTAMIENTOS HUMANOS;CIUDADES;INGRESOS;PLANIFICACION URBANA;POLITICA DE VIVIENDA;CITIES;HOUSING POLICY;HUMAN SETTLEMENTS;INCOME;URBAN PLANNING";""
"CEPAL:11362/2109";"Economía y comunidades andinas ecuatorianas: enfoques conceptuales";"En: Sobrevivencia campesina en ecosistemas de altura - E/CEPAL/G.1267 - 1983 - v. 1, p. 175-197";"Analiza los origines historicos de la comunidad andina ecuatoriana; la organizacion interna de las comunidades y economias campesinas; la articulacion de estas con el mercado, el Estado y la estructura de clases; el movimiento campesino y la lucha por la tierra; y las alternativas en la produccion, la organizacion, la educacion y las practicas sanitarias.";"Valarezo, Galo Ramón";"";"";"Economic Commission for Latin America and the Caribbean";"1983-12-31";"es";"land tenure";"Indigenous & Community Land Rights";"ECU";"Journal Articles & Books";"http://hdl.handle.net/11362/2109";"http://repositorio.cepal.org/bitstream/11362/2109/2/S8300001_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2109/10/S8391627_es.pdf.jpg";"";"";"";"ASENTAMIENTOS RURALES;CAMPESINADO;MOVIMIENTOS CAMPESINOS;POLITICA AGRARIA;TENENCIA DE LA TIERRA;ECOSISTEMAS DE MONTAÑA;AGRICULTURAL POLICY;MOUNTAIN ECOSYSTEMS;LAND TENURE;PEASANT MOVEMENTS;PEASANTRY;RURAL SETTLEMENTS";""
"CEPAL:11362/2204";"Transformaciones recientes en el sector agropecuario brasileño: lo que muestran los censos";"";"Resumen Han pasado más de diez años desde la realización del último censo agropecuario. Con la publicación del nuevo censo es posible hacer un primer análisis de los cambios estructurales observados en el sector en el transcurso del período en cuestión. En el presente libro se investigan en profundidad las principales modificaciones en la estructura productiva y en el empleo de los factores productivos, especialmente la mano de obra y la tierra. La organización agraria brasileña ha sufrido significativas alteraciones durante la última década. Dichas transformaciones son el resultado de una nueva situación macroeconómica, que provoca cambios en el uso de la tierra: reducción de la superficie con cultivos y pastos naturales, aumento de la superficie utilizada con pastos artificiales. Un millón de predios agrícolas han desaparecido, así como 5.4 millones de puestos de trabajo. Estas alteraciones pueden atribuirse a políticas de ajuste económico y a la propia dinámica sectorial, lo que ha afectado a la utilización del espacio agropastoril y a su población. Asimismo, dichos cambios han tenido un impacto importante sobre la equidad y la distribución de la propiedad.";"Brustlein, Violette
David, Maria Beatriz de Albuquerque
De Biaggi, Enali M.
Rollo, Paula de Andrade
Waniez, Philippe
Rodrigues, Mônica dos Santos";"";"Economic Commission for Latin America and the Caribbean";"Economic Commission for Latin America and the Caribbean";"1999-11-30";"es";"land use";"Land, Climate Change & Environment";"BRA";"Journal Articles & Books";"http://hdl.handle.net/11362/2204";"http://repositorio.cepal.org/bitstream/11362/2204/1/S9970491_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2204/3/S9970491_es.pdf.jpg";"";"";"127";"DESARROLLO AGRICOLA;EXPLOTACIONES AGRICOLAS;INNOVACIONES;PRODUCTIVIDAD AGRICOLA;TIERRAS AGRICOLAS;USO DE LA TIERRA;AGRICULTURAL DEVELOPMENT;AGRICULTURAL LAND;AGRICULTURAL PRODUCTIVITY;FARMS;INNOVATIONS;LAND USE";""
"CEPAL:11362/2342";"Aspectos ambientales de la expansión de la frontera agropecuaria en la Amazonia: el frente de deforestación y los patrones de ocupación";"Seminario sobre el Proyecto Procesos Agropecuarios de Importancia en América Latina desde la Perspectiva Ambiental";"Presenta una detallada investigacion sobre formas de ocupacion rural y consecuencias en el Cerrado"" y la Amazonia brasilera.""";"Colomés, Alejandro";"";"";"Economic Commission for Latin America and the Caribbean";"1985-05-31";"es";"boundaries;deforestation;environment";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment";"BRA";"Journal Articles & Books";"http://hdl.handle.net/11362/2342";"http://repositorio.cepal.org/bitstream/11362/2342/1/S8510020_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2342/5/S8510020_es.pdf.jpg";"";"";"";"ASPECTOS AMBIENTALES;DEFORESTACION;FRONTERAS;MEDIO AMBIENTE;BOUNDARIES;DEFORESTATION;ENVIRONMENT;ENVIRONMENTAL ASPECTS";""
"CEPAL:11362/2359";"Mercados de tierras agrícolas en América Latina y el Caribe: una realidad incompleta";"Proyecto Opciones de Políticas para el Fomento del Desarrollo de Mercados de Tierras Agrícolas, con el Fin de Facilitar la Transferencia de Tierras a Pequeños Agricultores";"Resumen En el presente libro se abordan, en catorce artículos los principales desafíos enfrentados por el mercado de tierras de América Latina después de una década de incentivos para agilizarlos. La conclusión general es que su desarrollo ha sido insuficiente y que la complementación lograda con otros mercados es fundamental aunque aún limitada, pero que su perfeccionamiento le premitirá transformarse en un eficiente mecanismo de acceso a la tierra. En los artículos incluidos en la primera parte se examina el mercado de tierras, considerando aspectos determinantes de éste, entre otros el marco jurídico, los derechos de propiedad, los costos de transacción y el manejo conexo del mercado de aguas. Asimismo, se abordan dos temas de particular pertinencia para la región: el traspaso de la propiedad por herencia y el acceso a la tierra de los pueblos indígenas. En la segunda parte se presentan estudios de casos relativos al funcionamiento de los mercados de tierras en países de la región, con el fin de ofrecer una imagen de lo ocurrido en este campo a nivel nacional. En el artículo presentado en la tercera parte se analizan los elementos comunes observados en esta publicación y se exponen las principales conclusiones.";"";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Government of Germany";"Economic Commission for Latin America and the Caribbean";"Economic Commission for Latin America and the Caribbean";"2003-07-31";"es";"land rights;land tenure";"Indigenous & Community Land Rights";"419";"Journal Articles & Books";"http://hdl.handle.net/11362/2359";"http://repositorio.cepal.org/bitstream/11362/2359/1/S0303136_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2359/3/S0303136_es.pdf.jpg";"";"";"452";"DERECHOS A LA TIERRA;ESTUDIOS DE CASOS;MERCADO DE LA TIERRA;TENENCIA DE LA TIERRA;TIERRAS AGRICOLAS;AGRICULTURAL LAND;CASE STUDIES;LAND MARKET;LAND RIGHTS;LAND TENURE";""
"CEPAL:11362/2360";"Derechos de propiedad, costos de transacción, externalidades y mercados de tierras rurales en América Latina y el Caribe";"En: Mercados de tierras agrícolas en América Latina y el Caribe: una realidad incompleta - LC/G.2202-P - 2003 - p. 29-59";"Proyecto Opciones de Políticas para el Fomento del Desarrollo de Mercados de Tierras Agrícolas, con el Fin de Facilitar la Transferencia de Tierras a Pequeños Agricultores";"Vogelgesang, Frank";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Economic Commission for Latin America and the Caribbean;Government of Germany";"";"Economic Commission for Latin America and the Caribbean";"2003-07-31";"es";"land reform;land tenure;property rights";"Indigenous & Community Land Rights;Socio-Economic & Institutional Context";"419";"Journal Articles & Books;Reports & Research";"http://hdl.handle.net/11362/2360";"http://repositorio.cepal.org/bitstream/11362/2360/1/S0303136_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2360/5/S0303136_es.pdf.jpg";"";"";"";"DERECHOS DE PROPIEDAD;ECONOMIA AGRARIA;REFORMA DE TENENCIA DE LA TIERRA;TENENCIA DE LA TIERRA;TIERRAS AGRICOLAS;AGRICULTURAL ECONOMICS;AGRICULTURAL LAND;LAND REFORM;LAND TENURE;PROPERTY RIGHTS";""
"CEPAL:11362/2361";"Viejos problemas y nuevas realidades: la tierra y la investigación sobre políticas agrarias en América Latina y el Caribe";"En: Mercados de tierras agrícolas en América Latina y el Caribe: una realidad incompleta - LC/G.2202-P - 2003 - p. 61-83";"Proyecto Opciones de Políticas para el Fomento del Desarrollo de Mercados de Tierras Agrícolas, con el Fin de Facilitar la Transferencia de Tierras a Pequeños Agricultores";"Carter, Michael R.";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Economic Commission for Latin America and the Caribbean;Government of Germany";"";"Economic Commission for Latin America and the Caribbean";"2003-07-31";"es";"agrarian reform;land tenure;property rights";"Indigenous & Community Land Rights";"419";"Journal Articles & Books;Reports & Research";"http://hdl.handle.net/11362/2361";"http://repositorio.cepal.org/bitstream/11362/2361/1/S0303136_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2361/5/S0303136_es.pdf.jpg";"";"";"";"DERECHOS DE PROPIEDAD;ECONOMIA AGRARIA;REFORMA AGRARIA;TENENCIA DE LA TIERRA;AGRARIAN REFORM;AGRICULTURAL ECONOMICS;LAND TENURE;PROPERTY RIGHTS";""
"CEPAL:11362/2362";"Activos líquidos: derechos de aguas, mercados de aguas y consecuencias para los mercados de tierras rurales";"En: Mercados de tierras agrícolas en América Latina y el Caribe: una realidad incompleta - LC/G.2202-P - 2003 - p. 85-125";"Proyecto Opciones de Políticas para el Fomento del Desarrollo de Mercados de Tierras Agrícolas, con el Fin de Facilitar la Transferencia de Tierras a Pequeños Agricultores";"Bauer, Carl Jonathan";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH;Economic Commission for Latin America and the Caribbean;Government of Germany";"";"Economic Commission for Latin America and the Caribbean";"2003-07-31";"es";"water rights";"Indigenous & Community Land Rights";"CHL;MEX;USA";"Journal Articles & Books;Reports & Research";"http://hdl.handle.net/11362/2362";"http://repositorio.cepal.org/bitstream/11362/2362/1/S0303136_es.pdf";"http://repositorio.cepal.org/bitstream/11362/2362/5/S0303136_es.pdf.jpg";"";"";"";"DERECHOS SOBRE LAS AGUAS;MERCADO DE LA TIERRA;TIERRAS AGRICOLAS;AGRICULTURAL LAND;LAND MARKET;WATER RIGHTS";""
