"ID";"Title";"Subtitle";"Abstract/Description";"Authors";"Corporate authors";"Publishers";"Data provider";"Publication date";"Languages";"Related concepts";"Themes";"Geographical focus";"Resource types";"Link to the original website";"Link to the publication";"Thumbnail";"License";"Copyright details";"Pages";"Potential List";"Internal ID"
"ECC:26240";"UK Food Security and Climate Change";;"<p><em><strong>This primer explains the current situation concerning the United Kingdom’s food supply and how this is likely to change in the medium and long term as a result of climate change. It discusses likely threats to UK food security emerging from a range of potential warming scenarios and the current policy debate on how to address them effectively.</strong></em></p>
<p>Acute food insecurity has been in the news as the UK heads towards a post-EU rupture with the European Common Market but there is also a chronic threat to UK food security posed by climate change and disruption. The most prominent discussions concerning the potential security implications of a changing climate tend to focus on its potential to exacerbate international conflict (its role as a threat multiplier), the challenges it poses to international development efforts, and the ways in which it could limit or complicate military operations.</p>
<p>The direct threat climate change poses to the UK itself has not received enough attention, nor the domestic threat to the UK of climatic impacts on international supply chains, upon which it is highly dependent. This is doubly perverse. On the one hand, in terms of evidence, academic analysis of how a warming world will affect fragile, interconnected and interdependent human systems becomes more sure-footed and confident as it “zooms in” from the global level to smaller regional and sub-regional units of analysis. On the other, from the standpoint of UK national security planners, direct impacts on the home islands and British citizens are of paramount importance.</p>
<h3><strong>Key Points</strong></h3>
<ul>
<li>Currently 50% by value of all food consumed in the UK is imported. 60% of this is from the EU, with a heavy concentration on suppliers in Spain and the Netherlands.</li>
<li>Securing greater diversity of international suppliers has been identified as a priority by the UK Government, particularly in the context of Brexit.</li>
<li>UK food supply chains currently have limited direct exposure to the closure of global supply choke-points; however, this may change should the pursuit of diversification of imports away from western European suppliers succeed.</li>
<li>Regardless, the UK is as exposed as the rest of the world to food price volatility and potential long-term food price inflation. A changing climate is likely to reduce the amount of arable land available in the UK and make international disruptions more likely.</li>
<li>The UK Government has rejected the advice of the Independent Committee on Climate Change to adopt more proactive measures to manage food price volatility, choosing to pursue this policy goal through diplomacy within the G-20.</li>
<li>There is a geopolitical dimension to the intergovernmental management of food supplies in a context of global food scarcity. Developing world food exporters, including within the G20, that have contributed relatively little to climate change may be less inclined to cooperate with the UK.</li>
</ul>
<p><strong>About the Author</strong></p>
<p><strong><em>Dr. Oliver Scanlan</em></strong><em> is a Research Fellow at the University of Liberal Arts Bangladesh (ULAB) where he lectures in Sustainable Development. He is a Fellow of ORG’s Sustainable Security Programme and a member of the UN Environment Programme’s Science Policy Platform.</em></p>
<p> </p>
<p><em>[This description originally appeared in <a class=""Colorbox"" href=""https://www.oxfordresearchgroup.org.uk/org-explains-8-uk-food-security-and-climate-change"" target=""_blank"">oxfordresearchgroup.org.uk</a>]</em></p>";;"Oxfam International";;"Environment, Conflict and Cooperation Platform";"2019-02-01";"en";"climate change;food security;land governance;tenure security";"Indigenous & Community Land Rights;Land & Food Security;Land, Climate Change & Environment";"150";;"https://library.ecc-platform.org/publications/uk-food-security-and-climate-change";"https://library.ecc-platform.org/file/3568/download?token=zjuz4O9W";"https://library.ecc-platform.org/sites/default/files/ORG%20Explains%208_UK%20Food%20Security%20and%20Climate%20Change.png";;;;"Climate Change;Land & Food;Security";
"ECC:26016";"Global Report on Food Crises 2018";;"<p><em><strong>Conflict and climate change have pushed 124 million people in 51 countries into acute food security, a situation when the inability to consume adequate food represents an immediate danger to people’s lives and livelihoods. In 2017, the number of people affected by acute food insecurity increased by 11 million. These are the main findings of a publication titled, “Global Report on Food Crises,” released by the Food Security Information Network (FSIN). </strong></em></p><p>The report states that conflict and climate change-related disasters were the main drivers of acute food insecurity in 18 countries where 74 million people need urgent assistance to prevent famine. New or intensified conflict has deteriorated food security in Myanmar, north-east Nigeria, the Democratic Republic of Congo, South Sudan and Yemen. Prolonged drought conditions have aggravated the situation in several countries in eastern and southern Africa.</p><p>The report further notes that conflict will continue to be a main driver of food insecurity in Afghanistan, Central African Republic, Democratic Republic of Congo, north-eastern Nigeria, the Lake Chad region, South Sudan, Syria, Yemen, Libya, Mali and Niger. It also warns that continued dry weather conditions will further impact food security in pastoral areas of Somalia, south-eastern Ethiopia and eastern Kenya, and in West African and Sahel countries including Senegal, Chad, Niger, Mali, Mauritania and Burkina Faso.</p><p>FSIN, also known as the Global Network against Food Crises, is a joint initiative of the EU, the Food and Agriculture Organization of the UN (FAO), and the World Food Programme (WFP). Through the Global Report on Food Crises, the group aims to provide a comprehensive overview of acute food insecurity based on evidence and data from multiple national and regional sources. The report identifies critical priorities for humanitarian aid and outlines how development action can engage at earlier stages to address root causes of hunger, reduce vulnerability, and increase resilience in areas at risk of slipping into acute food security.</p><p> </p><p><em>[This description originally appeared on <a href=""http://sdg.iisd.org/news/report-more-people-are-at-risk-of-hunger-because-of-conflict-and-climate-change/"" target=""_blank"">sdg.iisd.org</a>]</em></p>";;"Food Security Information Network";;"Environment, Conflict and Cooperation Platform";"2018-04-06";"en";"assessment;biodiversity;conflicts;development;food security;land governance;tenure security";"Indigenous & Community Land Rights;Land & Food Security;Land Conflicts;Land in Post-Conflict Settings;Land, Climate Change & Environment";"001";;"https://library.ecc-platform.org/publications/global-report-food-crises-2018";"https://library.ecc-platform.org/file/3289/download?token=zMFEWZ3-";"https://library.ecc-platform.org/sites/default/files/GRFC_2018_Full_report_EN.png";;;;"Biodiversity & Livelihoods;Conflict Transformation;Development;Early Warning & Risk Analysis;Land & Food;Security";
"ECC:26032";"Climate Change and International Security: Resource Guide 2017 - Consolidated Edition";;"<p>The Climate Change and International Security Resource Guide is produced for the Brussels Dialogue on Climate Diplomacy (BDCD) which consists of a series of informal meetings to exchange information and promote cooperation among European institutions and international organisations active in the nexus between climate change and international, national, human and environmental security.<br/> </p>";;"Environment & Development Resource Centre;Institute for Planetary Security";;"Environment, Conflict and Cooperation Platform";"2018-04-27";"en";"assessment;biodiversity;climate change;conflicts;development;environment;food security;gender equity;land governance;resilience;tenure security;water";"Indigenous & Community Land Rights;Land & Food Security;Land & Gender;Land Conflicts;Land in Post-Conflict Settings;Land, Climate Change & Environment";"001";;"https://library.ecc-platform.org/publications/climate-change-and-international-security-resource-guide-2017-consolidated-edition";"https://library.ecc-platform.org/file/3311/download?token=P7MuNyWz";"https://library.ecc-platform.org/sites/default/files/Climate%20Change%20and%20International%20Security%20%E2%80%93%20Resource%20Guide.png";;;;"Adaptation & Resilience;Biodiversity & Livelihoods;Climate Change;Climate Diplomacy;Conflict Transformation;Development;Early Warning & Risk Analysis;Environment & Migration;Gender;Land & Food;Security;Water";
"ECC:25898";"The 10 Science ‘Must Knows’ on Climate Change";;"<p><em><strong>It is undoubtedly a challenge for climate policy actors to identify reliable evidence to support sound decision-making processes for tackling climate issues effectively. Still, differentiating between fact and fiction, well-designed and invalid science, evidence- or interest-based arguments is precisely what determines the quality of climate policies. </strong></em></p>
<p>While selecting trustworthy sources from a seemingly endless mass of information might seem an impossible task, one thing can and should be done: defining indisputable climate facts. A handful of climatic issues enjoy extensive testing and research, and their conclusions are as reliable as it can be. Yet, decision-makers spend precious resources debating the verity of these climatic issues, resources that could be applied to furthering climate action.</p>
<p>In this short paper, the <a href=""http://www.the-earth-league.org/"" target=""_blank"">Earth League</a> and <a href=""http://www.futureearth.org/"" target=""_blank"">Future Earth</a> unravel 10 scientific facts on climate change that should be recognized by those pursuing the goals set by the Paris Agreement, while proposing policies to achieve them.</p>
<ol>
<li><strong>Evidence shows that Earth has entered a new geological epoch – the Anthropocene – with profound implications for humanity and the relative stability of the Earth system. </strong></li>
<li><strong> Earth is approaching tipping points due to human pressures. </strong></li>
<li><strong>Risks of extreme weather are increasing. </strong></li>
<li><strong>Rising sea levels and ocean acidification are growing threats. </strong></li>
<li><strong>The costs of climate change are already being felt today and will increase in the future. </strong></li>
<li><strong>Human health is at risk from air pollutants that alter the climate, and the impacts of a changing climate, which are decreasing food security and increasing the risks of disease and heat stress. </strong></li>
<li><strong>Climate change is likely to exacerbate the risk of large-scale migration and civil unrest. </strong></li>
<li><strong>The world needs to act faster: deeper cuts are needed to reduce risk of global average temperature rising 2 °C above pre-industrial levels. A pathway of halving global emissions every decade is consistent with this goal. </strong></li>
<li><strong>Analyses suggest that it is possible for the world to meet Paris Agreement targets if nation states cooperate and coordinate mitigation efforts. Carbon pricing is an important policy tool that would create substantial revenues amounting to potentially several percent of GDP.</strong></li>
<li><strong>Adaptation and resilience building are necessary even if the world succeeds with aggressive international action to reduce emissions of greenhouse gases.  </strong></li>
</ol>";;"Future Earth;The Earth League";;"Environment, Conflict and Cooperation Platform";"2018-01-01";"en";"climate change;environment;food security;land governance";"Land & Food Security;Land, Climate Change & Environment";"001";;"https://library.ecc-platform.org/publications/10-%E2%80%8Bscience-%E2%80%8B%E2%80%98must%E2%80%8B-knows%E2%80%99-%E2%80%8B-%E2%80%8Bclimate-%E2%80%8Bchange";"https://library.ecc-platform.org/file/3183/download?token=lTrbtdlz";"https://library.ecc-platform.org/sites/default/files/the_10_science_must_knows_on_climate_change.png";;;;"Climate Change;Energy;Environment & Migration;Land & Food";
"ECC:26039";"Climate-Fragility Profile: Lake Chad Basin";;"<p><em><strong>This Climate-Fragility profile is envisaged as a first component of a Climate-Fragility Risk Assessment process. It summarizes the key challenges the Lake Chad region is experiencing as a consequence of the interplay between climate change and fragility.</strong></em></p><p>Climate change increasingly threatens the stability of states and societies. In the context of global security, it is best understood as a ‘threat multiplier’ that interacts with and compounds existing risks and pressures. When climate change converges and interacts with other environmental, economic, social, and political shocks and pressures, it can increase the likelihood of instability or conflict. This threat is particularly virulent in fragile and conflict-affected situations where governments and societal institutions already struggle to achieve security and equitable development. At the same time, conflicts and fragility often contribute to environmental degradation and undermine the ability to adapt to climate change, thus creating a vicious circle of increasing vulnerability and fragility. The complex and systemic risks that arise out of the interaction between climate change and other environmental, economic, social, and political pressures are what this profile calls climate-fragility risks.</p><p>This Climate-Fragility profile is envisaged as a first component of a Climate-Fragility Risk Assessment process – a process for actors working in contexts affected by climate and fragility risks to understand the linked nature of these risks and plan, design, implement and evaluate programmes to respond positively to these risks. It summarizes the key challenges the Lake Chad region is experiencing as a consequence of the interplay between climate change and fragility.</p>";"Chitra Nagarajan, Benjamin Pohl, Lukas Rüttinger, Florence Sylvestre, Janani Vivekananda, Martin Wall, Susanne Wolfmaier (adelphi)";;;"Environment, Conflict and Cooperation Platform";"2018-05-01";"en";"assessment;biodiversity;climate change;environment;food security;land governance;resilience;tenure security;water;conflicts";"Indigenous & Community Land Rights;Land & Food Security;Land, Climate Change & Environment";"202";;"https://library.ecc-platform.org/publications/climate-fragility-profile-lake-chad-basin";"https://library.ecc-platform.org/file/3322/download?token=egbdDX5Q";"https://library.ecc-platform.org/sites/default/files/Lake%20Chad%20Climate-Fragility%20Profile%20-%20adelphi.png";;;;"Adaptation & Resilience;Biodiversity & Livelihoods;Climate Change;Early Warning & Risk Analysis;Environment & Migration;Land & Food;Security;Water";
"ECC:25666";"NATO Report on Food and Water Security in the MENA Region";;"<p>The NATO Parliamentary Assemblies’ Science and Technology Committee drafted a new report on Food and Water Security in the Middle East and North Africa. The report underlines that pressures on natural resources and connected impacts on food production are factors that contribute to the (in-) security of the MENA region. The document summarizes causes as well as possible technical and governance approaches to improve food and water security in the region. The initiative shows that the role of environmental resources is increasingly taken seriously in the sphere of security policy. The Science and Technology Committee discussed the draft and recommendations to NATO countries at the Spring Session in Tbilisi from 27-29 May.</p>";;"North Atlantic Treaty Organization";;"Environment, Conflict and Cooperation Platform";"2017-05-15";"en";"food security;land governance;tenure security;water";"Indigenous & Community Land Rights;Land & Food Security;Land, Climate Change & Environment";"015;145";;"https://library.ecc-platform.org/publications/nato-report-food-and-water-security-mena-region";"https://library.ecc-platform.org/file/2830/download?token=p3ViwZJH";"https://library.ecc-platform.org/sites/default/files/2017-05-15%20Food%20and%20Water%20Security%20ME%20and%20NA.png";;;;"Land & Food;Security;Water";
"ECC:25999";"Groundswell: Preparing for Internal Climate Migration";;"<p><em><strong>Internal climate migrants are rapidly becoming the human face of climate change. According to this new World Bank report, without urgent global and national climate action, Sub-Saharan Africa, South Asia and Latin America could see more than 140 million people move within their countries’ borders by 2050.</strong></em></p><p>This report, which focuses on three regions— that together represent 55 percent of the developing world’s population—finds that climate change will push tens of millions of people to migrate within their countries by 2050. It projects that without concrete climate and development action, just over 143 million people—or around 2.8 percent of the population of these three regions—could be forced to move within their own countries to escape the slow-onset impacts of climate change. They will migrate from less viable areas with lower water availability and crop productivity and from areas affected by rising sea level and storm surges.</p><p>The poorest and most climate vulnerable areas will be hardest hit. These trends, alongside the emergence of “hotspots” of climate in- and out-migration, will have major implications for climate-sensitive sectors and for the adequacy of infrastructure and social support systems. The report finds that internal climate migration will likely rise through 2050 and then accelerate unless there are significant cuts in greenhouse gas emissions and robust development action.</p><p>Access <a href=""http://www.worldbank.org/en/news/infographic/2018/03/19/groundswell---preparing-for-internal-climate-migration"" target=""_blank"">here</a> a comprehensive infographic that summarizes the report.</p>";;"World Bank Group";;"Environment, Conflict and Cooperation Platform";"2018-03-21";"en";"assessment;biodiversity;climate change;environment;food security;land governance;water";"Land & Food Security;Land, Climate Change & Environment";"005;013;029;142;202";"Journal Articles & Books";"https://library.ecc-platform.org/publications/groundswell-preparing-internal-climate-migration";"https://library.ecc-platform.org/file/3270/download?token=XbesFhb1";"https://library.ecc-platform.org/sites/default/files/WorldBank_Groundswell-Preparing%20for%20Internal%20Climate%20Migration.png";;;;"Biodiversity & Livelihoods;Climate Change;Early Warning & Risk Analysis;Environment & Migration;Land & Food;Water";
"ECC:26739";"Land Degradation Neutrality for Water Security and Combatting Drought";;"<p><strong><em>As water is the most disruptive element in the ongoing climate crisis, how land is managed plays a major role in taming this disruption. This publication shows that avoiding, reducing and reversing land degradation can have positive long-term gains in water security.</em></strong></p>
<p>Countries have acknowledged the inter-dependency of land and water management and the multiple benefits of reversing land degradation for sustainable development, water security and resilience to natural hazards such as droughts. Achieving land degradation neutrality (LDN) contributes towards the achievement of several <a class=""Colorbox"" href=""https://www.climate-diplomacy.org/publications/driving-transformative-change-foreign-affairs-and-2030-agenda"" target=""_blank"">Sustainable Development Goals (SDGs)</a>, particularly <a class=""Colorbox"" href=""https://www.climate-diplomacy.org/news/sdg-6-essential-element-quest-international-security"" target=""_blank"">SDG 6 on water</a>.</p>
<p>This briefing note presents recommendations for countries, with support of their national and international partners, to ensure that they are able to reach their LDN objectives, improve synergies between LDN, water security and drought mitigation, and achieve the SDGs through LDN approaches.</p>
<p> </p>
<p><em>[This description was adapted from </em><a class=""Colorbox"" href=""http://www.fao.org/publications/card/en/c/CA7468EN/"" target=""_blank""><em>fao.org</em></a><em> and </em><a class=""Colorbox"" href=""https://www.unccd.int/publications/land-degradation-neutrality-water-security-and-combatting-drought-briefing-note"" target=""_blank""><em>unccd.int</em></a><em>.]</em></p>";;"Food and Agriculture Organization of the United Nations (FAO);United Nations Convention to Combat Desertification";;"Environment, Conflict and Cooperation Platform";"2020-05-11";"en";"climate change;food security;land governance;water";"Land & Food Security;Land, Climate Change & Environment";"001";;"https://library.ecc-platform.org/publications/land-degradation-neutrality-water-security-and-combatting-drought";"https://library.ecc-platform.org/file/4027/download?token=72ChsUtH";"https://library.ecc-platform.org/sites/default/files/2020-05-12%2013_43_39-UNCCD%20and%20FAO%202020%20-%20Land%20Degradation%20Neutrality%20for%20Water%20Security%20and%20Combatti.png";;;;"Climate Change;Land & Food;Water";
"ECC:25798";"FAO Strategy on Climate Change";;"<p><strong><em>""There is no peace without tackling food security and eliminating hunger and there will be no food without tackling climate change.” A couple of days ago, the UN Food and Agriculture Organization (FAO) has published a new and all-encompassing framework on climate change. The organization acknowledges the enormous threats posed by climate change, and outlines how it will tackle environmental changes in the future. The strategy paper is yet another indicator of institutional change: increasingly, organizations worldwide mainstream climate change into their planning.</em></strong></p><p> </p><p><em>Excerpt from the foreword:</em></p><p><br/>FAO considers climate change a top-line corporate priority - as reflected in the newly-endorsed Strategy on Climate Change where FAO will focus its work on three fronts:</p><ul><li>First, to enhance institutional and technical capacities of Member States.</li><li>Second, to improve integration of food security, agriculture, forestry and fisheries within the international climate agenda.</li><li>And third, to strengthen internal coordination and delivery of FAO’s work.</li></ul><p>This Strategy translates FAO’s core mandate into strategic choices and action priorities at global, regional, national and local levels with the central goal of supporting its Member Nations in achieving their commitments to face climate change. It will be implemented through FAO’s Strategic Framework as well as through strategic partnerships.<br/> </p>";;"Food and Agriculture Organization of the United Nations (FAO)";;"Environment, Conflict and Cooperation Platform";"2017-08-10";"en";"climate change;food security;land governance;sustainable development";"Land & Food Security;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"001";;"https://library.ecc-platform.org/publications/fao-strategy-climate-change";"https://library.ecc-platform.org/file/3021/download?token=qcraraff";"https://library.ecc-platform.org/sites/default/files/FAO%20Strategy%20on%20Climate%20Change.png";;;;"Climate Change;Land & Food;Sustainable Transformation";
"ECC:26580";"Global Report on Food Crises 2019";;"<p><strong><em>More than 113 million people across 53 countries experienced acute hunger requiring urgent food, nutrition and livelihoods assistance (IPC/CH Phase 3 or above) in 2018. This report illustrates in stark terms the hunger caused by conflict and insecurity, climate shocks and economic turbulence.</em></strong></p>
<p>The worst food crises in 2018 were, in order of severity, in Yemen, the Democratic Republic of the Congo, Afghanistan, Ethiopia, the Syrian Arab Republic, the Sudan, South Sudan and northern Nigeria. These eight countries accounted for two thirds of the total number of people facing acute food insecurity – amounting to nearly 72 million people. Countries in Africa remained disproportionally affected by food insecurity.</p>
<p>The Global Report on Food Crises is accepted as the reference document on the latest estimates of acute hunger in the world. It is a public good prepared collectively by 15 leading global and regional institutions under the umbrella of the Food Security Information Network. The report also points the way towards solutions that can rebuild lives and livelihoods in communities around the world.</p>
<p>Access the full report <a class=""Colorbox"" href=""http://www.fsinplatform.org/sites/default/files/resources/files/GRFC_2019-Full_Report.pdf"" target=""_blank"">here</a>.</p>
<p> </p>
<p><em>[This description was extracted from the <a class=""Colorbox"" href=""http://www.fsinplatform.org/report/global-report-food-crisis-2019/"" target=""_blank"">interactive version of the report</a>.]</em></p>
<p> </p>";;"Food Security Information Network";;"Environment, Conflict and Cooperation Platform";"2019-11-20";"en";"food security;land governance;tenure security";"Indigenous & Community Land Rights;Land & Food Security";"001";;"https://library.ecc-platform.org/publications/global-report-food-crises-2019";"https://library.ecc-platform.org/file/3881/download?token=0rDSGZPr";"https://library.ecc-platform.org/sites/default/files/Global%20Report%20on%20Food%20Crises%202019%20FSIN.png";;;;"Land & Food;Security";
