"ID";"Title";"Subtitle";"Abstract/Description";"Authors";"Corporate authors";"Publishers";"Data provider";"Publication date";"Languages";"Related concepts";"Themes";"Geographical focus";"Resource types";"Link to the original website";"Link to the publication";"Thumbnail";"License";"Copyright details";"Pages";"Potential List";"Internal ID"
"equatorinitiative:2891";"Equator Initiative Case Studies. Colombia. Asociación de Mujeres Ixpiyakok (ADEMI, Ixpiyakok Women\'s Association) (Spanish)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2002-12-31";"es";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"COL";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1_1361825234.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Inter-Institutional-Consortium-for-Sustainable-Agriculture-CIPASLA-617x415.png";"ARR";;;;"2891"
"equatorinitiative:3102";"Equator Initiative Case Studies. Guatemala. Organización de Manejo y Conservación (OMYC, Uaxactún, Management and Conservation Organization) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2002-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"GTM";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348163630.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/06/Management-and-Conservation-Organization-OMYC-650x415.png";"ARR";;;;"3102"
"equatorinitiative:2599";"Equator Initiative Case Studies. Brazil. FrutaSã Indústria, Comércio e Exportação Ltda (FrutaSã Industry, Trade and Export Ltd.) (Portuguese)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2006-12-31";"pt";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"BRA";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1_1363900180_PT.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Frutasa-Industry-Trade-and-Export-650x415.png";"ARR";;;;"2599"
"equatorinitiative:2759";"Equator Initiative Case Studies. Nigeria. Atụmatụ Ekuri (Ekuri Initiative) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2004-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"NGA";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348153030_EN.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Ekuri-Initiative-650x415.png";"ARR";;;;"2759"
"equatorinitiative:2975";"Equator Initiative Case Studies. Tanzania, United Republic of. Hifadhi Ardhi Shinyanga (HASHI, Shinyanga Soil Conservation Programme) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2002-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"TZA";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348161099.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Shinyanga-Soil-Conservation-650x415.png";"ARR";;;;"2975"
"equatorinitiative:3247";"Equator Initiative Case Studies. Papua New Guinea. Pastoralist Integrated Support Programme (PISP) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2014-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"PNG";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1475252084.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Tree-Kangaroo-Conservation-Program-1-650x415.jpg";"ARR";;;;"3247"
"equatorinitiative:3106";"Equator Initiative Case Studies. Comoros. Parc Marin de Mohéli (Mohéli Marine Park) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2002-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"COM";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348163266.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Moheli-Marine-Park-650x415.png";"ARR";;;;"3106"
"equatorinitiative:2930";"Equator Initiative Case Studies. Ecuador. Federacion Plurinacional de Turismo Comunitario del Ecuador (FEPTCE, Multinational Federation of Community Tourism in Ecuador) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2006-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"ECU";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348159896.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/06/Multinational-Federation-of-Tourism-in-Ecuador-FEPTCE-Spanish-650x415.png";"ARR";;;;"2930"
"equatorinitiative:2587";"Equator Initiative Case Studies. Brazil. FrutaSã Indústria, Comércio e Exportação Ltda (FrutaSã Industry, Trade and Export Ltd.) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2006-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"BRA";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348160623_EN.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Frutasa-Industry-Trade-and-Export-650x415.png";"ARR";;;;"2587"
"equatorinitiative:2979";"Equator Initiative Case Studies. Guatemala. Hifadhi ya Asili ya Amani (Amani Nature Reserve) (English)";"Local sustainable development solutions for people, nature, and resilient communities";"Local and indigenous communities across the world are advancing innovative sustainable development solutions that work for people and for nature. Few publications or case studies tell the full story of how such initiatives evolve, the breadth of their impacts, or how they change over time. Fewer still have undertaken to tell these stories with community practitioners themselves guiding the narrative. The Equator Initiative aims to fill that gap.";;"Equator Initiative";"United Nations Development Programme";"Equator Initiative";"2006-12-31";"en";"land rights;land tenure;tenure security";"Indigenous & Community Land Rights";"GTM";"Reports & Research";"https://www.equatorinitiative.org/knowledge-center/e-library/case-studies/";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/case_1348067917.pdf";"https://www.equatorinitiative.org/wp-content/uploads/2017/05/Amani-Nature-Reserve-650x415.png";"ARR";;;;"2979"
