ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"LEX-FAOC002314";"Zatu nº AN VIII-0039 BIS/FP/PRES portant réorganisation agraire et foncière au Burkina Faso.";"Ce Zatu porte réorganisation du domaine foncier national. Il est formé par 33 articles répartis en 6 titres, à savoir: Définition du domaine foncier national (I); Aménagement du domaine foncier national (II); Gestion du domaine foncier national, indicant les principes de gestion, en particulier quels sont les biens immeubles d'usage direct public et qui bénéficient de mesures particulières de gestion et aussi quelles sont les conditions d'attribution, d'occupation et d'exploitation des terres (III); Différents droits réels immobiliers et leur garantie (IV); Contrôle du domaine foncier national (V); Dispositions finales.

Mis en oeuvre par: Kiti nº AN VIII-0328 TER/FP/PLAN-COOP portant application de la réorganisation agraire et foncière au Burkina Faso. (1991-06-04)
Abrogé par: Loi nº 014/96/ADP portant réorganisation agraire et foncière au Burkina Faso. (2008-00-00)";"Unknown";"";"";"FAO Legal Office";"1991-06-04";"fr";"public ownership;land reform;land law;land tenure";"";"Land Policy & Legislation";"BFA;002;AFG;ARM;AZE;BDI;BFA;BOL;BTN;BWA;CAF;ETH;KAZ;KGZ;LAO;LSO;MDA;MKD;MLI;MNG;MWI;NER;NPL;PRY;RWA;SSD;SWZ;TCD;TJK;TKM;UGA;UZB;ZMB;ZWE;011";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC002314";"http://extwprlegs1.fao.org/docs/pdf/bkf2314.pdf";"";"All rights reserved";"© FAO. Afin d’assurer une large diffusion de ses informations, la FAO s’attache à donner libre accès à ce contenu et encourage l’utilisation, la reproduction et la diffusion des données, des informations textuelles et des supports multimédia présentés. Sauf indication contraire, le contenu peut être reproduit, imprimé et téléchargé aux fins d’étude privée, de recherches ou d’enseignement ainsi que pour utilisation dans des produits ou services non commerciaux, sous réserve que la FAO soit correctement mentionnée comme source et comme titulaire du droit d’auteur et à condition qu’il ne soit ni déclaré ni sous-entendu en aucune manière que la FAO approuverait les opinions, produits ou services des utilisateurs.";""
"LEX-FAOC048570";"Environmental Assessment of Plans and Programmes (Scotland) Regulations 2004 (S.S.I. 258 of 2004).";"These Regulations implement Directive 2001/42/EC of the European Parliament and Council on the assessment of the effects of certain plans and programs on the environment, as regards plans and programs which relate solely to the whole or any part of Scotland. Subject to the exceptions, where the first formal preparatory act in relation to a plan or program to which the Regulations apply is after 21 July 2004, the plan or program cannot be adopted, or submitted for adoption, unless it has been subjected to environmental assessment under the Regulations. The requirement for environmental assessment applies, in particular, to any plan or program prepared for agriculture, forestry, fisheries, energy, industry, transport, waste management, water management, telecommunications, tourism, town and country planning or land use, which sets the framework for future development consent of projects listed in Annex I or II to Council Directive 85/33/EEC on the assessment of the effects of certain public and private projects on the environment, as amended by Council Directive 97/11/EC; and to any plan or program which, in view of the likely effect on sites, has been determined to require an assessment pursuant to Article 6 or 7 of Council Directive 92/43/EEC on the conservation of natural habitats and of wild flora and fauna, as last amended by Council Directive 97/11/EC. Regulation 13 deals with the making of determinations by the responsible authority as to whether a plan or program is likely to have significant environmental effects. Regulation 21 provides for the monitoring of the significant environmental effects of implementing plans and programs. Other provisions deal with assessment procedures and institutions involved.

Implements: Town and Country Planning (Scotland) Act 1997  (1997 Chapter 8). (1997-02-27)
Implements: Directive 2001/42/EC of the European Parliament and of the Council on the assessment of the effects of certain plans and programmes on the environment. (2001-06-27)
Repealed by: Environmental Assessment (Scotland) Act 2005 (2005 asp 15). (2005-12-14)";"";"";"Government of the United Kingdom";"FAO Legal Office";"2004-06-02";"en";"environment;land use planning;agricultural land management";"";"Land Policy & Legislation";"GBR;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;154";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC048570";"http://extwprlegs1.fao.org/docs/pdf/uk48570.htm";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC087304";"Regulation amending Regulation on requirements for additives to enrich soil.";"This Regulation of the Minister of Agriculture and Rural Development, which is composed of two paragraphs and one Annex, amends conditions for using soil improvers. In particular it specifies the new form of declaration which has to be signed by an entity buying soil improvers. During the purchase it has to be declared that the improvers will be used only as soil improvers and will not be used to feed livestock.

Implements: Act on animal health protection and fighting against infectious animal diseases. (2004-03-11)
Amends: Regulation on requirements for additives to enrich soil. (2004-12-07)";"Jarek";"";"";"FAO Legal Office";"2007-09-04";"pl";"land management";"";"Land Policy & Legislation";"POL;151;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC087304";"http://extwprlegs1.fao.org/docs/pdf/pol87304.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC141500";"Measures of Hainan Province for Implementation of the Interim Regulations of the People's Republic of China on Urban and Town Land Use Tax.";"These Measures are formulated in accordance with the Interim Regulations of the People’s Republic of China on Urban and Town Land Use Tax. The Text, consisting of 11 articles, provides for the rules and procedures relevant to the urban and town land use tax to be satisfied within the administrative area of Hainan province.

Implements: Interim Regulations of the People's Republic of China on Urban and Town Land Use Tax. (2006-12-31)";"GaoQuan";"";"";"FAO Legal Office";"2009-02-20";"zh";"";"";"Land Policy & Legislation";"CHN;142;030";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC141500";"http://extwprlegs1.fao.org/docs/pdf/chn141500.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC137117";"Measures of Tianjin Municipality for  implementing the Water and Soil Conservation Law of the People’s Republic of China.";"These Measures are formulated in accordance with the provisions in the Water and Soil Conservation Law, aiming to prevent and control water and soil loss, protect and rationally utilize water and soil resources, reduce flood, drought, sandstorm disasters, improve the ecological environment, and ensure the sustainable economic and social development. The Text consists of 28 Articles.The municipal water administrative department shall carry out the investigation of soil and water loss every five years and shall make a public announcement of the results according to law. The Measures provide for the preparation of water and soil conservation plans and soil loss investigation and delimitation of key prevention areas and key control areas based on the results of water. To prevent and reduce water and soil loss, local people’s governments at all levels shall take measures such as natural rehabilitation, enlarging the areas covered by trees and grass and conserving water resources. The Measures set out control measures that shall be taken whenever a production or construction project or any other activity causes water or soil loss.The Measures further provides for the water and soil conservation compensation fees, the monitoring and supervision of water and soil conservation and legal liabilities.

Implements: Water and Soil Conservation Law of the People’s Republic of China. (2010-12-25)";"Quan Gao (CONSLEG)";"";"";"FAO Legal Office";"1995-01-18";"zh";"natural disasters;land management;compensation";"";"Land Policy & Legislation";"CHN;142;030";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC137117";"http://extwprlegs1.fao.org/docs/pdf/chn137117.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"4"
"LEX-FAOC136482";"Décret N° 2009-219 du 22 octobre 2009 complétant certaines dispositions du décret N° 2006-078 portant création de l'Agence Nationale d’aménagement de Terrains (NAT) et fixant ses règles de fonctionnement.";"Le présent décret modifie et complète essentiellement les dispositions de l’article 16 du décret N° 2006-078 portant création de l'Agence Nationale d’aménagement de Terrains (NAT) et fixant ses règles de fonctionnement.L’article 16 bis est libellé comme suit: «L'Agence Nationale d’aménagement de terrains bénéficie d’un régime dérogatoire de passation des marchés publics sans limitation de seuil. Son manuel de procédure, approuvé par le Ministre en charge de l’urbanisme en définit les modalités».

Modifie: Décret n° 2006-078 du 18 Juillet 2006 portant création de l'Agence Nationale d'aménagement de Terrains (ANAT) et fixant ses règles d'organisation et de fonctionnement. (2006-07-18)";"";"";"Groupe d'Etudes et de Recherches sur la Démocratie et le Développement Economique et Social en Mauritanie";"FAO Legal Office";"2009-10-22";"fr";"land use planning;urban areas";"";"Land Policy & Legislation";"MRT;002;011";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC136482";"http://extwprlegs1.fao.org/docs/pdf/mau136482.pdf";"";"All rights reserved";"© FAO. Afin d’assurer une large diffusion de ses informations, la FAO s’attache à donner libre accès à ce contenu et encourage l’utilisation, la reproduction et la diffusion des données, des informations textuelles et des supports multimédia présentés. Sauf indication contraire, le contenu peut être reproduit, imprimé et téléchargé aux fins d’étude privée, de recherches ou d’enseignement ainsi que pour utilisation dans des produits ou services non commerciaux, sous réserve que la FAO soit correctement mentionnée comme source et comme titulaire du droit d’auteur et à condition qu’il ne soit ni déclaré ni sous-entendu en aucune manière que la FAO approuverait les opinions, produits ou services des utilisateurs.";""
"LEX-FAOC040533";"Brisbane River Tidal Lands Improvement Act 1927.";"The Act authorizes the construction of a weir over the tidal land of the Breakfast Creek. The Brisbane City Council will be responsible for the construction, the maintenance and renewal of the weir (sect. 3). It consists of 5 sections and is completed by one schedule that provides the map of the area and the location of the weir.

Repealed by: Gold Coast Waterways Authority Act 2012 (Act No. 38 of 2012). (2012-12-05)";"Office of the Queensland Parliamentary Counsel";"";"";"FAO Legal Office";"1927-01-07";"en";"land management;coastal area";"";"Land Policy & Legislation";"AUS;009";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC040533";"http://extwprlegs1.fao.org/docs/pdf/qs40533.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC141508";"Measures of Zhejiang province for Implementation of  Urban and Town Land Use Tax.";"These Measures are formulated in accordance with the Interim Regulations of the People’s Republic of China on Urban and Town Land Use Tax. The Text, consisting of 12 articles, provides for the rules and procedures relevant to the urban and town land use tax to be satisfied within the administrative area of Zhejiang province.
";"GaoQuan";"";"";"FAO Legal Office";"2007-08-30";"zh";"";"";"Land Policy & Legislation";"CHN;142;030";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC141508";"http://extwprlegs1.fao.org/docs/pdf/chn141508.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC141509";"Measures of Jiangsu province for Implementation of the Interim Regulations of the People's Republic of China on Urban and Town Land Use Tax.";"These Measures are formulated in accordance with the Interim Regulations of the People’s Republic of China on Urban and Town Land Use Tax. The Text, consisting of 13 articles, provides for the rules and procedures relevant to the urban and town land use tax to be satisfied within the administrative area of Jiangsu province.

Implements: Interim Regulations of the People's Republic of China on Urban and Town Land Use Tax. (2006-12-31)";"GaoQuan";"";"";"FAO Legal Office";"2008-03-19";"zh";"";"";"Land Policy & Legislation";"CHN;142;030";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC141509";"http://extwprlegs1.fao.org/docs/pdf/chn141509.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC065169";"Décret modifiant le décret du 22 février 1995 relatif à l'assainissement du sol, en ce qui concerne l'assainissement de sites (1).";"Notamment, on ajoute un article 5bis intitulé «Obligation de prévention et de gestion du sol». Dans le chapitre IV du même décret il est inséré une section 6 concernant l’Organisations d'assainissement du sol.

Modifie: Décret relatif à l'assainissement du sol. (1997-03-15)";"DeFranchis, Elfriede (CONSLEGB)";"";"Government of Belgium";"FAO Legal Office";"2006-06-16";"fr";"land management;land registration";"";"Land Policy & Legislation";"BEL;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;155";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC065169";"http://extwprlegs1.fao.org/docs/pdf/bel65169.doc";"";"All rights reserved";"© FAO. Afin d’assurer une large diffusion de ses informations, la FAO s’attache à donner libre accès à ce contenu et encourage l’utilisation, la reproduction et la diffusion des données, des informations textuelles et des supports multimédia présentés. Sauf indication contraire, le contenu peut être reproduit, imprimé et téléchargé aux fins d’étude privée, de recherches ou d’enseignement ainsi que pour utilisation dans des produits ou services non commerciaux, sous réserve que la FAO soit correctement mentionnée comme source et comme titulaire du droit d’auteur et à condition qu’il ne soit ni déclaré ni sous-entendu en aucune manière que la FAO approuverait les opinions, produits ou services des utilisateurs.";"2"
