adjudication;c_ee93bbbe
advocacy;c_1410424255662
agrarian reform;c_196
agrarian structure;c_7193
agricultural and rural legislation;c_28633
agricultural land management;c_4bd6790a
agricultural landscape;c_37277
agriculture;c_203
agroforestry systems;c_330982
agropastoral systems;c_16112
alienation (land);c_ceb73ce1
animal husbandry;c_8532
aquaculture;c_550
area;c_330588
assessment;c_330990
assignment (land);c_8c6882ab
boundaries;c_15686
cadastral administration;c_d774aa00
cadastral register;c_b4d51db0
cadastres;c_1177
capacity building;c_37836
capital value (land);c_a9966ac9
CEDAW;c_958edb9d
climate change;c_1666
coastal area;c_9000021
codification;c_0eca1c57
collateral (land);c_931da360
collective ownership;c_29157
common lands;c_1782
common law;c_1783
common property;c_9000022
common rights;c_de048871
commons;c_778a14cf
communal ownership;c_9024771d
communal territory;c_41b77c02
community forestry;c_16532
community land rights;c_ff890f6b
compensation;c_1791
compulsory acquisitions;c_95fedfc9
concession (land);c_357653f9
conflict of interest;c_854e9e62
continuum in land rights;c_ffd74ae5
contract farming;c_1839
control rights;c_7a25baee
co-ownership rights;c_599d2e5c
corruption;c_28663
customary land rights;c_cd44c0b3
customary law;c_10222
customary tenure;c_56c34d4d
decentralization;c_2143
deed;c_c10cdeb5
deed registration;c_6120d7bc
deforestation;c_15590
desertification;c_2204
development;c_331049
development agencies;c_2224
displacement;c_65c7772b
dispossession;c_781deefb
disturbance;c_cbe171b4
dowry (land);c_f7cf8606
eminent domain;c_c208d7f3
encroachment;c_a245096c
environment;c_2593
estate management;c_21323863
eviction;c_0b88a82c
expropriation;c_1798
extensive land use;c_36552
extractive industries;c_5d3b8015
farm tenancy;c_dec8141f
farmers;c_2805
farmers associations;c_2806
farmers organizations;c_37175
farming systems;c_2807
farmland;c_2808
fisheries;c_2934
food security;c_10967
forest conservation;c_1374158672853
forest grazing;c_3046
forest land;c_24843
forest law;c_8c59c597
forest management plans;c_1374070277659
forest monitoring and assessment;c_1374155312641
forest regulations;c_28079
forestry;c_3055
forestry policies;c_3060
formal tenure;c_dfbaecdf
free trade agreements;c_3ffda84e
freehold;c_b972e0ea
gender equity in access to land;c_1dfe5bfe
geographical information systems;c_35131
geomatics;c_92332
Global Land Indicator Initiative;c_8b624d6a
government purchases;c_b3864149
grassroots organizations;c_50226
grazing;c_25243
grazing contracts;c_bac66d94
grazing land rights;c_97241aeb
grazing lands;c_3369
green belts;c_37720
ground rent;c_3389
housing rights;c_a1b5abd0
illegal occupation;c_8dd43c79
