common lands;common lands
deforestation;deforestation
desertification;desertification
dryland management;land management
farmland;farmland
forest conservation;forest conservation
forest degradation;"land degradation; forest land"
forest grazing;"forest land; grazing"
forest land;forest land
forest land use;"land use; forest land"
forest resources;"forestry; natural resources management"
geographical information systems;"geographical information systems; land administration"
grassland management;land management
housing;housing rights
indigenous tenure systems;"customary tenure; indigenous tenure; indigenous peoples; land tenure systems"
individual land property;"property rights; private ownership; land ownership"
land;land
land access;land access
land administration;land administration
land classification;land administration
land cover;land cover
land cover mapping;land cover mapping
land degradation;land degradation
land improvement;land improvement
land management;land management
land markets;land markets
land ownership;land ownership
land policies;land policies
land productivity;agricultural land management
land reform;land reform
land registration;land registration
land resources;"land; land management; land use"
land rights;land rights
land suitability;land suitability
land tax;land tax
land tenure;land tenure
land transfers;land transfers
land use;land use
land use mapping;land use mapping
land use planning;land use planning
landowners;land ownership
multiple land use;"land use; land use planning"
natural resources;natural resources management
natural resources management;natural resources management
pastoral society;pastoralists
pastoralism;pastoralists
private ownership;private ownership
property rights;property rights
public ownership;public ownership
rangelands;rangelands
reforestation;"deforestation; land improvement; environment"
resource management;natural resources management
right of access;right of access
soil degradation;"land management; sustainable land management; environment"
soil management;land management
spatial database;land administration
sustainable forest management;"sustainable land management; forest land"
sustainable land management;sustainable land management
tenure;land tenure
urban agriculture;suburban agriculture
urban areas;urban areas
urban planning;"urban areas; land use planning"
urbanization;urbanization
valuation;land valuation
water management;water management
water resources;"water management; natural resources management"
water rights;water rights
