 Title,Principle Authors,Contributors/Co-Authors, Language,Year,Type, Topics,Copyright,Publisher,Abstract,Link
"A Training Course on Land,Property and Housing Rights in the Muslim World ",Siraj Sait,"Åsa Jonsson,Solomon Haile,Caylee Hong,Hilary Lim,Antony Lamba,Ahmed O. El-Kholei,Amyn Mussa,Barry Kulik,Fiona McCluney,Namukasa Aishah,Najmul Hassan,Nfally Badiane,Saad Yahya,Safiya O. Tani,Salbiah Ahmad,Sellini Naila,Syed Khalid Rashid,Syed Nazim Ali,Zeinabou Hadari,Mohamed El-Sioufi,Dr. Clarissa Augustinus",ENG,2010,Guide,"Islamic Aspects,Land policy and legislation",UN-Habitat/GLTN,UN-Habitat/GLTN,"This training course from the Global Land Tool Network is part of the Network’s activities on Islamic dimensions of land. In most Muslim countries Islamic law, principles and practices make an important contribution to shaping access to land. GLTN therefore has as one of its objectives the identification and development of Islamic land tools and case studies through a cross-cultural, interdisciplinary and global process, owned by Muslims, but also including other civil society and development partners. More information on work in this area is available on GLTN’s website (www.gltn.net)",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/18-a-training-course-on-land-property-and-housing-rights-in-the-muslim-world-eng-2010
A Training Package: Improving Gender Equality and Grassroots Participation Through Good Land Governance,Prabha Khosla,"Solomon Haile,Britta Uhlig,Saskia Ruijsink,Åsa Jonsson,Szilard Fricska,Gulelat Kebede,John Hogan,Maria Guglielma da Passano,Lucia Kiwala",ENG,2011,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"This training package provides an introduction to the important, complex, and sometimes daunting theme of improving land governance as a means to enhance gender equality and grassroots participation in land matters. This training package is designed for professionals, working in the field of land, governance, grassroots participation and gender in public institutions or civil society organizations.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/41-a-training-package-improving-gender-equality-and-grassroots-participation-through-good-land-governance-eng-2010
Addressing the Information Requirements of the Urban Poor - STDM Pilot in Uganda,"Danilo Antonio,John Gitau,Solomon Njogu","Angella Nuembe,Arthur Abigaba,Dr. Clarissa Augustinus,Cyprian Selebalo,Daniel Woniala,Denis Kidega. Fiona Nshemerirwe,Francis Madoi,Fredrick Mugisa,Hassan Kiberu,Jack Makau,James Nakiza Wanzaga,Jean duPlessis,JosephKimbowa,Katana Goretti,Lutwama Muhammed,Mafabi Mutwalibi Zandaya,Medie Balikowa,Richard Wandoba,Samuel Mabala,Sarah Ibanda,Sarah Nambozo,Semanda Twaha Bin Musa,Skye Dobson,Solomon Haile,Teo CheeHai,Asa Jonsson",ENG,2014,Brief,"Access to Land and Tenure Security
",UN-Habitat/GLTN,UN-Habitat/GLTN,"The Social Tenure Domain Model offers practical solutions and opportunities for land professionals, researchers, grassroots organisations and government authorities. These opportunities include the empowerment of the grassroots communities to develop and manage their own information systems (and their own data), with all the benefits of the advanced technologies can offer, with less investment in resources and with less reliance on highly paid experts. Land professionals can also make their services available to all and offer people-centred and affordable solutions. They can also contribute to the further enhancement of the STDM framework. With STDM, it is possible to bridge the information divide, to serve all members of society and to undertake development interventions such as tenure security for all at scale.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/263-addressing-the-information-requirements-of-the-urban-poor-stdm-pilot-in-uganda-eng-2014
"Applications of the Voluntary Guidelines on the Responsible Governance of Tenure of Land,
Fisheries and Forests in the Context of National
Food Security (VGGT) in Urban and Peri-Urban Areas",Babette Wehrmann,"Danilo Antonio,Dr. Clarissa Augustinus,Cyprian Selebalo,Paul Munro-Faure,Andrew Hilton, Louisa Jansen",ENG,2015,Report,"Access to Land and Tenure Security,",UN-Habitat/GLTN,UN-Habitat/GLTN,"This study aims to assess the applicability of the Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forest in the Context of National Food Security (VGGT) in urban and peri-urban areas. The study also aims to facilitate decision-making on the next steps needed to ensure the application of the VGGT in urban and peri-urban areas, including informing the implementers on how they can anchor the VGGT in their activities, i.e. to apply or use the VGGT in their work in urban and peri-urban areas.
The first drafts of the study were commented and discussed with key representatives of UN-Habitat through the Global Land Tool Network and the Food and Agriculture Organization of the United Nations (FAO). The revised report also benefitted from the inputs and comments from a group of international experts on urban and periurban land tenure issues, who met to discuss the study results and findings during the Annual World Bank
Conference on Land and Poverty in March 2015 in Washington D.C. The report was also enhanced through various bilateral meetings and discussions with key GLTN partners.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/2232-applications-of-the-voluntary-guidelines-on-the-responsible-governance-of-tenure-of-land-fisheries-and-forests-in-the-context-of-national-food-security-vggt-in-urban-and-peri-urban-areas
"Assemblée Générale de la FGF et Université de perfectionnement
des Géomètres Francophones d’Afrique Subsaharienne (Ouagadougou Report)","Annick Zoungrana,Remy Sietchiping",,FR,2013,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"En marge de l’Assemblée Générale de la Fédération des Géomètres Francophones (FGF), ONU-Habitat et le Réseau Mondial des Instruments Fonciers (GLTN), a organisé une séance de formation sur la bonne gouvernance foncière.
Cette rencontre technique et scientifique a réuni 130 experts géomètres, du secteur privé, du secteur public, enseignants, étudiants, venus de 13 pays d’Afrique Subsaharienne et d’Europe.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/90-assemblee-generale-de-la-fgf-et-universite-de-perfectionnement-des-geometres-francophones-d-afrique-subsaharienne-fr-2013
Atelier régional d’apprentissage sur la sécurité d’occupation des terres et des ressources naturelles ,Simon Norfolk,"Danilo Antonio,Dr. Clarissa Augustinus,Flavia Della Rosa,Steven Jonckheere,Harold Liversage, Remy Sietchiping",FR,2012,Report,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,"Cette publication est le sommaire du rapport de l'atelier regional d'apprentissage sur la 'Securite de la tenure fonciere et des ressources naturelles'. L'atelier qui s'est tenu a Nairobi, Kenya du 29 au 31 mai a ete conjointement organise par ONU-Habitat/Reseau Mondial des Instruments Fonciers (GLTN) et le Fonds international de developpement agricole (FIDA). L'objectif de l'atelier etait d'approfondir les connaissances sur les questions de tenure fonciers et des ressources naturelles et d'identifier les opportunites de renforcer la securite de la tenure fonciere et l'acces a la terre des populations pauvres dans la zone rurale et d'autres populations marginalisees en Afrique sub-saharienne.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/61-atelier-regional-d-apprentissage-sur-la-securite-d-occupation-des-terres-et-des-ressources-naturelles-rapport-final-fr-2012
Building Cities for All - Lessons from four African experiences,"Aurore Mansion, Virginie Rachmuhl","Papa Ameth Keita,Benjamin Michelon, Olivier Toutain",ENG,2012,Book,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"Nearly 500 million Africans currently live in slums. Urban operations are one of the main tools for improving living conditions in informal settlements, where land tenure, housing, development and services largely function outside any official system. While progress has undoubtedly been made over the last decade, these operations have had mixed social, economic, urban and environmental impacts.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/32-building-cities-for-all-lessons-from-four-african-experiences-eng-2012
Building Cities for All - Lessons from four African experiences,"Aurore Mansion, Virginie Rachmuhl","Papa Ameth Keita,Benjamin Michelon, Olivier Toutain",FR,2012,Book,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"En Afrique, pres de 500 millions de personnes resident aujourd'hui dans des bidonvilles. La plupart de ces quartiers ne sont pas << en regle >> en matiere de foncier, d'habitat, d'amenagement ou de services. Les operations urbaines constituent un outil privilegie pour ameliorer les conditions de vie des habitants des quartiers precaires. Malgre des progres indeniables realises dans la derniere decennie, le bilan reste mitige, notamment en termes d'impacts social, economique, urbain et environnemental.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/253-building-cities-for-all-lessons-from-four-african-experiences-fr-2012
Citywide Strategic Planning: A step by step guide,"Örjan Mohlund, Åsa Forsman","Remy Sietchiping, Filiep Deccorte",ENG,2010,Guide,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,Citywide Strategic Planning articulates the necessary ingredients for initiating and implementing a planning process that focuses on a set of strategic issues of principal importance for sustainable urban development. The guide presents the citywide strategic planning rationale and approach. Three main questions are addressed – where are we today? - where do we want to be? -how do we get there?,http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/17-citywide-strategic-planning-a-guideline-eng-2010
Count me in: Surveying for Tenure security and Urban Land Management ,,"Malcolm Langford,Britta Uhlig",ENG,2010,Book,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,"The young man was scared. The city government had instructed him to count the shacks in the settlement. He arrived smartly dressed carrying a briefcase and clipboard with pen in hand and a list of the shacks. His job was to find any new shacks without the official number painted on the door. But he immediately ran into problems. The local residents confronted him, asking what he was doing. Soon a small crowd had gathered. They took him into the community hall, where a meeting was under way. He explained that the city had sent him, but the local people were suspicious.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/80-count-me-in-surveying-for-tenure-security-and-urban-land-management-eng-2010
