ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"LaReferencia:AR_f298bab8baeb75667ce6140b35508a92";"Enfiteutas, propietarios, agregados y ocupantes en el 'nuevo sur': los partidos de Arenales y Ayacucho (1823-1860)";"";"Este artículo se centra en la ocupación y apropiación de tierras en una región del sudeste de la provincia de Buenos Aires, que integraba en las primeras décadas del siglo XIX el llamado ""nuevo sur"": los partidos de Arenales y Ayacucho, entre 1823 y 1860. Comenzaremos por caracterizar el traspaso de estos territorios a particulares, el impacto de las distintas modalidades de transferencia y la evolución de la estructura de tenencia. Esto nos llevará a interrogarnos por los protagonistas de este proceso: ¿quiénes fueron los beneficiarios de este reparto? ¿cómo llegaron a estas tierras del ""nuevo sur""? ¿cómo fue la conformación del grupo de propietarios en esta zona?, ¿permanecieron los mismos apellidos a lo largo del período? Además, ¿existieron, en esta zona como en otras regiones, posibilidades de ocupación sin la tenencia legal? La comparación con otros procesos de ocupación y apropiación de terrenos del estado, especialmente al sur del río Salado, nos posibilitará una visión más completa de este caso, que obviamente está integrado en un proceso más amplio.";"D'Agostino, Valeria Araceli";"";"";"LA Referencia";"2007-01-01";"es";"landowners;land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"PER;ARG";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/AR_f298bab8baeb75667ce6140b35508a92";"http://www.memoria.fahce.unlp.edu.ar/art_revistas/pr.493/pr.493.pdf";"";"CC-BY-NC-ND";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:BR_892c4f8115471df903ec2336fdbd16a2";"A representação da realidade e o trágico em Seara de Vento, de Manuel da Fonseca, e em Emissários do Diabo, de Gilvan Lemos";"";"Na representação da realidade, as implicações que o real traz para a ficção vão além da mera imitação. Na Literatura, o modo como se representa a realidade expressa, usualmente, a cosmovisão de uma determinada época. Isso é perceptível no modo realista de composição ficcional, que atinge seu ápice na segunda metade do século XIX, quando “o romance realista autêntico tem assumido a herança da tragédia clássica” (AUERBACH, 2011, p. 446). Nesse processo de historicização, o trágico, mediante as transformações sociais, se torna importante por ser uma forma de abarcar a representação de personagens de baixa extração social. Diante do exposto, o estudo realiza uma leitura crítica das configurações do modo realista de produção ficcional nos romances Seara de vento (1958), de Manuel da Fonseca; e Emissários do diabo (1968), de Gilvan Lemos, dando particular atenção aos aspectos que dizem respeito à representação da situação da posse de terra e de seus impactos sociais. Verifica, em desdobramento, como a construção ficcional dessa conjuntura se dá a partir da manifestação do trágico dentro dos romances analisados. Para tal intento, recorremos ao auxílio de teóricos de áreas diversas, como pressupostos hauridos da Crítica Literária de ascendência sociológica (CANDIDO, 2006) e da Filologia (AUERBACH, 2011). Além disso, os teóricos que versam sobre o trágico (LESKY, 2003; SZONDI, 2004; EAGLETON, 2013) e sobre a figura do herói (ARISTÓTELES, 19__; CAMPBELL, 2007). Também foram de grande valia os autores que tratam a respeito da conjuntura agrária no Brasil (PRADO JR., 1978; LIMA, 1988) e em Portugal (CUNHAL, 1968; MORAIS, 1974). Por fim, e não menos importante, lançou-se mão ainda da fortuna crítica das obras (SEIXO, 1980; ASSUMPÇÃO, 1982; CARLISLE, 1981), que se apresenta como adjuvante nas análises realizadas. Como resultado, entendemos que, nas narrativas, a construção ficcional por meio do modo realista enseja a reelaboração histórico-social das conjunturas portuguesa e brasileira, por meio de questões que envolvem a posse da terra. O trágico, nesse plano, assume o status de um recurso crucial, utilizado pelos escritores, para representar a lastimável condição da desigualdade social no contexto agrário.";"SIQUEIRA, Mariá Gonçalves de";"";"Universidade Federal de Pernambuco";"LA Referencia";"2016-12-31";"pt";"land ownership";"";"";"PRT;BRA";"Reports & Research";"http://www.lareferencia.info/vufind/Record/BR_892c4f8115471df903ec2336fdbd16a2";"https://repositorio.ufpe.br/bitstream/123456789/18399/1/Dissert_Mar%c3%adaGon%c3%a7alves-BC.pdf";"";"CC-BY-NC-ND";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:CL_76b4d86d850fc97fb6be5c6ea69ed310";"Normalización del modelo neoliberal de expansión residencial más allá del límite urbano en Chile y España";"";"RESUMEN El crecimiento urbano contemporáneo adopta patrones fragmentados y escasamente densos. El proceso se ha tomado como norma general dentro de un modelo de Estado neoliberal, que lejos de restringir la expansión de lo urbano por ocupación del espacio rural, lo fomenta desregulando el uso del suelo no urbanizable. La ratificación de la participación estatal en la construcción de este fenómeno requiere el análisis de las herramientas que lo posibilitan. Así, utilizar una metodología que incluya el examen y comparación de cuerpos normativos se hace ineludible para revelar el grado de colaboración administrativa que, por acción u omisión, sustenta la producción de espacio residencial. Por lo tanto, el objetivo del presente estudio es corroborar la tendencia generalizada hacia la normativización de la ciudad difusa, que hoy se encuentra ampliamente respaldada en Chile, afianzado un estadio avanzado del proceso hacia el que España transita.";"Jiménez,Víctor
Hidalgo,Rodrigo
Campesino,Antonio-José
Alvarado,Voltaire";"";"Pontificia Universidad Católica de Chile";"LA Referencia";"2018-05-01";"es";"urban planning";"Urban Tenure";"Land Use, Management & Investment";"CHL;ESP";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/CL_76b4d86d850fc97fb6be5c6ea69ed310";"https://scielo.conicyt.cl/scielo.php?script=sci_arttext&pid=S0250-71612018000200027";"";"";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:BR_a4abc0638e806234710b026410be0c8d";"Tradeoffs in the quest for climate smart agricultural intensification in Mato Grosso, Brazil.";"";"Low productivity cattle ranching, with its linkages to rural poverty, deforestation and greenhouse gas (GHG) emissions, remains one of the largest sustainability challenges in Brazil and has impacts worldwide. There is a nearly universal call to intensify extensive beef cattle production systems to spare land for crop production and nature and to meet Brazil?s Intended Nationally Determined Contribution to reducing global climate change. However, different interventions aimed at the intensification of livestock systems in Brazil may involve substantial social and environmental tradeoffs. Here we examine these tradeoffs using a whole-farm model calibrated for the Brazilian agricultural frontier state ofMato Grosso, one of the largest soybean and beef cattle production regions in the world. Specifically, we compare the costs and benefits of a typical extensive, continuously grazed cattle system relative to a specialized soybean production system and two improved cattle management strategies (rotational grazing and integrated soybean-cattle) under different climate scenarios.We found clear tradeoffs in GHG and nitrogen emissions, climate resilience, and water and energy use across these systems. Relative to continuously grazed or rotationally grazed cattle systems, the integreated soybean-cattle system showed higher food production and lower GHG emissions per unit of human digestible protein, as well as increased resilience under climate change (both in terms of productivity and financial returns). All systems suffered productivity and profitability losses under severe climate change, highlighting the need for climate smart agricultural development strategies in the region. By underscoring the economic feasibility of improving the performance of cattle systems, and by quantifying the tradeoffs of each option, our results are useful for directing agricultural and climate policy.";"GIL, J. D. B.
GARRETT, R. D.
ROTZ, A.
DAIOGLOU, V.
VALENTIM, J. F.
PIRES, G. F.
COSTA, M. H.
LOPES, L. B.
REIS, J. C. dos";"";"Environmental Research Letters, v. 13, n. 6, June 2018.";"LA Referencia";"2018-12-31";"en";"deforestation";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"BRA";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/BR_a4abc0638e806234710b026410be0c8d";"http://www.alice.cnptia.embrapa.br/bitstream/doc/1092373/1/26625.pdf";"";"";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:CR_ec71a0ff7000fcb007669f056c7fff03";"Capacidad de las tierras para uso agrícola en la subcuenca media-alta del río Pirrís, Los Santos, Costa Rica";"";"El uso de la tierra en la subcuenca mediaalta del río Pirrís, está diferenciado por la altitud sobre el nivel del mar. Entre los 1075 y 1700 m de elevación, la principal actividad agrícola es el cultivo del café, desarrollado sobre suelos arcillosos del orden de los Ultisoles con importantes manifestaciones de erosión. Por encima de los 1700 m y hasta los 3100 m dominan los Andisoles, Inceptisoles y Entisoles, utilizados con bosques, pastos, frutales de altura, algo de hortalizas, floricultura, piscicultura, hoteles de montaña, producción de carbón en trincheras y donde existe menor pérdida de suelo. En general, el área se caracteriza por las tierras montañosas con fuerte pendiente (30 a 60%) y unos pocos relieves suaves que ocupan valles profundos con terrazas recientes. Rasgos visibles permitieron estimar que en suelos agropecuarios hay un 60% de erosión moderada (laminar y en surcos) y un 18% de severa a muy severa, sin considerar una erosión lineal que se presenta por caminos mal diseñados, ausencia de cunetas, excavaciones para infraestructura y deslizamientos activos que provocan remociones de suelo en grandes proporciones. En cuanto a profundidad efectiva, los suelos profundos significan el 44% del área, mientras que un 38% son moderadamente profundos y el 17% son poco profundos a superficiales. Las calicatas localizadas en la parte media alta de la subcuenca señalan un 33% de suelos con fertilidad baja y 52% de fertilidad muy baja. Considerando los factores pendiente, erosión actual visible, fertilidad y profundidad de suelos, la capacidad de uso de las tierras agrícolas en el área estudiada, revela que 1% de las tierras son clase III; 2% clase V; 8% clase VIII; 26% clase VII y 63% de clases IV y VI.";"Chinchilla, Miguel
Alvarado, Alfredo
Mata, Rafael";"";"Universidad de Costa Rica";"LA Referencia";"2010-06-03";"es";"land use;farmland";"";"Land Use, Management & Investment";"CRI";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/CR_ec71a0ff7000fcb007669f056c7fff03";"https://revistas.ucr.ac.cr/index.php/agrocost/article/view/6689";"";"";"Copyright (c) 2016 Agronomía Costarricense";""
"LaReferencia:AR_475342a8f4b4d8abf06b33d9b247a404";"Desarrollo capitalista y transformaciones en las formas sociales de producción en el agro pampeano. Un ejercicio de construcción de tipologías de explotaciones agropecuarias, 1969-2002";"";"Universidad Nacional de Quilmes. Centro de Estudios e Investigaciones";"Martinelli, Guillermo Oscar de";"";"Universidad Nacional de Quilmes";"LA Referencia";"2012-03-23";"es";"land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"ARG";"Reports & Research";"http://www.lareferencia.info/vufind/Record/AR_475342a8f4b4d8abf06b33d9b247a404";"http://ridaa.unq.edu.ar/handle/20.500.11807/195";"";"CC-BY-NC-ND";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:EC_9b42941fbaa221c58e0b08531c296400";"La teoría de la práctica aplicada a la interpretación del desarrollo rural: el caso de la unión de organizaciones campesinas del norte de Cotopaxi";"";"En esta tesis de Maestría se analiza la existencia de diferencias en las evaluaciones campesinas e institucionales sobre el desarrollo rural en el caso de la Unión de Organizaciones Campesinas del Norte de Cotopaxi. Considero el término evaluación, tanto en relación a los campesinos como a los agentes institucionales, como la construcción de significados o sentidos, que realizan los individuos o grupos sociales a partir de su experiencia práctica y de su bagaje histórico. Las evaluaciones o producciones de significados sobre el desarrollo rural son fabricadas en contextos específicos de interacción social y situadas en la historia individual y colectiva. En mi trabajo indago sobre el contexto de producción de los significados tanto en los campesinos como en los agentes institucionales involucrados en el proceso de desarrollo experimentado en el área rural de la parroquia Toacaso, provincia de Cotopaxi, Ecuador.";"Eguiguren E, Amparo";"";"Facultad Latinoamericana de Ciencias Sociales Ecuador";"LA Referencia";"1995-12-31";"es";"rural development;land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"ECU";"Reports & Research";"http://www.lareferencia.info/vufind/Record/EC_9b42941fbaa221c58e0b08531c296400";"http://hdl.handle.net/10469/517";"";"";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:EC_c3a210da0c5cd1c7edf86636d3566f66";"El desborde de la violencia : raza, capital y grupos armados en la expansión transnacional de la palma aceitera en Nariño y Esmeraldas";"";"Las condiciones estructurales de discriminación, pobreza, exclusión y violencia frente a los pueblos afro-descendientes en el norte de la provincia de Esmeraldas, han permitido que en esta región del Ecuador, como Choco y Tumaco en Colombia, queden a merced de factores que vulneren sus prácticas de vida. Parte de esos factores se han ido estructurando con la presencia de actores armados ilegales colombianos, sicarios ecuatorianos, rutas de narcotráfico y en los últimos años con el cultivo de palma aceitera y la minería ilegal. La palma aceitera en el Ecuador aparece como un proyecto de desarrollo que tiene sus primera expresión en la región de Quininde, posteriormente se expande a mas regiones del país, donde la que ha tenido mayor crecimiento en la última década ha sido el bloque de cultivo que corresponde al norte de Esmeraldas en los Cantones de Eloy Alfaro y San Lorenzo, El monocultivo en su expansión a vulnerado la soberanía alimentaria de las comunidades afro-descendientes e indígenas que habitan esta región fronteriza, sumado a ello se han dado situaciones no muy claras de traspaso de tierras, y por ultimo con la consolidación del cultivo de la palma en la región también se da la consolidación de grupos armados ilegales colombiano y sicariales ecuatorianos, que vieron en la región una forma de establecer economías ilegales y ejercer el narcotráfico, todo ello con ayuda del ejercicio de la violencia.";"Roa Ovalle, Iván Ernesto";"";"Facultad Latinoamericana de Ciencias Sociales Ecuador";"LA Referencia";"2012-10-31";"es";"deforestation;mining;territory";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"ECU;COL";"Reports & Research";"http://www.lareferencia.info/vufind/Record/EC_c3a210da0c5cd1c7edf86636d3566f66";"http://hdl.handle.net/10469/5385";"";"";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:AR_9a5cc1c468c41ea53dd46a0512d4551c";"Dossier ""Agro, políticas públicas y corporaciones en los gobiernos peronistas""";"";"La importancia que tradicionalmente ha tenido la producción agraria en Argentina, en sus distintas expresiones nacionales y regionales, han estimulado la indagación y reflexión histórica sobre los diversos aspectos que hacen a la conformación de esta actividad productiva.";"Lazzaro, Silvia Beatriz
Blanco, Graciela
Blanco, Monica Alejandra";"";"Investigaciones Socio Históricas Regionales";"LA Referencia";"2016-04-15";"es";"land tenure";"";"Land Policy & Legislation;Access to Land & Tenure Security";"ARG";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/AR_9a5cc1c468c41ea53dd46a0512d4551c";"http://hdl.handle.net/11336/5239";"";"CC-BY-NC-ND";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
"LaReferencia:AR_376d4c40eb6d68ed403fc569e9d9c2db";"Dust storms, drought and desertification in the Southwest of Buenos Aires Province, Argentina";"";"The study region is one of the most endangered area from wind erosion in the country. This process, coupled with recurrent droughts in last decades and the mishandling of productive practices have generated desertification. This study presents a review of the interaction of these processes based on literature, field survey and perception of producers. Recommendations for rehabilitation are proposed. The area covers 6.5 million hectares, hosting in 2002: 550,000 people and 7,825 farms in irrigated and non-irrigated lands. Irrigated lands are devoted to agricultural production. Non-irrigated have a mixed production system (beef cattle-wheat). Mean annual rainfall in 1940-2014 was 407 mm. In 60% of these years, rainfall was below the mean. Desertification in the area is a consequence of drought and mismanagement. In wet cycles, producers increase stocking rate and wheat-sown area using the same practices of the humid pampa. As a consequence of dry cycles, land is abandonment and fields covered by sand and invasive plants. Over 20 cm of soil has blown away and sand accumulates in fences and stays suspended in the atmosphere, reaching Bahía Blanca city and up to 400 km into the Atlantic Ocean. The area requires deep structural changes in production systems and their management. Emphasis should be on sustainable management, which involves a mentality change of producers and decision makers. Recommendations were made for cleared and non-cleared lands.";"Abraham, Elena María
Guevara, Juan Carlos
Candia, Roberto Juan
Soria, Nelson Darío";"";"Universidad Nacional de Cuyo";"LA Referencia";"2016-12-01";"en";"desertification";"Land, Climate change & Environment";"Land Use, Management & Investment";"ARG";"Journal Articles & Books";"http://www.lareferencia.info/vufind/Record/AR_376d4c40eb6d68ed403fc569e9d9c2db";"http://bdigital.uncu.edu.ar/8699";"";"CC-BY";"info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.";""
