ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
LaReferencia:BR_e3f01b7f43957dc6dbc17109119401b7;Análise do manejo das águas pluviais no município de São Carlos : estudo da bacia do córrego Santa Maria do Leme;;"A major challenge of Brazilian municipalities is to harmonize urban growth with the provision of public service. São Carlos, a municipality in the State of São Paulo also tries to solve this issue. The lack of urban planning coupled with the absence of occupation control measures promotes the soil sealing, which is responsible for the flooding in the valley bottoms. Considering this scenario, the object of study of this dissertation is the creek watershed Santa Maria do Leme. This watershed, even undeveloped, suffers with the occurrence of flooding in the region of its mouth. The aim of this study was to identify the main factors that contribute directly or indirectly with the flooding in the watershed. To this end, the following analyzes were performed: chronological analysis of the evolution of the runoff coefficient and the design flow by Rational Method ; analysis of velocity and capacity of flow in urban crossings; and analysis of the main legal instruments and the direct actions of the municipality in the management of urban drainage. The results indicate a problematic assessment of the region. Were analysed six crossings and only two have enough transport capacity for the flow of current project, and the municipal Master Plan indicates the region free of this basin as a potential area of urban expansion, a fact that may further aggravate the problems.";Pelissari, Mario Henrique Dias;;"Universidade Federal de São Carlos;Câmpus São Carlos";LA Referencia;31/10/2016;pt;"water management; urban planning; urban population;";Urban Tenure;Land Use, Management & Investment;BRA;Reports & Research;http://www.lareferencia.info/vufind/Record/BR_e3f01b7f43957dc6dbc17109119401b7;https://repositorio.ufscar.br/bitstream/ufscar/7940/1/DissMHDP.pdf;;;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:CO_1a914e749e3f5fb020699bf4ff4370c4;Land Restitution and Prevention of Forced Displacement in Colombia;;El conflicto armado interno en Colombia se caracteriza por la generación de más de tres millones de desplazados internos, con consecuencias dramáticas desde el punto de vista humanitario y desde la óptica de la protección de sus derechos. En ocasiones, las razones fundamentales de dicho desplazamiento descansan en una dinámica de control y apropiación territorial con fines tanto estratégico-militares como puramente económicos. Los estándares jurídicos de orden interno e internacional establecen el derecho de las víctimas a la restitución de sus viviendas y patrimonio como el “medio preferente” de reparación en casos de desplazamiento, algo que no se está teniendo en cuenta suficientemente por parte de las políticas de atención al desplazamiento del Gobierno colombiano y de diversas instituciones internacionales. Cualquier política integral de reparación a las víctimas debe pasar necesariamente por la reversión del despojo de tierras, territorios y bienes que se ha producido en Colombia al amparo del conflicto armado interno.;Gómez-Isa, Felipe;;Universidad del Rosario;LA Referencia;09/11/2010;es;"displacement; land dispute; land distribution; land reform;";Land Conflicts;Access to Land & Tenure Security;COL;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/CO_1a914e749e3f5fb020699bf4ff4370c4;https://revistas.urosario.edu.co/index.php/sociojuridicos/article/view/1365;;CC-BY-NC;Copyright (c) 2014 Estudios Socio-Jurídicos;
LaReferencia:CO_1191500febe1b9113f7348ad6a73330c;Security choices of a population, victim of forced displacement. The case of the 8th commune in Medellín;;Is it possible that populations living in precarious socio-economic conditions and in violent contexts, can provide a different security from that offered by the State and illegal armed actors? It is the question that this article answers, based on a research carried out in Medellin, with victims of forced displacement of the Commune 8, which works with a focus on human security and methodology from the bottom. It analyzes the policies of the State security, contrasting them against the community initiatives in order to address their insecurities through action strategies and community agendas and thus provide human security and settle as citizens and social collectives empowered politically. It points out limitations and potentialities of a proposal of security applied by a highly violated and vulnerable population group.;"Angarita Cañas, Pablo E.

Yepes, Cristian Ricardo";;Universidad San Buenaventura;LA Referencia;03/07/2015;es;"displacement; land dispute";Land Conflicts;Access to Land & Tenure Security;COL;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/CO_1191500febe1b9113f7348ad6a73330c;http://revistas.usb.edu.co/index.php/Agora/article/view/1625;;CC-BY-NC;Copyright (c) 2015 Ágora U.S.B.;
LaReferencia:PE_8af35c2e03ee2cffe4d4f45ce8febcaf;‘As deadly as armed conflict? Gang violence and forced displacement in the Northern Triangle of Central America’;;The flurry of interest around the European refugee crisis, whilst plainly justified, should not have the effect of distracting international attention from equally pressing humanitarian and refugee crises in other parts of the world. As such, this article highlights the extreme nature and scale of gang violence in the Northern Triangle countries of Central America, which has resulted in substantial forced displacement of affected populations. The article argues that, despite certain commonalities with situations of internal armed conflict (such as Syria), the scenario in the Northern Triangle poses a distinct set of additional challenges for ensuring the protection of refugees and displaced persons from these countries. The urgent need to address these challenges in the Americas is no less than for those presented by the current refugee crisis in Europe.;Cantor, David James;;Agenda Internacional;LA Referencia;23/09/2016;es;"displacement; land dispute";Land Conflicts;Access to Land & Tenure Security;"150;013;019;SYR";Journal Articles & Books;http://www.lareferencia.info/vufind/Record/PE_8af35c2e03ee2cffe4d4f45ce8febcaf;http://revistas.pucp.edu.pe/index.php/agendainternacional/article/view/15277;;CC-BY;Copyright (c) 2016 Agenda Internacional;
LaReferencia:AR_7dd24fc9e5cc9399cfe44606db8f1b7b;Migración, fronteras y desplazamientos en la ciudad. Dinámicas de la alteridad urbana en Buenos Aires;;"A partir del análisis de la experiencia urbana de migrantes bolivianos en la ciudad de Buenos Aires, el artículo problematiza los modos habituales de pensar las relaciones entre territorio, diferencia y desigualdad: el gueto racial y la periferia pobre. En el artículo se resalta la imposibilidad de comprender estos procesos en clave unidimensional, enfatizando la relevancia de las intersecciones de clase, nacionalidad, género y ""raza"" en la estructuración y uso del espacio urbano. Para esto, se analiza no sólo la posición y localización geográfica de los migrantes, sino también sus lógicas de circulación y sus interacciones sociales en el espacio de la ciudad, en el que se reproducen y también se cuestionan las fronteras que estructuran la vida urbana.";"Caggiano, Sergio

Segura, Ramiro";;;LA Referencia;05/02/2016;es;"displacement; urban areas; urban planning; urban population; land development (urbanization)";"Land Conflicts;Urban Tenure";"Land Use, Management & Investment;Access to Land & Tenure Security";ARG;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/AR_7dd24fc9e5cc9399cfe44606db8f1b7b;http://hdl.handle.net/11336/4054;;CC-BY-NC-SA;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:CO_4f255f24a5c436432696c2ad84c15816;La banalidad del desplazamiento: de peleas estadísticas y vacíos en la representación étnica del desplazamiento forzado en Colombia;;Colombia tiene una de las mayores cifras de desplazados internos en el mundo. Sin embargo, hay un enigma. Mientras las cifras más recientes de las ONG calculan en 4 millones el número total de desplazados internos desde 1985, las cifras del gobierno colombiano muestran estimativos mucho más bajos, de 1,9 millones. De hecho, hay importantes discrepancias en las maneras como se identifica, cuenta y clasifica a los desplazados. Más aún, mientras ahora es una opinión generalizada el hecho de que el desplazamiento ha afectado de manera proporcionalmente mayor a las poblaciones negras en comparación con las poblaciones mestizas, no existen datos que respalden esa opinión. La población desplazada no ha sido representada en términos de su composición étnica. En este artículo, basándome en el trabajo de Hannah Arendt sobre el terror y la maldad, propongo la noción de «banalidad del desplazamiento» para explicar esa perspectiva daltónica en los discursos y la representación del desplazamiento en Colombia. Estudiaré en particular el caso de la población afrocolombiana, basado en datos de campo recopilados desde 1996, cuando comencé mi trabajo con el movimiento social de las comunidades negras en Colombia.;"Oslender, Ulrich; Florida International University Miami, Estados Unidos de América";;Pontificia Universidad Javeriana;LA Referencia;01/01/2010;es;"displacement; land dispute; land distribution;";Land Conflicts;Access to Land & Tenure Security;COL;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/CO_4f255f24a5c436432696c2ad84c15816;http://revistas.javeriana.edu.co/index.php/univhumanistica/article/view/2286;;;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:CO_431e47a77589184eca13d435c54abe9c;Ruralidad en contextos metropolitanos, un desafío en procesos de planeación, ordenamiento territorial y gestión;;La planificación, el ordenamiento territorial y la gestión de la ruralidad requieren una aproximación y consenso en torno a la noción de lo rural en contextos metropolitanos, sistémicamente interdependiente al fenómeno de urbanización, dinámica poblacional, modelo económico y de ocupación de la región, a fin de develar las nuevas funciones o roles estratégicos que cumple dicho espacio en el desarrollo, desde la perspectiva culturalista de sostenibilidad, recuperación y mejora de la conectividad ecosistémica, hasta el surgimiento social y económico de diversificación de la actividad productiva agropecuaria, forestal, minera, agroindustrial y de servicios ambientales y ecoturísticos. La ruralidad es clave en el control de la expansión urbana y el cambio cultural y tecnológico de aprovechamiento de recursos y uso del suelo. Las transformaciones del modelo de ocupación visibilizadas desde la relevancia de lo rural, la dinámica regional, los imaginarios colectivos y el fortalecimiento de los procesos de participación ciudadana deben ser incorporadas en la planeación, ordenación y gestión del territorio rural, en la articulación de las políticas e instrumentos, homologación de normas y construcción de un consenso entre autoridades e instancias del sistema institucional. Medellín cuenta con importantes antecedentes de intervención rural: parques ecológicos campesinos, de bordes urbano-rurales, distritos de manejo integrado, agrario y rural, áreas de reserva y planes especiales, pero aún falta hacer coherentes las medidas e inversiones en función de las oportunidades endógenas con responsabilidad social y ecológica e impacto en la calidad de vida de las comunidades tradicionales de ese espacio rural.;Cadavid-Arboleda, G. M. (Gloria María);;Civil, Ambiental Geológica e Industrial;LA Referencia;31/08/2009;es;"rural development; urban areas; urban population; agriculture; land use; sustainable development";"Urban Tenure;Socio-Economic & Institutional Context";Land Use, Management & Investment;COL;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/CO_431e47a77589184eca13d435c54abe9c;http://hdl.handle.net/11190/662;;;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:AR_fa883db87e8543f10e8e31a02b3176ba;Multidisciplinary approach to assess the water self-depuration characteristics of Suquía River (Córdoba, Argentina);;We analyzed the following characteristics of water self-depuration capacity along a polluted river (Suquía River) in Argentina: a) abundance of microbial metabolic groups, b) cover and type of vegetation, and c) type and concentration of soil and sediment humic substances. The objective was to establish the modifications of water self-depuration characteristics of the polluted sites in comparison to a reference site, in order to provide basic data for ecological restoration programs. Five samples of riparian soil, water and sediments were collected at a reference site and five polluted sites during low and high flow water periods. In each site the vegetation type and soil cover were recorded. In all samples the abundance of ammonifiers, nitrate-reducers, sulfate-reducers, cellulolytic microorganisms, aerobic heterotrophs and fermenters were measured. Besides soil and sediment organic matter and humic and fulvic acids content were analyzed. Our results showed that all sites differed in their water self-depuration characteristics with respect to the reference site and that these variations are due to a combination of natural and anthropic factors. The Suquía River presents a great heterogeneity of water self-depuration characteristics but it does not achieve a mitigation of the anthropogenic impact produced by Córdoba city. We concluded that restoration actions in lotic ecosystems should be adapted for each river sector.;"Merlo, Carolina

Abril, Adriana";;Sociedad de Biología de Chile;LA Referencia;28/12/2016;en;"natural resources management; water management; sustainable land use";Land, Climate change & Environment;Land Use, Management & Investment;ARG;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/AR_fa883db87e8543f10e8e31a02b3176ba;http://hdl.handle.net/11336/10525;;CC-BY;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:AR_eb4eadae394972374f46ab7708b3f8d5;El derecho al agua en Latinoamérica;;El presente trabajo intenta describir brevemente la situación del derecho al agua en nuestro subcontinente. Luego de recordar que no obstante ser Latinoamérica una región especialmente favorecida en materia de recursos hídricos, una importante cantidad de su población no tiene acceso al agua en la cantidad y la calidad requerida para llevar una vida digna, se repasan los esfuerzos de la comunidad internacional y de las entidades nacionales para cambiar esa realidad, reconociendo jurídicamente este derecho como un derecho humano esencial y procurando mitigar los devastadores efectos que las privatizaciones incentivadas por las grandes corporaciones del agua causaron en las últimas décadas.;Cenicacelaya, María de las Nieves;;;LA Referencia;01/01/2011;es;"water rights; land governance; land use; natural resources management; water management";;"Land Use, Management & Investment;Access to Land & Tenure Security";Latin America;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/AR_eb4eadae394972374f46ab7708b3f8d5;http://sedici.unlp.edu.ar/handle/10915/19356;;CC-BY-NC-ND;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
LaReferencia:BR_cdcf000428eefc4d78054af757633175;LIDAR-based estimation of bole biomass for precision management of an Amazonian forest: comparisons of ground-based and remotely sensed estimates.;;Based on airborne LIDAR data on canopymorphology and height of Amazon forest trees, we developed allometric models to estimate dry biomass stored in the boles of dominant and co-dominant individuals and compared these results with those from equations based on traditional variables such as diameter at breast height (DBH). The database consisted of 142 trees of interest for logging in a forest under management for timber in Brazil's state of Acre. The trees chosen for studywere selected through proportional sampling by diameter class (ranging from45 to 165 cm DBH) in order to properly represent the dominant and co-dominant tree populationswith diameters appropriate for harvest. Subsequent to LIDAR profiling of these trees, they were felled, subjected to a battery of dimensional measurements and sampled for wood-density determination. A set ofmodels was generated, followed by model selection and identity testing in order to compare groups of basicwood density (low, medium and high). The morphometric variables of the crown had high explanatory power for bole biomass independent of whether the allometric equations included DBH. When calculating bole biomass with equations that include basic wood density, the best estimate is obtained using variables for both DBH and crown morphology. To obtain an allometric equation that encompasses species in all three classes of basic density, one should either use only independent variables representing crown dimensions or complement these with variables for basic density (BD) and total height (Ht). The study demonstrates the feasibility of using ground-based measurements to calibrate biomass models that include only LIDAR-based variables, allowing much larger areas to be surveyed with reasonable accuracy. The present study is designed to produce data needed for forest management, but the methods developed here can be adapted to studies aimed at reducing the uncertainty in biomass estimates of whole forests (not just harvestable trees) for use in quantifying carbon emissions from forest loss and degradation.;"FIGUEIREDO, E. O.

OLIVEIRA, M. V. N. d'

BRAZ, E. M.

PAPA, D. de A.

FEARNSIDE, P. M.";;Remote Sensing of Environment, Amsterdam, v. 187, p. 281-293, Dec. 2016.;LA Referencia;31/10/2016;en;"land use; forest land;forest management plans; forest conservation";"Land, Climate change & Environment;Forest Tenure";Land Use, Management & Investment;BRA;Journal Articles & Books;http://www.lareferencia.info/vufind/Record/BR_cdcf000428eefc4d78054af757633175;http://www.alice.cnptia.embrapa.br/bitstream/doc/1055435/1/26171.pdf;;;info:eu-repo/semantics/openAccess : Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles.;
