ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
10.3390/land4030688;Livestock and Ecosystem Services: An Exploratory Approach to Assess Agri-Environment-Climate Payments of RDP in Trentino;;The identification of an appropriate justification for Agri-Environment-Climate (AEC) payments is a crucial issue in the new Rural Development Programme (RDP). Given the environmental importance of grasslands in Trentino (Italy), the Management Authority in charge of the RDP decided to integrate an approach based on Ecosystem Services (ES) into the calculation of AEC payments. The paper presents the methodology used for this approach as well as the preliminary results. The first step entails building a probabilistic model for the ES, named Sustainable Fodder Production. Model outputs are then integrated with the accounting results based on the Farm Accountancy Data Network (FADN) database (2009–2012) with the aim of calculating the additional costs and income waived due to the environmental commitments deriving from the sustainable management of permanent grassland in livestock farming. Sustainability measures imply more extensive management practices that maintain meadows in a healthy state.;"Notte, L. Alessandra
Marongiu, Sonia
Masiero, Mauro
Molfetta, Pietro
Molignoni, Riccardo
Cesaro, Luca";;Land Journal;Land Journal;2015-09-31;en;"farming systems;land management;research;agricultural land management";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/3/688/;http://www.mdpi.com/2073-445X/4/3/688/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3031137;Fuelwood Savings and Carbon Emission Reductions by the Use of Improved Cooking Stoves in an Afromontane Forest, Ethiopia;;In many Sub-Saharan African countries, fuelwood collection is among the most important drivers of deforestation and particularly forest degradation. In a detailed field study in the Kafa region of southern Ethiopia, we assessed the potential of efficient cooking stoves to mitigate the negative impacts of fuelwood harvesting on forests. Eleven thousand improved cooking stoves (ICS), specifically designed for baking Ethiopia’s staple food injera, referred to locally as “Mirt” stoves, have been distributed here. We found a high acceptance rate of the stove. One hundred forty interviews, including users and  non-users of the ICS, revealed fuelwood savings of nearly 40% in injera preparation compared to the traditional three-stone fire, leading to a total annual savings of 1.28 tons of fuelwood per household. Considering the approximated share of fuelwood from unsustainable sources, these savings translate to 11,800 tons of CO2 saved for 11,156 disseminated ICS, corresponding to the amount of carbon stored in over 30 ha of local forest. We further found that stove efficiency increased with longer injera baking sessions, which shows a way of optimizing fuelwood savings by adapted usage of ICS. Our study confirms that efficient cooking stoves, if well adapted to the local cooking habits, can make a significant contribution to the conservation of forests and the avoidance of carbon emission from forest clearing and degradation.;"Dresen, Elisabeth
DeVries, Ben
Herold, Martin
Verchot, Louis
Müller, Robert";;Land Journal;Land Journal;2014-09-31;en;"forest management plans;research;land environment;sustainable land management";"Land, Climate change & Environment;Forest Tenure";Land Use, Management & Investment;ETH;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/3/1137/;http://www.mdpi.com/2073-445X/3/3/1137/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4030578;How to Make a Barranco: Modeling Erosion and Land-Use in Mediterranean Landscapes;;We use the hybrid modeling laboratory of the Mediterranean Landscape Dynamics (MedLanD) Project to simulate barranco incision in eastern Spain under different scenarios of natural and human environmental change. We carry out a series of modeling experiments set in the Rio Penaguila valley of northern Alicante Province. The MedLanD Modeling Laboratory (MML) is able to realistically simulate gullying and incision in  a multi-dimensional, spatially explicit virtual landscape. We first compare erosion modeled in wooded and denuded landscapes in the absence of human land-use. We then introduce simulated small-holder (e.g., prehistoric Neolithic) farmer/herders in six experiments, by varying community size (small, medium, large) and land management strategy (satisficing and maximizing). We compare the amount and location of erosion under natural and anthropogenic conditions. Natural (e.g., climatically induced) land-cover change produces a distinctly different signature of landscape evolution than does land-cover change produced by agropastoral land-use. Human land-use induces increased coupling between hillslopes and channels, resulting in increased downstream incision.;"Barton, M. C.
Ullah, Isaac
Heimsath, Arjun";;Land Journal;Land Journal;2015-09-31;en;"land use;land cover;land environment;research;capacity building;farming systems;agricultural land management";Land, Climate change & Environment;Land Use, Management & Investment;ESP;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/3/578/;http://www.mdpi.com/2073-445X/4/3/578/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4010157;Examining Social Adaptations in a Volatile Landscape in Northern Mongolia via the Agent-Based Model Ger Grouper;;The environment of the mountain-steppe-taiga of northern Mongolia is often characterized as marginal because of the high altitude, highly variable precipitation levels, low winter temperatures, and periodic droughts coupled with severe winter storms (known as dzuds). Despite these conditions, herders have inhabited this landscape for thousands of years, and hunter-gatherer-fishers before that. One way in which the risks associated with such a challenging and variable landscape are mitigated is through social networks and  inter-family cooperation. We present an agent-based simulation, Ger Grouper, to examine how households have mitigated these risks through cooperation. The Ger Grouper simulation takes into account locational decisions of households, looks at fission/fusion dynamics of households and how those relate to environmental pressures, and assesses how degrees of relatedness can influence sharing of resources during harsh winters. This model, coupled with the traditional archaeological and ethnographic methods, helps shed light on the links between early Mongolian pastoralist adaptations and the environment. While preliminary results are promising, it is hoped that further development of this model will be able to characterize changing land-use patterns as social and political networks developed.;"Clark, K. Julia
Crabtree, A. Stefani";;Land Journal;Land Journal;2015-03-31;en;"land;agricultural land management;land;area;farming systems";;Land Use, Management & Investment;MNG;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/1/157/;http://www.mdpi.com/2073-445X/4/1/157/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3031180;Regional Development Scenario Evaluation through Land Use Modelling and Opportunity Mapping;;In the context of sustainable urban development, the application of  selected indicators integrated with scenario simulation and analysis can contribute to evidence-based decision making. This paper discusses the application of land use modelling and opportunity mapping approaches to evaluate regional development scenarios for the Greater Dublin Region in the period to 2026 evolving from research initially developed with the Dublin Regional Authority. This involved the simulation of four different future regional development scenarios using an adapted version of the MOLAND model with opportunity maps based on combined spatial indicators corresponding to these scenarios. The results produce valuable information for policy makers and planners assisting the evaluation of the consequences of their decisions in both a spatial and temporal context. This paper aims to show how current and future planning and economic policy can make targeted and evidence-based policy interventions and achieve resource efficiencies through the use of scenario analysis.;"Shahumyan, Harutyun
Williams, Brendan
Petrov, Laura
Foley, Walter";;Land Journal;Land Journal;2014-09-31;en;"land use;land use mapping";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/3/1180/;http://www.mdpi.com/2073-445X/3/3/1180/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4010019;Acknowledgement to Reviewers of Land in 2014;;The editors of Land would like to express their sincere gratitude to the following reviewers for assessing manuscripts in 2014:[...];Land Editorial Office;;Land Journal;Land Journal;2015-03-31;en;"land;research";Land Stakeholders & Institutions;;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/1/19/;http://www.mdpi.com/2073-445X/4/1/19/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4020378;Landscape Epidemiology Modeling Using an Agent-Based Model and a Geographic Information System;;A landscape epidemiology modeling framework is presented which integrates the simulation outputs from an established spatial agent-based model (ABM) of malaria with a geographic information system (GIS). For a study area in Kenya, five landscape scenarios are constructed with varying coverage levels of two mosquito-control interventions. For each scenario, maps are presented to show the average distributions of three output indices obtained from the results of 750 simulation runs. Hot spot analysis is performed to detect statistically significant hot spots and cold spots. Additional spatial analysis is conducted using ordinary kriging with circular semivariograms for all scenarios. The integration of epidemiological simulation-based results with spatial analyses techniques within a single modeling framework can be a valuable tool for conducting a variety of disease control activities such as exploring new biological insights, monitoring epidemiological landscape changes, and guiding resource allocation for further investigation.;"Arifin, M. S.
Arifin, R. Rumana
Pitts, D. Dilkushi
Rahman, S. M.
Nowreen, Sara
Madey, R. Gregory
Collins, H. Frank";;Land Journal;Land Journal;2015-06-31;en;"geographical information systems;land;research;agricultural land management";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/2/378/;http://www.mdpi.com/2073-445X/4/2/378/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land5030022;Landscape-Scale Disturbance: Insights into the Complexity of Catchment Hydrology in the Mountaintop Removal Mining Region of the Eastern United States;;Few land disturbances impact watersheds at the scale and extent of mountaintop removal mining (MTM). This practice removes forests, soils and bedrock to gain access to underground coal that results in likely permanent and wholesale changes that impact catchment hydrology, geochemistry and ecosystem health. MTM is the dominant driver of land cover changes in the central Appalachian Mountains region of the United States, converting forests to mine lands and burying headwater streams. Despite its dominance on the landscape, determining the hydrological impacts of MTM is complicated by underground coal mines that significantly alter groundwater hydrology. To provide insight into how coal mining impacts headwater catchments, we compared the hydrologic responses of an MTM and forested catchment using event rainfall-runoff analysis, modeling and isotopic approaches. Despite similar rainfall characteristics, hydrology in the two catchments differed in significant ways, but both catchments demonstrated threshold-mediated hydrologic behavior that was attributed to transient storage and the release of runoff from underground mines. Results suggest that underground mines are important controls for runoff generation in both obviously disturbed and seemingly undisturbed catchments and interact in uncertain ways with disturbance from MTM. This paper summarizes our results and demonstrates the complexity of catchment hydrology in the MTM region.;"Miller, J. Andrew
Zégre, Nicolas";;Land Journal;Land Journal;2016-09-31;en;"disturbance;mining;extractive industries;land use planning";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/5/3/22/;http://www.mdpi.com/2073-445X/5/3/22/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2016 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land3041214;Development of a Historical Multi-Year Land Cover Classification Incorporating Wildfire Effects;;"Land cover change impacts ecosystem function across the globe. The use of land cover data is vital in the detection of these changes over time; however, most available land cover products, such as the National Land Cover Dataset (NLCD), are produced relatively infrequently. The most recent NLCD at the time of this research was produced in 2006 and does not adequately reflect the impact of land cover changes that have occurred since, including the occurrence of two large wildfires in 2008 in our study area. Therefore, there is a need for the classification of historical remotely sensed data, such as Landsat scenes, through replicable methods. While it is possible to collect field data coinciding with current or future Landsat acquisitions, it is impossible to retrospectively collect data for previous years; thus, fewer studies have focused on the classification of historical scenes. Using a single year of field reference and multi-year aerial photography data, we applied a simple decision tree classifier to accurately classify historic satellite data and produced maps of land cover to incorporate the effects of 2008 wildfires occurring between NLCD production dates. Overall accuracy ranged from 76 to 90 percent and was assessed using conventional error matrices.";"Morrison, D. Katherine
Kolden, A. Crystal";;Land Journal;Land Journal;2014-12-31;en;"land cover;land allocation";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/3/4/1214/;http://www.mdpi.com/2073-445X/3/4/1214/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2014 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land4020513;Human Appropriation of Net Primary Production (HANPP) in an Agriculturally-Dominated Watershed, Southeastern USA;;Human appropriation of net primary production (HANPP) quantifies alteration of the biosphere caused by land use change and biomass harvest. In global and regional scale assessments, the majority of HANPP is associated with agricultural biomass harvest. We adapted these methods to the watershed scale and calculated land cover change and HANPP in an agricultural watershed in 1968 and 2011. Between 1968 and 2011, forest cover remained near 50% of the watershed, but row crop decreased from 26% to 0.4%, pasture increased from 19% to 32%, and residential area increased from 2% to 10%. Total HANPP decreased from 35% of potential Net Primary Productivity (NPP) in 1968 to 28% in 2011. Aboveground HANPP remained constant at 42%. Land use change accounted for 86%–89% of HANPP. Aboveground HANPP did not change despite the major shift in agricultural land use from row crop and pasture. The HANPP and land use change in Doddies Creek watershed reflects changing land use patterns in the southeastern US, driven by a complex interaction of local to global scale processes including change in farm viability, industrialization of agriculture, and demographic shifts. In the future, urbanization and biofuel production are likely to become important drivers of HANPP in the region. At the watershed scale, HANPP can be useful for improving land use decisions and landscape management to decrease human impact on the ecosystem and ensure the flow of  ecosystem services.;"Andersen, B. C.
Donovan, K. R.
Quinn, E. John";;Land Journal;Land Journal;2015-06-31;en;"agricultural land management;urbanization";Urban Tenure;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/4/2/513/;http://www.mdpi.com/2073-445X/4/2/513/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2015 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
