ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
10.3390/land7010018;Inclusive Businesses and Land Reform: Corporatization or Transformation?;;Inclusive businesses (IBs), embodying partnerships between commercial agribusinesses and smallholder farmers/low-income communities, are considered to contribute towards rural development and agricultural sector transformation. Structured as complex organizational set-ups consisting of, and overcoming the limitations of, standard inclusive instruments (collective organization, mentorship, supply contract, lease/management contract and equity), they allow for the inclusion of smallholders and low-income communities into commercial agricultural value chains. IBs are a way for governments to engage private agribusinesses in agricultural and rural policies. However, will the commercial sector, through IB partnerships, contribute towards the government’s transformation and developmental objectives? Based on case studies in South Africa—a country engaged in land and agrarian reforms—the effects of IBs at the project level appear positive, illustrated by an increase in production and growth in agricultural assets. However, individual beneficiaries experience only a marginal change in income and livelihoods. Whereas land reform, project development and market integration are generally achieved, the transformation and beneficiary development objectives are compromised. Although commercial agribusinesses contribute to investment needs in the sector and smallholder exposure to commercial markets, IB partnerships allow commercial entities control over the smallholders’ assets. Ownership and secure rights, especially of land, and support of external parties to capacitate beneficiaries and adjust power asymmetries, are essential starting points. Without these aspects, IBs will not lead to effective transformation and development.;"Chamberlain, O. Wytske
Anseeuw, Ward";;Land Journal;Land Journal;31/03/2018;en;"land reform;rural development;agriculture";;"Land Use, Management & Investment; Land Policy & Legislation";"ZAF;018";Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/18/;http://www.mdpi.com/2073-445X/7/1/18/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010019;Satellite Monitoring of Vegetation Response to Precipitation and Dust Storm Outbreaks in Gobi Desert Regions;;Recently, droughts have become widespread in the Northern Hemisphere, including in Mongolia. The ground surface condition, particularly vegetation coverage, affects the occurrence of dust storms. The main sources of dust storms in the Asian region are the Taklimakan and Mongolian Gobi desert regions. In these regions, precipitation is one of the most important factors for growth of plants especially in arid and semi-arid land. The purpose of this study is to clarify the relationship between precipitation and vegetation cover dynamics over 29 years in the Gobi region. We compared the patterns between precipitation and Normalized Difference Vegetation Index (NDVI) for a period of 29 years. The precipitation and vegetation datasets were examined to investigate the trends during 1985–2013. Cross correlation analysis between the precipitation and the NDVI anomalies was performed. Data analysis showed that the variations of NDVI anomalies in the east region correspond well with the precipitation anomalies during this period. However, in the southwest region of the Gobi region, the NDVI had decreased regardless of the precipitation amount, especially since 2010. This result showed that vegetation in this region was more degraded than in the other areas.;"Sofue, Yuki
Hoshino, Buho
Demura, Yuta
Kai, Kenji
Baba, Kenji
Nduati, Eunice
Kondoh, Akihiko
Sternberg, Troy";;Land Journal;Land Journal;31/03/2018;en;"land use; environment";Land, Climate change & Environment;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/19/;http://www.mdpi.com/2073-445X/7/1/19/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010014;Responding to Landscape Change: Stakeholder Participation and Social Capital in Five European Landscapes;;The concept of landscape has been increasingly used, in the last decades, in policy and land use planning, both in regard to so-called “special” and to “ordinary” or “everyday” landscapes. This has raised the importance of local and public participation in all issues that refer to landscapes and the definition of the groups that “have a stake” in the landscape. In this paper, we provide insights into how stakeholders perceive the dynamics of local processes of landscape change (and continuity) and which processes of landscape change they perceive as important, in positive and negative ways, from five communities within the European Union. These landscapes involve different landscape issues “at stake”, different national and local planning and decision-making traditions and practices, and varying degrees of engagement. The understanding of these complexities and the unraveling of the insights is done through the concept of social capital and its different forms. We report on three series of workshops that have been organized to discuss landscape issues and approaches or ideas for landscape management. We witnessed interactions between the different stakeholders and gained insights into how social capital affects landscape change. We found that despite differences, similarities emerged concerning the interplay between “expert” and “local” knowledge and between “insideness” and “outsideness”. Social capital plays an important part, as it provides the template for personal and collective evaluation of landscape changes, who should manage these changes and how they should be managed. These findings are important to develop in-depth insights on dynamics and values of cultural landscapes and visions for re-coupling social and ecological components in cultural landscapes and translate them into policy and management options.;"Kizos, Thanasis
Plieninger, Tobias
Iosifides, Theodoros
García-Martín, María
Girod, Geneviève
Karro, Krista
Palang, Hannes
Printsmann, Anu
Shaw, Brian
Nagy, Julianna
Budniok, Marie-Alice";;Land Journal;Land Journal;31/03/2018;en;"agricultural landscape; local community; land management";Land Stakeholders & Institutions;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/14/;http://www.mdpi.com/2073-445X/7/1/14/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010015;Groundwater Irrigation Management and the Existing Challenges from the Farmers’ Perspective in Central Iran;;"The sustainable management of natural resources, and particularly groundwater, presents a major challenge in arid regions to ensure security of water supply and support agricultural production. In many cases, the role of smallholder farmers is often neglected when managing irrigated water and land processes. However, management decisions have a major impact on farmers’ livelihoods, and it is essential: first, to recognise the crucial role of regional and local social, political and economic systems; and second, to integrate farmers’ perspectives in the governance and management of local groundwater practices. This is particularly important as the ways in which arid region farmers use land and water have wider implications for land degradation and salinization. This paper uses a community-based approach to identify and examine the social, economic and cultural dimensions to groundwater irrigation systems from the perspective of local farmers in central Iran. The paper utilises interviews with local farmers and water agencies in Iran to reflect on their respective roles within the irrigation system and in developing management plans for the sustainable use of groundwater. Through social research, we investigate the reasons why farmers might reject government irrigation management schemes and outline how local problems with land degradation and salinization and reduced water availability have arisen as a result of changing management policies. In conclusion, we identify future challenges and consider appropriate future management strategies.";"Jafary, Forough
Bradley, Chris";;Land Journal;Land Journal;31/03/2018;en;"water management; farmers; farming systems; agricultural land management";;"Access to Land & Tenure Security; Land Use, Management & Investment";;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/15/;http://www.mdpi.com/2073-445X/7/1/15/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010016;Plantation Development in the Turkana Basin: The Making of a New Desert?;;Since the early 20th century, “desert reclamation” has been synonymous with large-scale waterworks and irrigation. These techniques have made it possible to produce abundant crops in arid or semi-arid environments. The costs have often been externalized, with increased environmental productivity in the new croplands counterbalanced by increased aridity elsewhere. In this paper I consider whose interests are served by such projects, and what kinds of social constructions of the natural and human environment make them possible. I focus on the Turkana basin, a watershed spanning the Ethiopian and Kenyan borders, where large dams and irrigation projects are currently being established with the goal of producing cash crops and hydro-electricity. In the narratives of the projects’ proponents, the schemes are represented as part of a tradition of development stretching back to the American West. In the discourse of critics, the Aral Sea of Central Asia is frequently invoked. Considering Turkana in relation to these cases sheds light on the political and ecological gambits involved in desert reclamation, and helps us to understand the costs and benefits of such projects.;Stevenson, G. Edward;;Land Journal;Land Journal;31/03/2018;en;"desertification; sustainable land use";Land, Climate change & Environment;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/16/;http://www.mdpi.com/2073-445X/7/1/16/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010017;Mapping Urban Green Infrastructure: A Novel Landscape-Based Approach to Incorporating Land Use and Land Cover in the Mapping of Human-Dominated Systems;;Common approaches to mapping green infrastructure in urbanised landscapes invariably focus on measures of land use or land cover and associated functional or physical traits. However, such one-dimensional perspectives do not accurately capture the character and complexity of the landscapes in which urban inhabitants live. The new approach presented in this paper demonstrates how open-source, high spatial and temporal resolution data with global coverage can be used to measure and represent the landscape qualities of urban environments. Through going beyond simple metrics of quantity, such as percentage green and blue cover, it is now possible to explore the extent to which landscape quality helps to unpick the mixed evidence presented in the literature on the benefits of urban nature to human well-being. Here we present a landscape approach, employing remote sensing, GIS and data reduction techniques to map urban green infrastructure elements in a large U.K. city region. Comparison with existing urban datasets demonstrates considerable improvement in terms of coverage and thematic detail. The characterisation of landscapes, using census tracts as spatial units, and subsequent exploration of associations with social–ecological attributes highlights the further detail that can be uncovered by the approach. For example, eight urban landscape types identified for the case study city exhibited associations with distinct socioeconomic conditions accountable not only to quantities but also qualities of green and blue space. The identification of individual landscape features through simultaneous measures of land use and land cover demonstrated unique and significant associations between the former and indicators of human health and ecological condition. The approach may therefore provide a promising basis for developing further insight into processes and characteristics that affect human health and well-being in urban areas, both in the United Kingdom and beyond.;"Dennis, Matthew
Barlow, David
Cavan, Gina
Cook, A. Penny
Gilchrist, Anna
Handley, John
James, Philip
Thompson, Jessica
Tzoulas, Konstantinos
Wheater, C. Philip
Lindley, Sarah";;Land Journal;Land Journal;31/03/2018;en;"land use; land cover; land administration";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/17/;http://www.mdpi.com/2073-445X/7/1/17/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010010;The Effects of Grazing Systems on Plant Communities in Steppe Lands—A Case Study from Mongolia’s Pastoralists and Inner Mongolian Settlement Areas;;"This study examines the effects of different grazing systems in two neighboring regions with similar biotic and abiotic factors, Nalan Soum in Mongolia and Naren Soum in Inner Mongolia, China. We employed the quadrat sampling method and remote sensing to set three perpendicular lines that dissect the boundary between the two countries, and seven lines parallel to the boundary to form a rectangular shape as a means to compare plant community response to different grazing systems under natural conditions. NDVI data is included in discussing the causes of Mongolian grassland degradation. The results of quadrat sampling and NDVI analysis show that rotational grazing has greater values for the quadrat’s average height, total coverage, total individual density, and total aboveground biomass (p &lt; 0.05), but has lower species richness than continuous grazing (p &gt; 0.05). The NVDI values of rotational grazing in 1989, 2005, 2011, and 2016 were higher those of continuous grazing, and significant difference was shown in 2011 and 2016; the NDVI value of continuous grazing in 1993 was higher than that of rotational grazing, but did not show a significant difference. This indicates that different grazing approaches affect steppe ecological systems in different ways, despite their similar biotic and abiotic factors, as well as grazing intensity. Nonetheless, we find rotational grazing to be better for ecosystem vitality than continuous grazing, to some degree.";"Na, Yintai
Bao, Saixiyalt
Hashimoto, Kanji
McCarthy, Christopher
Hoshino, Buho";;Land Journal;Land Journal;31/03/2018;en;"grazing land rights; agricultural land management; pastoralists";Rangelands, Drylands & Pastoralism;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/10/;http://www.mdpi.com/2073-445X/7/1/10/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010011;Effect of Land Use Change on Soil Carbon Storage over the Last 40 Years in the Shi Yang River Basin, China;;Accounting for one quarter of China’s land area, the endorheic Shiyang River basin is a vast semi-arid to arid region in China’s northwest. Exploring the impact of changes in land use on this arid area’s carbon budget under global warming is a key component to global climate change research. Variation in the region’s soil carbon storage due to land use changes occurring between 1973 and 2012 was estimated. The results show that land use change has a significant impact on the soil carbon budget, with soil carbon storage having decreased by 3.89 Tg between 1973 and 2012. Grassland stored the greatest amount of soil carbon (114.34 Mg ha?1), whereas considerably lower carbon storage occurred in woodland (58.53 Mg ha?1), cropland (26.75 Mg ha?1) and unused land (13.47 Mg ha?1). Grasslands transformed into cropland, and woodlands degraded into grassland have substantially reduced soil carbon storage, suggesting that measures should be adopted to reverse this trend to improve soil productivity.;"Yang, Shurong
Sheng, Danrui
Adamowski, Jan
Gong, Yifan
Zhang, Jian
Cao, Jianjun";;Land Journal;Land Journal;31/03/2018;en;"land use; environment; research";Land, Climate change & Environment;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/11/;http://www.mdpi.com/2073-445X/7/1/11/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010012;The Community Land Act in Kenya Opportunities and Challenges for Communities;;Kenya is the most recent African state to acknowledge customary tenure as producing lawful property rights, not merely rights of occupation and use on government or public lands. This paper researches this new legal environment. This promises land security for 6 to 10 million Kenyans, most of who are members of pastoral or other poorer rural communities. Analysis is prefaced with substantial background on legal trends continentally, but the focus is on Kenya’s Community Land Act, 2016, as the framework through which customary holdings are to be identified and registered. A main conclusion is that while Kenya’s law is positive and even cutting-edge in respects, legal loopholes place communities at risk of their lands not being as secure as promised ahead of formalization, and at risk of losing some of their most valuable lands during the formalization process. This is mainly due to overlapping claims by the national and local government authorities. Political will to apply the law is also weak. The truism that the law is never enough on its own to secure social change is illustrated. With or without legal protection, the assistance of non-state actors will be needed to help communities secure their lands under formal collective entitlements. The need for judicial interpretation of disputed legal provisions may also be required to ensure new constitutional principles are delivered.;Alden Wily, Liz;;Land Journal;Land Journal;31/03/2018;en;"customary tenure; land law; land reform; local community; land governance";;"Access to Land & Tenure Security; Land Policy & Legislation";KEN;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/12/;http://www.mdpi.com/2073-445X/7/1/12/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
10.3390/land7010013;Assessing Riparian Vegetation Condition and Function in Disturbed Sites of the Arid Northwestern Mexico;;"Transformation or modification of vegetation distribution and structure in arid riparian ecosystems can lead to the loss of ecological function. Mexico has 101,500,000 ha of arid lands, however there is a general lack of information regarding how arid riparian ecosystems are being modified. To assess these modifications, we use eight sites in the San Miguel River (central Sonora) to analyze (1) riparian vegetation composition, structure and distribution using field sampling and remote sensing data from Unmanned Aerial Vehicles (UAV); (2) productivity (proxies), using vegetation indices derived from satellite data; and (3) variability posed by riparian vegetation and vegetation adjacent to riparian habitats. The development of a simple yet informative Anthropogenic-disturbance Index (ADI) allowed us to classify and describe each study site. We found sharp differences in vegetation composition and structure between sites due to the absence/presence of obligate-riparian species. We also report significant difference between EVI (Enhanced Vegetation Index) values for the dry season among vegetation types that develop near the edges of the river but differ in composition, suggesting that land cover changes form obligate-riparian to facultative-riparian species can lead to a loss in potential productivity. Finally, our tests suggest that sites with higher disturbance present lower photosynthetic activity.";"Cornejo-Denman, Lara
Romo-Leon, R. Jose
Castellanos, E. Alejandro
Diaz-Caravantes, E. Rolando
Moreno-Vázquez, L. Jose
Mendez-Estrella, Romeo";;Land Journal;Land Journal;31/03/2018;en;"riparian rights; agricultural land management; water management";;Land Use, Management & Investment;;Peer-reviewed publication;http://www.mdpi.com/2073-445X/7/1/13/;http://www.mdpi.com/2073-445X/7/1/13/pdf;private://feeds/LandJournal-thumbnail.png;Creative Commons Attribution;"© 2018 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";
