ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"10.3390/land8120192";"Research-Based Design Approaches in Historic Garden Renovation";"Volume 8 Issue 12";"The renewal of historic gardens, landscapes, and sites has grown to be a current issue in Central and Eastern Europe. Based on scientific research, the Department of Garden Art of the Szent Istv&aacute;n University, Faculty of Landscape Architecture and Urbanism has been dealing with landscape renewal since 1963 on regional, settlement, and garden scales, too. More than 50 years of experience has already proved the advantage of such a research-based design approach in garden and landscape renewal processes, Landscape Architecture has developed from a very practical basis. The purpose of this paper is to show the most significant conclusions of our historic garden research of castle gardens from the Carpathian Basin, focusing on the importance of visual connections designed initially on the sites. Using case studies, the paper intends to explore how proper landscape design in historic environments is achieved. The historical value cannot be simplified or understood as the notion of &ldquo;old&rdquo;, the heritage being represented by the all-time valuable garden features and elements, independent from their formation in time. In addition to the historical authenticity of the actual use, the social needs and sustainability are important aspects, which must be integrated into heritage protection and reclamation.";"Fekete, Albert
Kollányi, László";"";"Land Journal";"Land Journal";"2019-12-31";"en";"research";"";"151";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/192/";"http://www.mdpi.com/2073-445X/8/12/192/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"landscape research;view;visual link;castle garden;garden renewal;Carpathian Basin;research and design;historic garden and landscape";""
"10.3390/land8120193";"Assessing Riyadh’s Urban Change Utilizing High-Resolution Imagery";"Volume 8 Issue 12";"The implications of change on local processes have attracted significant research interest in recent times. In urban settings, green spaces and forests have attracted much attention. Here, we present an assessment of change within the predominantly desert Middle Eastern city of Riyadh, an understudied setting. We utilized high-resolution SPOT 5 data and two classification techniques&mdash;maximum likelihood classification and object-oriented classification&mdash;to study the changes in Riyadh between 2004 and 2014. Imagery classification was completed with training data obtained from the SPOT 5 dataset, and an accuracy assessment was completed through a combination of field surveys and an application developed in ESRI Survey 123 tool. The Survey 123 tool allowed residents of Riyadh to present their views on land cover for the 2004 and 2014 imagery. Our analysis showed that soil or &lsquo;desert&rsquo; areas were converted to roads and buildings to accommodate for Riyadh&rsquo;s rapidly growing population. The object-oriented classifier provided higher overall accuracy than the maximum likelihood classifier (74.71% and 73.79% vs. 92.36% and 90.77% for 2004 and 2014). Our work provides insights into the changes within a desert environment and establishes a foundation for understanding change in this understudied setting.";"Alghamdi, Ali
Cummings, R. Anthony";"";"Land Journal";"Land Journal";"2019-12-31";"en";"land;research";"";"001";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/193/";"http://www.mdpi.com/2073-445X/8/12/193/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"Riyadh;SPOT 5;maximum likelihood classification;object-oriented classification;urban change";""
"10.3390/land8120190";"Farmers’ Perspective on Agriculture and Environmental Change in the Circumpolar North of Europe and America";"Volume 8 Issue 12";"Climate change may increase the importance of agriculture in the global Circumpolar North with potentially critical implications for pristine northern ecosystems and global biogeochemical cycles. With this in mind, a global online survey was conducted to understand northern agriculture and farmers&rsquo; perspective on environmental change north of 60&deg; N. In the obtained dataset with 67 valid answers, Alaska and the Canadian territories were dominated by small-scale vegetable, herbs, hay, and flower farms; the Atlantic Islands were dominated by sheep farms; and Fennoscandia was dominated by cereal farming. In Alaska and Canada, farmers had mostly immigrated with hardly any background in farming, while farmers in Fennoscandia and on the Atlantic Islands mostly continued family traditions. Accordingly, the average time since conversion from native land was 28 &plusmn; 28 and 25 &plusmn; 12 years in Alaska and Canada, respectively, but 301 &plusmn; 291 and 255 &plusmn; 155 years on the Atlantic Islands and in Fennoscandia, respectively, revealing that American northern agriculture is expanding. Climate change was observed by 84% of all farmers, of which 67% have already started adapting their farming practices, by introducing new varieties or altering timings. Fourteen farmers reported permafrost on their land, with 50% observing more shallow permafrost on uncultivated land than on cultivated land. Cultivation might thus accelerate permafrost thawing, potentially with associated consequences for biogeochemical cycles and greenhouse gas emissions. About 87% of the surveyed farmers produced for the local market, reducing emissions of food transport. The dynamics of northern land-use change and agriculture with associated environmental changes should be closely monitored. The dataset is available for further investigations.";"Poeplau, Christopher
Schroeder, Julia
Gregorich, Ed
Kurganova, Irina";"";"Land Journal";"Land Journal";"2019-12-31";"en";"farmers;farming systems;land use;environment;climate change;agriculture";"Land, Climate Change & Environment";"150;CAN";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/190/";"http://www.mdpi.com/2073-445X/8/12/190/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"northern agriculture;farming systems;climate change;climate adaptation;land-use change;survey;permafrost";""
"10.3390/land8120191";"Desertification Risk and Rural Development in Southern Europe: Permanent Assessment and Implications for Sustainable Land Management and Mitigation Policies";"Volume 8 Issue 12";"The United Nations Convention to Combat Desertification defines &lsquo;land degradation&rsquo; as a reduction or loss of the biological and economic productivity resulting from land-use mismanagement, or a combination of processes, such as soil erosion, deterioration of soil properties, and loss of natural vegetation and biodiversity. Land degradation is hence an interactive process involving multiple factors, among which climate, land-use, economic dynamics and socio-demographic forces play a key role. Especially in the Mediterranean basin, joint biophysical and socioeconomic factors shape the intrinsic level of vulnerability of both natural and agricultural land to degradation. The interplay between biophysical and socioeconomic factors may become extremely complex over time and space, resulting in specific patterns of landscape deterioration. This paper summarizes theoretical expectations and empirical knowledge in the field of soil and landscape degradation in Mediterranean Europe, evidencing the intimate relationship between agriculture and socio-demographic factors of growth (or decline) of rural areas. Understanding spatio-temporal trends of each factor underlying land degradation and the related background context is a key tool in the assessment of the spatial distribution of vulnerable and critical land to degradation. Empirical results of a permanent monitoring of land degradation contributes to delineate more effective conservation policies through identification of target areas requiring specific actions for biodiversity and landscape protection. With increasing human pressure on rural environments, a diachronic evaluation of patterns and processes of land degradation reveals particularly appropriate in a both positive and normative perspective, prefiguring new actions for soil conservation and landscape valorization under global change.";"Salvia, Rosanna
Egidi, Gianluca
Vinci, Sabato
Salvati, Luca";"";"Land Journal";"Land Journal";"2019-12-31";"en";"development;sustainable land management;desertification;land management;rural development;assessment";"Land, Climate Change & Environment";"001";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/191/";"http://www.mdpi.com/2073-445X/8/12/191/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"soil quality;drought;human pressure;rural sociology;Mediterranean region";""
"10.3390/land8120178";"Coupling Coordinated Development and Exploring Its Influencing Factors in Nanchang, China: From the Perspectives of Land Urbanization and Population Urbanization";"Volume 8 Issue 12";"The coordination relationship between land urbanization and population urbanization is crucial for achieving sustainable development under economic transition. Moreover, the balance between land urbanization and population urbanization is essential to guarantee the urbanization process of an entire city. This paper empirically analyzes the interaction between land urbanization and population urbanization in Nanchang from 2002 to 2017 based on the coupling coordination model (CCM). The impacts of the coordination degree on coordinated development are quantified by multivariate linear regression (MLR). The results show the following: (1) The indices of land urbanization and population urbanization in Nanchang showed an upward trend, and therefore the coordination degree in Nanchang increased significantly from 2002 to 2017. (2) The coordinated development of urbanization underwent two stages: disordered and moderately disordered. (3) The urban population proportion and the supporting capability of agricultural production had a positive impact on coordinated development. Meanwhile, the results also show that per capita education expenditures and the per capita public green area had negative impacts on the coordination degree, while economic development and the urban industrial structure were positive contributors to the coordination degree. Finally, this paper proposes that policies should be formulated to achieve coordinated development of urbanization. It can be concluded that the results regarding coordinated development of urbanization can help decision makers formulate effective measures to achieve coordinated development in the future.";"Lv, Tiangui
Wang, Li
Zhang, Xinmin
Xie, Hualin
Lu, Hua
Li, Hongyi
Liu, Wangda
Zhang, Yanwei";"";"Land Journal";"Land Journal";"2019-12-31";"en";"urbanization;development";"Urban Tenure";"CHN";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/178/";"http://www.mdpi.com/2073-445X/8/12/178/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"coordinated development;land urbanization;population urbanization;coupling coordination model (CCM);multivariate linear regression (MLR);Nanchang";""
"10.3390/land8120179";"Potentials, Limitations, Co-Benefits, and Trade-Offs of Biochar Applications to Soils for Climate Change Mitigation";"Volume 8 Issue 12";"Biochar is one of the most affordable negative emission technologies (NET) at hand for future large-scale deployment of carbon dioxide removal (CDR), which is typically found essential to stabilizing global temperature rise at relatively low levels. Biochar has also attracted attention as a soil amendment capable of improving yield and soil quality and of reducing soil greenhouse gas (GHG) emissions. In this work, we review the literature on biochar production potential and its effects on climate, food security, ecosystems, and toxicity. We identify three key factors that are largely affecting the environmental performance of biochar application to agricultural soils: (1) production condition during pyrolysis, (2) soil conditions and background climate, and (3) field management of biochar. Biochar production using only forest or crop residues can achieve up to 10% of the required CDR for 1.5      &deg;    C pathways and about 25% for 2      &deg;    C pathways; the consideration of dedicated crops as biochar feedstocks increases the CDR potential up to 15&ndash;35% and 35&ndash;50%, respectively. A quantitative review of life-cycle assessment (LCA) studies of biochar systems shows that the total climate change assessment of biochar ranges between a net emission of 0.04 tCO     2    eq and a net reduction of 1.67 tCO     2    eq per tonnes feedstock. The wide range of values is due to different assumptions in the LCA studies, such as type of feedstock, biochar stability in soils, soil emissions, substitution effects, and methodological issues. Potential trade-offs between climate mitigation and other environmental impact categories include particulate matter, acidification, and eutrophication and mostly depend on the background energy system considered and on whether residues or dedicated feedstocks are used for biochar production. Overall, our review finds that biochar in soils presents relatively low risks in terms of negative environmental impacts and can improve soil quality and that decisions regarding feedstock mix and pyrolysis conditions can be optimized to maximize climate benefits and to reduce trade-offs under different soil conditions. However, more knowledge on the fate of biochar in freshwater systems and as black carbon emissions is required, as they represent potential negative consequences for climate and toxicity. Biochar systems also interact with the climate through many complex mechanisms (i.e., surface albedo, black carbon emissions from soils, etc.) or with water bodies through leaching of nutrients. These effects are complex and the lack of simplified metrics and approaches prevents their routine inclusion in environmental assessment studies. Specific emission factors produced from more sophisticated climate and ecosystem models are instrumental to increasing the resolution and accuracy of environmental sustainability analysis of biochar systems and can ultimately improve the characterization of the heterogeneities of varying local conditions and combinations of type feedstock, conversion process, soil conditions, and application practice.";"Tisserant, Alexandre
Cherubini, Francesco";"";"Land Journal";"Land Journal";"2019-12-31";"en";"climate change;food security";"Land, Climate Change & Environment;Land & Food Security";"001";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/179/";"http://www.mdpi.com/2073-445X/8/12/179/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"biochar;pyrolysis;food security;climate mitigation;negative emission technology;carbon dioxide removal;life-cycle assessment;environmental assessment;biogeochemical cycles;biophysical effects";""
"10.3390/land8120194";"Economic Value of Cultural Ecosystem Services from Recreation in Popa Mountain National Park, Myanmar: A Comparison of Two Rapid Valuation Techniques";"Volume 8 Issue 12";"Protected areas offer diverse ecosystem services, including cultural services related to recreation, which contribute manifold to human wellbeing and the economy. However, multiple pressures from other human activities often compromise ecosystem service delivery from protected areas. It is thus fundamental for effective management to understand the recreational values and visitor behaviors in such areas. This paper undertakes a rapid assessment of the economic value of cultural ecosystem services related to recreation in a national park in Myanmar using two valuation techniques, the individual travel cost method (TCM) and the Toolkit for Ecosystem Service Site-based Assessment (TESSA v.1.2). We focus on the Popa Mountain National Park, a protected area visited by approximately 800,000 domestic and 25,000 international tourists annually. Individual TCM estimates that each domestic visitor spent USD 20&ndash;24 per trip, and the total annual recreational value contributed by these visitors was estimated at USD 16.1&ndash;19.6 million (USD 916&ndash;1111 ha&minus;1). TESSA estimated the annual recreational expenditure from domestic and international visitors at USD 15.1 million (USD 858 ha&minus;1) and USD 5.04 million (USD 286 ha&minus;1), respectively. Both methods may be employed as practical approaches to assess the recreational values of protected areas (and other land uses with recreational value), and they have rather complementary approaches. We recommend that both techniques be combined into a single survey protocol.";"Soe Zin, Wai
Suzuki, Aya
Peh, S.-H. Kelvin
Gasparatos, Alexandros";"";"Land Journal";"Land Journal";"2019-12-31";"en";"land;research";"";"MMR";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/194/";"http://www.mdpi.com/2073-445X/8/12/194/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"cultural ecosystem services;eco-tourism;nature-based recreation;tourism;travel cost method;TESSA";""
"10.3390/land8120195";"Amman (City of Waters); Policy, Land Use, and Character Changes";"Volume 8 Issue 12";"The character of Amman, Jordan, as the ""City of Waters""&mdash;referring to the abundance of water flowing in its known stream&mdash;has faded away because of the municipal policy to cover the stream in the 1960s which gradually changed the ecological character. This paper traces and explores the impacts of stream-coverage policy on the city character, morphology and land use changes. The purpose is to understand how an engineered problem-solving policy changed physical and perceptive factors and affected the character of the city. It also explores future attitudes towards reversing the non-nature-friendly conditions. The methods depend upon monitoring morphological changes in aerial photographs and in land use maps from municipality archives, conducting interviews with the elderly who witnessed change, one-to-one questionnaires with stakeholders and online questionnaires with residents and visitors. The results show that covering the stream is depriving the city of its historical/ecological character. The policy failed to promote affluent business, to mitigate flood impacts, or to decrease traffic congestion in the Central Business District (CBD). Most age groups believe the stream can improve the image and economy, despite the fact of their unawareness of its historical presence. In conclusion, engineered problem-solving should not stay in the hands of decision makers (technocrats) alone, but rather be considered with the public, sustainable character experts, and ecologists.";"Gharaibeh, A. Anne
Al.Zu’bi, M. Esra’a
Abuhassan, B. Lama";"";"Land Journal";"Land Journal";"2019-12-31";"en";"land use planning;sustainable land management;land use;urban areas";"Urban Tenure;Land, Climate Change & Environment";"JOR";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/195/";"http://www.mdpi.com/2073-445X/8/12/195/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"stream coverage;greenway;city character change;land use change;development policy;green corridor;green infrastructure";""
"10.3390/land8120177";"Village Level Provisioning Ecosystem Services and Their Values to Local Communities in the Peri-Urban Areas of Manila, The Philippines";"Volume 8 Issue 12";"This study investigates different provisioning services in the peri-urban landscapes of Manila conurbation through a case study of two villages in the Jala-Jala municipality of the Laguna de Bay area in the Philippines. Laguna de Bay is an ecologically productive and important watershed for the urban and peri-urban areas of Manila for the provision of food, freshwater, and other materials. However, the lake and its ecosystem are under threat because of rapid urbanization and associated land-use changes. This study is based on a semi-quantitative survey conducted with 90 households in two villages: Special District and Paalaman. It was aimed to capture how provisioning services in the locality are connected with local livelihoods. The results obtained from the study suggest that landscapes in this peri-urban area still has considerable provisioning ecosystem services associated with local biodiversity and that this dependence on provisioning services and their relationship to peri-urban landscapes and biodiversity should be addressed for sustainable landscape management. The results have important implications for the conservation potential of biodiversity on which local livelihoods depend, in urban and peri-urban ecosystems.";"Chakraborty, Shamik
Avtar, Ram
Raj, Raveena
Thu Minh, V. Huynh";"";"Land Journal";"Land Journal";"2019-12-31";"en";"environment;sustainable land management;urban areas;area";"Urban Tenure;Land, Climate Change & Environment";"PHL";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/177/";"http://www.mdpi.com/2073-445X/8/12/177/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"ecosystem services;peri-urban areas;Laguna Lake basin;Paalaman;Jala-Jala;Likert scale";""
"10.3390/land8120189";"Innovating Along the Continuum of Land Rights Recognition: Meridia’s “Documentation Packages” for Ghana";"Volume 8 Issue 12";"Documentation of land rights can ensure tenure security and facilitate smooth land transactions, but in most countries of the global south this has been difficult to achieve. These difficulties are related to the high transaction cost, long transaction times, and procedural rigidity of land registration processes. In response to these problems, innovative approaches of tenure documentation have been conceived at a global level and are being promoted in many countries of the global south. Little is known yet about how such innovative land tenure documentation approaches unfold in various contexts and to what effect. The implementation of innovative approaches is challenging, due to the legal pluralistic nature of land governance and administrative hybridity in many countries of the global south, including the West African region. This qualitative study explores how Meridia, a small for-profit company, develops innovative approaches to register land rights in the form of “documentation packages” within the existing institutional setting of Ghana. In the paper, we describe both the processes of preparing the documentation packages and respective actors involved, as well as the nature of encounters between innovative interventions and existing institutions. Meridia develops specific products in response to both the regional diversity of land tenure, uses, and market demands, as well as in response to the challenges that the institutional context poses to the process of land tenure registration. As such, the case illustrates how innovation evolves in step-by-step fashion through negotiations with existing land institutions. The various documentation packages developed in this manner differ in terms of cost and complexity of preparation, in terms of recognition by customary and statutory institutions, as well as in the usability of the issued certificates and the extent of exchangeability of associated land parcels. Therefore, Meridia’s product innovation reflects the continuum of land rights, but it also poses questions for future research regarding the political economy of land tenure certification and regarding the actual uses and benefits of issued certificates.";"Salifu, W. Fuseini
Abubakari, Zaid
Richter, Christine";"";"Land Journal";"Land Journal";"2019-12-31";"en";"land rights;land registration";"";"GHA";"Peer-reviewed publication";"http://www.mdpi.com/2073-445X/8/12/189/";"http://www.mdpi.com/2073-445X/8/12/189/pdf";"";"Creative Commons Attribution";"© 2019 by the authors; licensee MDPI, Basel, Switzerland. This article is an open access article.";"";"land registration;innovation;customary institutions;statutory institutions;Ghana";""
