ID;Title;Abstract/Description;Link to the publication;Link to the original website;Publicaton date (YYYY/MM);journal;Publishers;Corporate Authors;Authors;Language;Resource types;Geographical focus;Related Concepts;Themes;Overarching Categories
mokoro:6059;Secure and equitable land rights in the Post-2015 Agenda – A key issue in the future we want;"As organizations working on food security, natural resources management and poverty eradication, we strongly encourage governments to keep the profile of land and natural resources high in the post-2015 Sustainable Development Agenda document to be endorsed in September 2015. Secure and equitable land rights are an essential element of an Agenda that has the ambition to be people-centred and planet-sensitive. Recommendations cover indigenous peoples and local communities; free, prior and informed consent; women’s land rights; land rights in cities and urban settlements; rights to land and natural resources must be secure.";http://mokoro.co.uk/wp-content/uploads/G03892.pdf;http://mokoro.co.uk/land-rights-article/secure-and-equitable-land-rights-in-the-post-2015-agenda-a-key-issue-in-the-future-we-want/;31-01-2015;;"ActionAid;International Institute for Environment and Development";"ActionAid;International Institute for Environment and Development";;en;Reports & Research;002;"land;food security;sustainable development;natural resources management;land rights;poverty;indigenous peoples;women";"Land & Gender;Socio-Economic & Institutional Context;Indigenous & Community Land Rights;Land & Food Security";"Land Use, Management & Investment;Access to Land & Tenure Security"
mokoro:5937;Slideshow: Who’s behind the land grabs?;Includes land is life, land grabs and the impacts on communities, land governance challenges, lessons and recommendations, country-by-country analysis, including Burundi, DRC, Ethiopia, Ghana, Kenya, Liberia, Malawi, Mozambique, Nigeria, Rwanda, Senegal, Sierra Leone, South Africa, Tanzania, Uganda, Zambia.;http://www.actionaid.org/sites/files/actionaid/lay_of_the_land_-_improving_land_governance_to_stop_land_grabs_low_res_1.pdf;http://mokoro.co.uk/land-rights-article/slideshow-whos-behind-the-land-grabs/;31-10-2012;;ActionAid;ActionAid;;en;Reports & Research;002;"land governance;land;land grabs";;
mokoro:5859;Making CAADP Work for Women Farmers: A review of progress in six countries;Looks at CAADP plans in Nigeria, Malawi, Tanzania, Ethiopia, Kenya, Ghana, Zambia. Found systematic policy neglect of women farmers. Plans pay little attention to their needs and rights. Money for implementation is woefully inadequate.;http://www.actionaid.org/sites/files/actionaid/making_caadp_work_for_women_farmers_april_2011_final.pdf;http://mokoro.co.uk/land-rights-article/making-caadp-work-for-women-farmers-a-review-of-progress-in-six-countries/;30-04-2011;;ActionAid;ActionAid;;en;Reports & Research;002;"farmers;women";Land & Gender;
mokoro:5575;Cultivating Women’s Rights for Access to Land;Country analysis and recommendations for Afghanistan, Bangladesh, Burkina Faso, Ethiopia, Ghana, Guatemala, Malawi, Mozambique, Uganda, Viet Nam. Analyzes the de jure and customary discriminations faced by women in terms of land access in these 10 countries. Each country study starts with a data box, followed by a Rural Women Profile, a summary of women’s constitutional rights and the national legislation, an examination of customary systems in place, identification of the main constraints to women’s access to land, a set of recommendations, and the status of ratifications of relevant major international treaties. Hopes to provide a base from which future work to give women a stronger voice in household, local and national decisions should be formulated. Need to begin work at the bottom by giving women a voice for expressing their needs and hopes in terms of land.;http://mokoro.co.uk/wp-content/uploads/cultivating_womens_rights_for_access_to_lans.pdf;http://mokoro.co.uk/land-rights-article/cultivating-womens-rights-for-access-to-land/;31-10-2005;;"ActionAid;International Food Security Network";"ActionAid;International Food Security Network";;en;Reports & Research;002;"land;land access;women";Land & Gender;Access to Land & Tenure Security
mokoro:6050;No land, no future. A community’s struggle to reclaim their land;"Concerns the Senhuile-Senethanol investment in Ndiael, Senegal. Includes chronology of a dubious investment; social and environmental characteristics of the Ndiael area; consultation with local communities: a fool’s game; key information still missing; social and environmental impacts; corporate social responsibility projects: whitewashing or buying complacency?; conclusion and recommendations.";http://www.actionaid.org/sites/files/actionaid/no_land_no_future.pdf;http://mokoro.co.uk/land-rights-article/no-land-no-future-a-communitys-struggle-to-reclaim-their-land/;31-10-2014;;ActionAid;ActionAid;;en;Reports & Research;002;"environment;land;area";Land, Climate change & Environment;Land Use, Management & Investment
mokoro:6020;The Great Land Heist. How the world is paving the way for corporate land grabs;"Includes the global scramble for land; drivers of land grabs – global crisis and public incentives; counting the cost of land grabs (disempowerment and marginalisation, displaced communities, human rights violations, women bear the brunt, lost livelihoods and increased food insecurity, social breakdown and cultural impacts); developing alternative models of investment; conclusions and recommendation to governments.";http://www.actionaid.org/sites/files/actionaid/the_great_land_heist_0.pdf;http://mokoro.co.uk/land-rights-article/the-great-land-heist-how-the-world-is-paving-the-way-for-corporate-land-grabs/;31-05-2014;;ActionAid;ActionAid;;en;Reports & Research;002;"land;land grabs;women";Land & Gender;
mokoro:5922;From Under Their Feet. A think piece on the gender dimensions of land grabs in Africa;"Includes introduction: a new rush for land; framing the issues: historical and development questions; impacts of land grabs on rural women; concluding notes; proposed pointers for action.";http://www.actionaid.org/sites/files/actionaid/land_grabs_report_-_from_under_their_feet.pdf;http://mokoro.co.uk/land-rights-article/from-under-their-feet-a-think-piece-on-the-gender-dimensions-of-land-grabs-in-africa/;30-04-2012;;ActionAid;ActionAid;;en;Reports & Research;002;"land;land grabs;women";Land & Gender;
mokoro:5717;Securing women’s right to land and livelihoods: a key to ending hunger and fighting AIDS;"Contains executive summary; food insecurity and the AIDS epidemic; barriers to women’s farming; women’s land rights; economic and social empowerment; violence against women; inheritance rights and property grabbing; politics, ideologies and vested interests; recommendations.";http://mokoro.co.uk/wp-content/uploads/securing_womens_right_to_land_and_livelihoods.pdf;http://mokoro.co.uk/land-rights-article/securing-womens-right-to-land-and-livelihoods-a-key-to-ending-hunger-and-fighting-aids/;30-06-2008;;ActionAid;ActionAid;;en;Reports & Research;002;"property;land;land rights;women";Land & Gender;Access to Land & Tenure Security
mokoro:5598;Women’s Land Rights;"Contains women’s rights and state-led agrarian and market based land reforms; reinstating the state; engendering customary tenure; rights of indigenous people and marginalised groups; human rights violations; HIV/AIDS; the ‘feminisation of agriculture’. Calls for a new agrarian reform agenda in which the state plays a central role, ensuring that land is established as a common public good, and that its benefits are enjoyed equitably by women and men, regardless of race, class or ethnicity. Need for open and inclusive processes, with priority given to the voices of women from excluded communities and other historically marginalised groups.";http://mokoro.co.uk/wp-content/uploads/womenslandrights_actionaid_icarrd.pdf;http://mokoro.co.uk/land-rights-article/womens-land-rights/;31-03-2006;;ActionAid;ActionAid;;en;Reports & Research;002;"land;customary tenure;land rights;reforms;land reform;agriculture;agrarian reform;women";Land & Gender;Access to Land & Tenure Security
mokoro:5746;Land Tenure and Violent Conflict in Kenya in the context of local, national and regional legal and policy frameworks;"Includes presentations on land tenure and violent conflict in Kenya and in Africa; Mt. Elgon; question and answer; addressing violent conflicts over land through negotiation.";http://mokoro.co.uk/wp-content/uploads/acts_land_tenure_violent_conflict_kenya.pdf;http://mokoro.co.uk/land-rights-article/land-tenure-and-violent-conflict-in-kenya-in-the-context-of-local-national-and-regional-legal-and-policy-frameworks/;6-10-2008;;African Centre for Technology Studies;African Centre for Technology Studies;;en;Reports & Research;"002;KEN";"land;land tenure";;"Land Policy & Legislation;Access to Land & Tenure Security"
