ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
OBL:73392;USAID LAND TENURE and PROPERTY RIGHTS PORTAL;;We envision a world in which land governance systems, both formal and informal, are effective, accessible, and responsive for all. This is possible when land tenure and property rights are recognized as critical development issues and when the United States Government and its development partners demonstrate consistent attention and a firm commitment to supporting coordinated policies and programs that clarify and strengthen the land tenure and property rights of all members of society, enabling broad-based economic growth, gender equality, reduced incidence of conflicts, enhanced food security, improved resilience to climate change, and effective natural resource management...;;;USAID;Online Burma/Myanmar Library;;en;"forestry;land governance;land tenure;land tenure systems;security of tenure (land)";"Land Stakeholders & Institutions;Forest Tenure";"Land Policy & Legislation;Access to Land & Tenure Security";MMR;Reports & Research;http://burmalibrary.org/node/73392;http://www.usaidlandtenure.net/;;;;
OBL:73391;LEGAL RECOGNITION OF INDIGENOUS GROUPS;;"...The main purpose of this paper is to examine legal measures taken to recognize
indigenous groups and provide for their ongoing operation; the paper starts, therefore, from an
underlying assumption that indigenous groups have continued relevance to the needs and wishes
of the people who operate within them. Nevertheless, while it is beyond the scope and purpose of
the paper to explore this complex issue in any depth, it may be useful to present – however briefly
– some of the arguments made for and against the preservation of indigenous groups. In the
course of this brief discussion, the focus of the present paper will be narrowed to a concentration
on the role of indigenous groups in the ownership and control of land and other natural resources.
It should, perhaps, be stressed at the beginning that it is the role of groups as groups which is
under consideration - that is, the group as an entity over and above the individual members which
make it up...";J. S. Fingleton;;Food and Agriculture Organization of the United Nations (FAO);Online Burma/Myanmar Library;30-11-1998;en;"customary law;customary tenure;common lands;land governance;security of tenure (land);land tenure;forestry;natural resources management;land tenure systems";"Land Stakeholders & Institutions;Forest Tenure";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";"035;MMR";Reports & Research;http://burmalibrary.org/node/73391;http://www.fao.org/fileadmin/user_upload/legal/docs/lpo1.pdf;;;;
OBL:61511;The City of Mandalay Development Law - SPDC Law No. 8/2002 (English);;;;;State Peace and Development Council (SPDC);Online Burma/Myanmar Library;14-11-2002;en;"land policies;property rights;land use planning;land governance;land administration;urban areas;urbanization;land rights;land law;land tenure systems";Urban Tenure;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";MMR;Legislation & Policies;http://burmalibrary.org/node/61511;http://burmalibrary.org/docs15/2002-SPDC_Law2002-08-City_of_Mandalay_Development_Law-en.pdf;;;;
OBL:48899;Illegal Logging in Indonesia, South East Asia and International Consumption of Illegally Sourced Timber;;"The result of in-depth research and extensive on-the-ground investigations, the report exposes the scale of illegal logging and illegal timber trade in East Asia with a special focus on Indonesia. The report also highlights the role played by major tropical timber consuming nations including the US, Europe, Japan and China in driving illegal logging by providing a ready market for illegally sourced timber and timber products. In many of the countries of South-East Asia illegal logging outstrips legal logging, and large quantities of this timber finds its way
to the international markets either direct or via neighbouring countries which often act as laundering points. The destruction
wrought by this commercial scale illegal logging, much of it in National Parks, is resulting in rapidly diminishing forests across the
region and is pushing many species including the Orang-utan, Asia's only Great Ape, closer to extinction.";"Dave Currey
Faith Doherty
Sam Lawson
Julian Newman
A. Ruwindrijarto.";;Environmental Investigation Agency;Online Burma/Myanmar Library;01-09-2001;en;deforestation;"Land, Climate change & Environment;Forest Tenure";Land Use, Management & Investment;MMR;Reports & Research;http://burmalibrary.org/node/48899;http://www.grida.no/graphicslib/detail/routes-for-exports-of-illegally-logged-ramin-timber-in-indonesia_c657;;;;
OBL:61206;Mergui-Tavoy Photo Set: Dam, logging and mining operations negatively impact communities in K'Ser Doh Township, January to April 2012;;This photo set includes 49 still photographs selected from images taken by a KHRG community member between January and April 2012. They were taken in K'Ser Doh Township, Mergui-Tavoy District, and show images of a dam project in A'Nyah Pyah, logging in A'Nya Pyah, U Yay Kyee and Htee Ler Klay villages and mining operations in Hkay Ta Hpoo that have caused a variety of problems for the villagers in the in the areas, such as loss of land from flooding and water pollution. The mining company prevented villagers from protecting themselves from further damage from the chemical flows when they sought to drain a contaminated stream. This photo set was originally published in the appendix of KHRG's thematic report, Losing Ground: Land confiscation and collective action in eastern Myanmar...;;;Karen Human Rights Group;Online Burma/Myanmar Library;16-07-2013;en;"mining;land use;extractive industries";;Land Use, Management & Investment;MMR;Reports & Research;http://burmalibrary.org/node/61206;http://www.khrg.org/sites/default/files/13-52-s1_pdf.pdf;;;;
OBL:61207;Police roundup pushes homeless people out of Pyay City, Bago Division, August 2012;;This report is based on information submitted to KHRG in September 2012 by a community member from Yangon Region trained by KHRG to monitor human rights conditions. It describes events occurring in Pyay City, Bago Division, on August 3rd 2012 when City Development Committee staff and policemen carried out a nighttime city-sweep to remove homeless families. The authorities used a public rubbish truck to forcibly detain the families and then to transport them to Okshittpin Forest, which is halfway between Pyay City and the border with Rakhine State. The families were abandoned in the forest during a monsoon rain, and were threatened not to return to Pyay. Both children and adults were threatened with prison if they returned. However, the families did return to Pyay, after they encountered several problems along the way, including being without food to eat for two days, not having baby formula for infants, inadequate shelter under which to sleep, and most of the younger children became sick. Once they returned to Pyay City, the families were assisted with medicine. Pocket money and education was provided to the children by a local organization.;;;Karen Human Rights Group;Online Burma/Myanmar Library;08-07-2013;en;"local community;urban population;displacement;urban areas";"Land Conflicts;Urban Tenure;Land Stakeholders & Institutions";Access to Land & Tenure Security;MMR;Reports & Research;http://burmalibrary.org/node/61207;http://burmalibrary.org/KHRG/KHRG%202013/KHRG-2013-07-08-Police_roundup_pushes_homeless_people_out_of_Pyay_City_Bago_Division_August_2012-en.pdf;;;;
OBL:73265;The Sound of Loss and Hope: Pop Music of Karen Refugees from Burma/Myanmar;;"Since late 2011, I have made contacted
with Karen refugee communities in two geographic locations –one on the Thai-Burma border and one in Melbourne, Australia, which has provided me 
opportunities to observe and participate in a number of activities 
organized by those
displaced 
residents. During 
my
three-year engagement, 
I have 
come across
many Karen 
refugees
who
have 
enthusiastically taken part in the production as well as circulation and consumption of Karen pop 
music, especially in the form
of music CDs or DVDs and
audio and video files
shared through online 
media
platforms
such as YouTube. 
Some explain that
music offers them opportunities to enjoy 
themselves and to ‘hang out’ with like-minded 
fellow 
Karen. Moreover,
I have found that
music 
involvement
helps some Karen individuals to cope with and to make sense of situations of 
displacement, oppression and alienation. Notably, the sentimental charge of song lyrics and 
melodies as well as the visual representations in music videos 
become 
a
source of a sense of Karen
identity and solidarity,
and
thereby
make
it possible for the producers as well as their
audiences
to 
maintain connections with their counterparts in different countries."".....Paper delivered at the International Conference on Burma/Myanmar Studies: Burma/Myanmar in Transition: Connectivity, Changes and Challenges: University Academic Service Centre (UNISERV), Chiang Mai University, Thailand, 24-­26 July 2015.";Manoch Chummuangpak;;"International Conference on Burma/Myanmar Studies. Burma/Myanmar in Transition: Connectivity, Changes and Challenges;Chiang Mai University";Online Burma/Myanmar Library;26-07-2015;en;displacement;Land Conflicts;Access to Land & Tenure Security;MMR;Reports & Research;http://burmalibrary.org/node/73265;http://burmalibrary.org/docs21/The%20Arts/_Manoch-Chummuangpak-2015-The_Sound_of_Loss_and_Hope_Pop_Music_of_Karen_Refugees_from_Burma_Myanmar-en.pdf;;;;
OBL:61205;Papun Situation Update: Dwe Lo Township, March 2012 to March 2013;;This report includes a situation update submitted to KHRG in May 2013 by a community member describing events occurring in Papun District mostly between March 2012 and March 2013, and also provides details on abuses since 2006. The report specifically describes incidents of forced labour, theft, logging, land confiscation and gold mining. The situation update describes military activity from August 2012 to January 2013, specifically Tatmadaw soldiers from Infantry Battalion (IB) #96 ordering villagers to make thatch shingles and cut bamboo. Moreover, soldiers stole villagers' thatch shingles, bamboo canes and livestock. It also describes logging undertaken by wealthy villagers with the permission of the Karen National Union (KNU) and contains updated information concerning land confiscation by Tatmadaw Border Guard Force (BGF) Battalions #1013 and #1014. The update also reports on gold mining initiatives led by the Democratic Karen Benevolent Army (DKBA) that started in 2010. At that time, civilians were ordered to work for the DKBA, and their lands, rivers and plantations were damaged as a result of mining operations. The report also notes economic changes that accompanied mining. In previous years villagers could pan gold from the river and sell it as a hedge against food insecurity. Now, however, options are limited because they must acquire written permission to pan in the river. This situation update also documents villager responses to abuses, and notes that an estimated 10 percent of area villagers favour corporate gold mining, while 90 percent oppose the efforts...;;;Karen Human Rights Group;Online Burma/Myanmar Library;16-07-2013;en;"mining;extractive industries;expropriation;land use;land grabbing";;"Land Use, Management & Investment;Access to Land & Tenure Security";MMR;Reports & Research;http://burmalibrary.org/node/61205;http://burmalibrary.org/docs21/KHRG-2013-07-16-Papun_Situation_Update_Dwe_Lo_Township_March_2012_to_March_2013-en.pdf;;;;
OBL:61209;Landmine injuries in Mone Township, Nyaunglebin District since January 2013;;This news bulletin describes two landmine incidents occurring in February and June 2013 in Mone Township, Nyaunglebin District. On February 2nd 2013, 22-year-old Saw H--- from S--- village was walking home after collecting firewood in Maw Lay Forest when he stepped on a landmine, sustaining temporary injuries to his leg. On June 1st, 45-year-old Maung W--- stepped on a landmine at Chauck Kway. The landmine shrapnel caused major damage to his left leg, and it was amputated as a result. In both incidents, landmines were detonated on frequently used paths, indicating that the mines were likely to have been planted recently. Based on the information submitted from the community member, the Tatmadaw and KNLA are active in these areas, but it is not clear which actor is responsible for originally planting the mines in either incident. This bulletin is based on information submitted to KHRG in February and June 2013 by a community member in Nyaunglebin District who has been trained by KHRG to monitor human rights conditions.;;;Karen Human Rights Group;Online Burma/Myanmar Library;08-07-2013;en;"mining;land use;extractive industries";;Land Use, Management & Investment;MMR;Reports & Research;http://burmalibrary.org/node/61209;http://burmalibrary.org/KHRG/KHRG%202013/KHRG-2013-07-08-Landmine_injuries_in_Mone_Township_Nyaunglebin_District_since_January_2013-en.pdf;;;;
OBL:60354;Chronic Emergency - Health and Human Rights in Eastern Burma;;"This link leads to a document containing the Table of Contents of the report, with links to the English, Burmese and Thai versions...
Executive Summary: ""Disinvestment in health, coupled with widespread poverty, corruption, and the dearth of skilled personnel have resulted in the collapse of Burma’s health system. Today, Burma’s health indicators by official figures are among the worst in the region. However, information collected by the Back Pack Health Workers Team (BPHWT) on the eastern frontiers of the country, facing decades of civil war and widespread human rights abuses, indicate a far greater public health catastrophe in areas where official figures are not collected.
In these eastern areas of Burma, standard public health indicators such as population pyramids, infant mortality rates, child mortality rates, and maternal mortality ratios more closely resemble other countries facing widespread humanitarian disasters, such as Sierra Leone, the Democratic Republic of the Congo, Niger, Angola, and Cambodia shortly after the ouster of the Khmer Rouge. The most common cause of death continues to be malaria, with over 12% of the population at any given time infected with Plasmodium falciparum, the most dangerous form of malaria. One out of every twelve women in this area may lose her life around the time of childbirth, deaths that are largely preventable. Malnutrition is unacceptably common, with over 15% of children at any time with evidence of at least mild malnutrition, rates far higher than their counterparts who have fled to refugee camps in Thailand. Knowledge of sanitation and safe drinking water use remains low.
Human rights violations are very common in this population. Within the year prior, almost a third of households had suffered from forced labor, almost 10% forced displacement, and a quarter had had their food confiscated or destroyed. Approximately one out of every fifty households had suffered violence at the hands of soldiers, and one out of 140 households had a member injured by a landmine within the prior year alone. There also appear to be some regional variations in the patterns of human rights abuses. Internally displaced persons (IDPs) living in areas most solidly controlled by the SPDC and its allies, such as Karenni State and Pa’an District, faced more forced labor while those living in more contested areas, such as Nyaunglebin and Toungoo Districts, faced more forced relocation. Most other areas fall in between these two extremes. However, such patterns should be interpreted with caution, given that the BPHW survey was not designed to or powered to reliably detect these differences.
Using epidemiologic tools, several human rights abuses were found to be closely tied to adverse health outcomes. Families forced to flee within the preceding twelve months were 2.4 times more likely to have a child (under age 5) die than those who had not been forcibly displaced. Households forced to flee also were 3.1 times as likely to have malnourished children compared to those in more stable situations.
Food destruction and theft were also very closely tied to several adverse health consequences. Families which had suffered this abuse in the preceding twelve months were almost 50% more likely to suffer a death in the household. These households also were 4.6 times as likely to have a member suffer from a landmine injury, and 1.7 times as likely to have an adult member suffer from malaria, both likely tied to the need to forage in the jungle. Children of these households were 4.4 times as likely to suffer from malnutrition compared to households whose food supply had not been compromised.
For the most common abuse, forced labor, families that had suffered from this within the past year were 60% more likely to have a member suffer from diarrhea (within the two weeks prior to the survey), and more than twice as likely to have a member suffer from night blindness (a measure of vitamin A deficiency and thus malnutrition) compared to families free from this abuse.
Not only are many abuses linked statistically from field observations to adverse health consequences, they are yet another obstacle to accessing health care services already out of reach for the majority of IDP populations in the eastern conflict zones of Burma. This is especially clear with women’s reproductive health: forced displacement within the past year was associated with a 6.1 fold lower use of contraception. Given the high fertility rate of this population and the high prevalence of conditions such as malaria and malnutrition, the lack of access often is fatal, as reflected by the high maternal mortality ratio—as many as one in 12 women will die from pregnancy-related complications.
 This report is the first to measure basic public health indicators and quantify the extent of human rights abuses at the population level amongst IDP communities living in the eastern conflict zones of Burma. These results indicate that the poor health status of these IDP communities is intricately and inexorably linked to the human rights context in which health outcomes are observed. Without addressing factors which drive ill health and excess morbidity and mortality in these populations, such as widespread human rights abuses and inability to access healthcare services, a long-term, sustainable improvement in the public health of these areas cannot occur...";;;Back Pack Health Worker Team (BPHWT);Online Burma/Myanmar Library;07-09-2006;en;"local community;displacement;indigenous peoples";"Land Conflicts;Land Stakeholders & Institutions;Indigenous & Community Land Rights";Access to Land & Tenure Security;MMR;Reports & Research;http://burmalibrary.org/node/60354;http://burmalibrary.org/docs09/ChronicEmergency%28English%20ver%29.pdf;;;;
