ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"OSF_preprint:460F9-5BE-C17";"Checkerboards and Coase: Transactions Costs and Efficiency in Land Markets";"";"The Coase theorem emphasizes the role transactions costs play in efficient market outcomes. We document inefficient outcomes, in the presence of a transactions cost, in southern California land markets and the corresponding transition to efficient outcomes after the transactions cost is eliminated. In the late 1800s, Palm Springs, CA was evenly divided, in a checkerboard fashion, and property rights assigned in alternating blocks to the Agua Caliente tribe and a non-Indian landowner by the US Federal government. Sales and leasing restrictions on the Agua Caliente land created a large transactions cost to development on those lands; consequently, we observe very little housing investment. Non-Indian lands provide a benchmark for efficient outcomes for the Agua Caliente lands. Once the transactions cost for Agua Caliente lands was removed, there is a convergence between American Indian-owned and non Indian-owned lands in both the number of homes constructed and the value of those homes. land markets, coase theorem, economic development";"Randall Akee";"";"";"Center for Open Science";"2014-11-20";"en";"land;land markets";"Land & Investments";"NOR";"Reports & Research";"https://share.osf.io/preprint/460F9-5BE-C17";"ftp://repec.iza.org/RePEc/Discussionpaper/dp2438.pdf";"";"";"";"";"";""
"OSF_preprint:4619D-68E-C26";"Land Productivity and Economic Development: Caloric Suitability vs. Agricultural Suitability";"";"This paper establishes that the Caloric Suitability Index (CSI) dominates the commonly used measure of agricultural suitability in the examination of the effect of land productivity on comparative economic development. The analysis demonstrates that the agricultural suitability index does not capture the large variation in the potential caloric yield across equally suitable land, reflecting the fact that land suitable for agriculture is not necessarily suitable for the most caloric-intensive crops. Hence, in light of the instrumental role played by caloric yield in sustaining and supporting population growth, and given importance of pre-industrial population density for the subsequent course of economic development, the Caloric Suitability Index dominates the conventional measure in capturing the effect of land productivity on pre-colonial population density and the subsequent course of economic development. Caloric Suitability, Agricultural Suitability, Agricultural Productivity, Land Productivity, Economic Development, Population Density.";"Oded Galor
Ömer Özak";"";"";"Center for Open Science";"2016-02-25";"en";"development;land;land productivity";"Land & Investments";"NOR";"Reports & Research";"https://share.osf.io/preprint/4619D-68E-C26";"ftp://ftp1.economics.smu.edu/WorkingPapers/2015/OZAK/OZAK-2015-05.pdf";"";"";"";"";"";""
"OSF_preprint:46168-4A4-413";"How Institutions Shape Land Deals: The Role of Corruption";"";"Large-scale land acquisitions often take place in developing countries which are also known for their corruption-friendliness caused by weak institutional frameworks. We hypothesize that corruption indeed leads to more land deals. We argue that corrupt elites exploit poor institutional setups (characterized by corruption) to strike deals with domestic and international investors at the expense of the local population. Using panel data for 156 countries from 2000-2011, we provide evidence that large-scale land deals indeed occur more often in countries with higher levels of corruption. The estimated effects are also economically substantive and particularly relevant to economies with unsound institutions. large-scale land acquisitions, land grabbing, foreign investments, weak institutions, corruption";"Matthias Bujko
Daniel Meierrieks
Tim Krieger
Christian Fischer";"";"";"Center for Open Science";"2015-02-05";"en";"corruption;land;land deals";"Land & Corruption;Land & Investments";"001";"Reports & Research";"https://share.osf.io/preprint/46168-4A4-413";"http://www.cesifo-group.de/portal/page/portal/DocBase_Content/WP/WP-CESifo_Working_Papers/wp-cesifo-2015/wp-cesifo-2015-01/cesifo1_wp5178.pdf";"";"";"";"";"";""
"OSF_preprint:461CF-F5E-9BB";"An svm multiclassifier approach to land cover mapping";"";"From the advent of the application of satellite imagery to land cover mapping, one of the growing areas of research interest has been in the area of image classification. Image classifiers are algorithms used to extract land cover information from satellite imagery. Most of the initial research has focussed on the development and application of algorithms to better existing and emerging classifiers. In this paper, a paradigm shift is proposed whereby a committee of classifiers is used to determine the final classification output. Two of the key components of an ensemble system are that there should be diversity among the classifiers and that there should be a mechanism through which the results are combined. In this paper, the members of the ensemble system include: Linear SVM, Gaussian SVM and Quadratic SVM. The final output was determined through a simple majority vote of the individual classifiers. From the results obtained it was observed that the final derived map generated by an ensemble system can potentially improve on the results derived from the individual classifiers making up the ensemble system. The ensemble system classification accuracy was, in this case, better than the linear and quadratic SVM result. It was however less than that of the RBF SVM. Areas for further research could focus on improving the diversity of the ensemble system used in this research. Comment: ASPRS 2008 Annual Conference Portland, Oregon. April 28 - May 2, 2008";"Gidudu Anthony
Marwala Tshilidzi
Hulley Gregg";"";"";"Center for Open Science";"2010-07-13";"en";"land;land cover;land cover mapping";"";"USA";"Reports & Research";"https://share.osf.io/preprint/461CF-F5E-9BB";"";"";"";"";"";"";""
"OSF_preprint:4607B-BC0-CDA";"Drivers of global variation in land ownership";"";"Land ownership shapes natural resource management and social-ecological resilience, but the factors determining ownership norms in human societies remain unclear. Here we conduct a global empirical test of long-standing theories from ecology, economics, and anthropology regarding potential drivers of land ownership and territoriality. Prior theory suggests that resource defensibility, subsistence strategies, population pressure, political complexity, and cultural transmission mechanisms may all influence land ownership. We applied multi-model inference procedures based on logistic regression to cultural and environmental data from 102 societies, 71 with some form of land ownership and 31 with no land ownership. We found an increased probability of land ownership in mountainous environments, where patchy resources may be more cost effective to defend via ownership. We also uncovered support for the role of population pressure, with a greater probability of land ownership in societies living at higher population densities. Our results also show more land ownership when neighboring societies also practiced ownership. We found less support for variables associated with subsistence strategies and political complexity.";"Claire Bowern
Bruno Vilela
Kathryn R. Kirby
Ty Tuff
Geoff Kushnick
Carol Ember
Carlos A. Botero
Patrick H. Kavanagh
Michael C. Gavin
Bobbi S. Low
Hannah J. Haynie";"";"";"Center for Open Science";"2020-03-25";"en";"land ownership";"";"NOR";"Reports & Research";"https://share.osf.io/preprint/4607B-BC0-CDA";"http://osf.io/rhk42/download";"";"";"";"";"";""
"OSF_preprint:4605E-F78-C7D";"Centrality of land and real estate dynamics in China through the prism of the Developmental State Centralité du foncier et dynamiques immobilières en Chine au prisme de l’Etat Développeur";"";"This paper engages in a discussion between regulationists and urban scientists with the aim of bringing awareness ofthe growing role of property markets as drivers of contemporaneous capitalist regimes — a dimension that has notbeen given proper consideration by the French Regulation School. The case of China exemplifies the centrality of landin macroeconomic dynamics. The paper explores this centrality trough the prism of the Development State (DS), aframework that sets China's experience in the broader context of Northeast Asia. Three main characteristics ofJohnson’s DS framework are mobilized to highlight the role of property value enhancement in the regime of capitalaccumulation in China, i.e. the state’s productivist approach, the main bank system and a nationalistic ethos ineconomy. It is argued that the state (at both central and local levels) has used the mechanism of property valueenhancement as a major tool to ensure a smoother economic transition. By keeping the ‘main bank system’ andavoiding the development of financial markets, it has created a dual track financing system of urban production,evidenced by the process of ‘landed urbanization’ (Li, 2014) and the proliferation of grey finance. To keep the landrent under control, foreign investment had to be restricted despite the strong focus put by local governments oninternational design in urban (re) development. Cet article engage un dialogue entre les régulationnistes et des spécialistes de l'urbain afin que les dynamiques foncièreset immobilières, grandes impensées de la Régulation, puissent trouver leur juste place dans l'analyse des régimescapitalistes contemporains. Le cas de la Chine apparaît particulièrement emblématique du rôle central que peut prendrela valorisation foncière dans un modèle de croissance. Cet article l'aborde au prisme du Developmental State (DS), uncadre d'analyse qui resitue l'expérience chinoise dans son contexte régional. Trois grands aspects de la théorie deJohson (1982) sont mobilisés ici pour mettre en lumière le rôle de la valorisation foncière dans le processusd'accumulation du capital en Chine : l'approche productiviste de l'Etat, le système de la banque principale et lenationalisme économique. L'approche par le DS révèle l'usage de l'inflation foncière comme base de la politiquemacro-économique de l'Etat chinois à travers la promotion de l'investissement résidentiel comme véhicule privilégié deplacement. Le maintien du système de banque principal et les freins au développement des marchés financiers ontgénéré un système de financement dual de la production urbaine ainsi qu’en témoigne le processus de ‘landedurbanization’ (Li, 2014) et la prolifération de la finance grise. Pour garder le contrôle de la rente foncière, l’Etat arestreint l’investissement étranger en dépit de l’internationalité affichée des nouveaux projets urbains.";"Natacha Aveline-Dubach
Natacha Aveline-Dubach";"";"HAL CCSD;";"Center for Open Science";"2018-12-18";"en";"land;property;urban land;urbanization;urbanization";"Urban Tenure";"CHN";"Reports & Research";"https://share.osf.io/preprint/4605E-F78-C7D";"http://hal.archives-ouvertes.fr/hal-01298409/file/Aveline-WP-China%20Regulation%20%281%29.pdf";"";"";"";"";"";""
"OSF_preprint:4606F-63D-ED0";"Proposals for Land Consolidation and Expansion in Japan.";"";"Fragmented small farms in Japan and other high wge rice-based economies in monsoon Asia have become an obstacle to sustainable rural development. This problem has not yet been resolved under private land ownership. This article recommends that based on a mixed economy of private owvership of farmland and public ownership of infrastructure land, dispersed parcels of farms could be consolidated through exchange of private ownership and location into compact land units, which could then be enlarged by individual lease or cooperative/enterprise production. LAND TENURE ; OWNERSHIP ; JAPAN";"J-M Zhou";"";"";"Center for Open Science";"2016-09-15";"en";"land;land consolidation";"";"JPN";"Reports & Research";"https://share.osf.io/preprint/4606F-63D-ED0";"";"";"";"";"";"";""
"OSF_preprint:46059-A4D-AA6";"INSECURITY OF LAND TENURE IN NICARAGUA";"";"The objective of this paper is to describe priority actions for reducing the legal insecurity of tenure to land in Nicaragua. To achieve this end, the study explores (1) the meaning and origins of tenure insecurity as well as the implications of tenure insecurity for the development of the country; (2) the extent of different types of tenure insecurity; (3) the options presently being explored for dealing with the problem in Nicaragua; and (4) recommendations for action. Land Economics/Use,";"J. David Stanfield";"";"";"Center for Open Science";"2016-09-29";"en";"land;land tenure";"Indigenous & Community Land Rights";"NIC";"Reports & Research";"https://share.osf.io/preprint/46059-A4D-AA6";"";"";"";"";"";"";""
"OSF_preprint:46171-FE6-4F0";"National REDD+ outcompetes gold and logging: the potential of cleaning profit chains.";"";"While the potential contribution of a nationally implemented program for Reducing Emissions from Deforestation and Forest Degradation (REDD+) to developing countries’ budgets remains as yet obscure, two general concerns are that REDD+ will i) incentivize land grabbing and ii) remain financially uncompetitive against current commercial forest uses. However, based on data from Guyana’s, United Nations-approved, Forest Reference Emission Level (FREL) submission and national documents, we found that i) national REDD+ appears not to place value on forest, but financial penalties on forest damage, and ii) would be competitive when viewed from the perspective of the owner of the natural resources (national society), even against high value commodities such as gold and timber (the country’s main emission drivers), and at an intermediate US$5 carbon price. Hidden by the latter is a very skewed sharing of net revenue between the state and private sector supply chains (~1:99). Weak law enforcement, common across the tropics, enhances skewed sharing, and linked political leverage likely undermines any plans that would interfere with private income streams, including rural development, land tenure and conservation plans. We suggest that government or electorate pressure towards more equitable revenue sharing, i.e. ‘cleaning profit chains’, would both be justified and worthwhile, and unlikely to produce job losses. Investing this homegrown finance in better management and law enforcement of finite natural resources (under REDD+, including forests) could return significant REDD+ income while mitigating climate change and aiding rights of forest-dependent livelihoods. Along with cleaning supply chains and moving commodities out of natural forest areas, assessing and cleaning private profit chains may more generally be a promising approach for REDD+ and climate mitigation goals, along with its many associated social and environmental co-benefits.";"José M V Fragoso
Han Overman
Jeffrey B Luzar
Anthony R Cummings";"";"PeerJ;PeerJ Inc.";"Center for Open Science";"2018-03-29";"en";"forestry;land equity;land grabbing;natural resources management";"Forest Landscape Restoration;Forest Tenure;Land & Gender;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"GUY;TZA";"Reports & Research";"https://share.osf.io/preprint/46171-FE6-4F0";"";"";"";"";"";"";""
"OSF_preprint:46153-B65-F4A";"Land reform in Bangladesh";"";"Critically reviews land reform measures adopted since the early 1950s, their impact and limitations.";"Mohammad A. Jabbar";"";"";"Center for Open Science";"1978-01-01";"en";"land policies;land reform;land tenure;land tenure;land tenure systems";"Indigenous & Community Land Rights;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"BGD";"Reports & Research";"https://share.osf.io/preprint/46153-B65-F4A";"";"";"";"";"";"";""
