Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
1;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:1;“Family farms are key to feeding the world”;José Graziano da Silva, Director-General of the United Nations Food and Agriculture Organization (FAO), on the role of family farms for global food security, the need for sound rural development stategies and the responsibility of governments, the private sector and civil society.;José Graziano da Silva;Food and Agriculture Organization of the United Nations (FAO);DLG-Verlag;Rural21;2014/06;English;"farming systems; farmers; development agencies; food security; rural development";"Land & Food Security; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/family-farms-are-key-to-feeding-the-world-00001156/;http://www.rural21.com/uploads/media/rural2014_02-S06-07.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite06.jpg;All rights reserved
2;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:2;More than just a business;Family farming has many different meanings to many different people. While such farms come in all shape and sizes, one thing all practitioners agree on is that family farming is more than a business – it’s a way of life. The following article shows what constitutes this way of life, the challenges that family farms in Europe and throughout the world face and why and how the European Union supports this type of enterprise.;;"European Network for Rural Development; Directorate-General for Agriculture and Rural Development - European Commission";DLG-Verlag;Rural21;2014/06;English;"farming systems; farmers; rural development; agriculture; agricultural land management; development agencies";Land Stakeholders & Institutions;Land Use, Management & Investment;"Europe; Global";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/more-than-just-a-business-00001155/;http://www.rural21.com/uploads/media/rural2014_02-S08-10.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite08.jpg;All rights reserved
3;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:3;What is so special about family farms?;Family farms are especially well suited to meet the challenges of labour organisation in agriculture. In early stages of development, they play a particularly important role in creating productive employment for the major share of the population. Moreover, they have strong incentives to use their resources sustainably so as to pass them on to future generations. Yet, family farms should not be romanticised. Often, they only survive by working longer hours and accepting lower incomes than people employed in other sectors of the economy.;Regina Birner;;DLG-Verlag;Rural21;2014/06;English;"farmers; farming systems; agriculture; agricultural land management; rural population; sustainable land management";Land Stakeholders & Institutions;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/what-is-so-special-about-family-farms-00001154/;http://www.rural21.com/uploads/media/rural2014_02-S11-13.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite11.jpg;All rights reserved
4;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:4;Strenghthening family farms in Mercosur;For a long time, the agricultural policies of the Mercosur states ignored family farming, focusing on promoting individual crops and export production instead. Rural development was not on the agenda. Only after the turn of the millennium did a process of rethinking set in.;Álvaro Ramos Trigo;Programa Fida Mercosur Claeh;DLG-Verlag;Rural21;2014/06;English;"farmers; farming systems; agriculture; agricultural land management; rural development; rural population; sustainable land management; agricultural and rural legislation";;Land Use, Management & Investment;Mercosur;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/strenghthening-family-farms-in-mercosur-00001153/;http://www.rural21.com/uploads/media/rural2014_02-S14-16.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite14.jpg;All rights reserved
5;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:5;Women – the untapped potential for food security;Despite the crucial role of women in family farms and small-scale agriculture, gender inequality is still present in many ways – jeopardising the food and nutrition security of millions of people.;"Nadine Guenther; Christel Weller-Molongua";GIZ;DLG-Verlag;Rural21;2014/06;English;"farmers; women; farming systems; gender equity in access to land; food security; women";"Land & Gender; Land & Food Security";;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/women-the-untapped-potential-for-food-security-00001152/;http://www.rural21.com/uploads/media/rural2014_02-S17-19.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite17.jpg;All rights reserved
6;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:6;"""We have inherited not only a piece of land, but also the responsibility to turn it into a home""";A focus edition on family farming would hardly be credible without giving the family farmers themselves an opportunity to speak. We talked to Moses Munyi, the owner of a six-hectare farm in Embu, Kenya, about his everyday life and about his views of the prospects for farming in the future.;Moses Munyi;;DLG-Verlag;Rural21;2014/06;English;"land inheritance rights; farming systems; farmers";;Land Policy & Legislation;Kenya;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/we-have-inherited-not-only-a-piece-of-land-but-also-the-responsibility-to-turn-it-into-a-home/;http://www.rural21.com/uploads/media/rural2014_02-S20-22.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite20.jpg;All rights reserved
7;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:7;Machinery rings – a mechanisation concept for African farmers?;One of the basic conditions of empowering farmers is to get them organised. Machinery rings are a promising organisational concept to link up the farms and raise their profitability and power by promoting mechanisation in rural areas.;Katharina Schlemper;;DLG-Verlag;Rural21;2014/06;English;"farming systems; farmers; rural development; agricultural land management";;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/machinery-rings-a-mechanisation-concept-for-african-farmers-00001150/;http://www.rural21.com/uploads/media/rural2014_02-S23-23.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite23.jpg;All rights reserved
8;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:8;Agricultural biodiversity: the foundation of resilient family farms;In a world of rapidly changing conditions, enhancing the adaptability and hence the resilience of family farms is crucial to their viability. Here, diversity plays an important role, as the following article demonstrates.;Ann Tutwiler;Bioversity International;DLG-Verlag;Rural21;2014/06;English;"farmers; farming systems; sustainable land management";;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/agricultural-biodiversity-the-foundation-of-resilient-family-farms-00001149/;http://www.rural21.com/uploads/media/rural2014_02-S24-26.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite24.jpg;All rights reserved
9;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:9;Tangible sustainability;Family farms are often associated with greater sustainability. But the definition of sustainability is a highly disputable topic. The School of Agricultural, Forest and Food Sciences (HAFL) in Switzerland has developed a method enabling a more objective evaluation of sustainability in agriculture. Response-Inducing Sustainability Evaluation (RISE) covers ten sustainability indicators and supplies the foundation for agricultural advice.;"Alexander Schöning; Alberto Camacho";GIZ;DLG-Verlag;Rural21;2014/06;English;"farming systems; sustainable land management; research; agriculture; agricultural land management";Land Stakeholders & Institutions;Land Use, Management & Investment;"Global; Switzerland";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/tangible-sustainability-00001148/;http://www.rural21.com/uploads/media/rural2014_02-S27-28.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite27.jpg;All rights reserved
10;Family Farming;Rural21-Vol:48-Nr:2/2014-Article:10;Family farming – a model with a future?;Is there good reason to make family farms a focus of global attention for a year? Or is it not rather reckless to advocate a concept while completely disregarding the fact that the necessary conditions are often not in place? A few entirely personal thoughts on the International Year of Family Farming.;Karl-Martin Lüth;;DLG-Verlag;Rural21;2014/06;English;"farming systems; farmers; agricultural land management";;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/family-farming-a-model-with-a-future-00001147/;http://www.rural21.com/uploads/media/rural2014_02-S29-31.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2014-02/Seite29.jpg;All rights reserved
