Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Overarching Categories;Themes;Resource types;Geographical focus;Link to the original website;Link to the publication;Thumbnail;License;ISSN
1;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:1;Vers une gouvernance mondiale de la sécurité alimentaire;Le système actuel de « gouvernance alimentaire mondiale » n'offre pas de sécurité adéquate contre les crises alimentaires futures et n'offre pas de garantie de succès dans l'éradication de la faim chronique. En dépit d'un énorme accroissement de la production alimentaire, le nombre des personnes souffrant de la faim ne cesse d'augmenter. Pour inverser cette tendance, l'autorité et les pouvoirs du Comité de la sécurité alimentaire mondiale devraient être considérablement renforcés. ;"Professeur Dr Hartwig de Haen
Andrew MacMillan";;DLG-Verlag;Rural21;2011/01;Français;"rural development; food security; agriculture; farming systems; development agencies";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-developpement-rural/vers-une-gouvernance-mondiale-de-la-securite-alimentaire/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Vers_une_gouvernance_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
2;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:2;Le Partenariat mondial pour l'agriculture et la sécurité alimentaire : les acteurs, les missions et les réalisations;L'article retrace la genèse de la crise alimentaire mondiale qui a atteint son paroxysme avec l'envolée dramatique des prix alimentaires mondiaux en 2007/2008 et les émeutes de la faim qui s'ensuivirent. Il décrit la réaction de la communauté d'aide internationale, qui a créé un « Partenariat mondial pour l'agriculture et la sécurité alimentaire » et analyse de façon critique dans quelle mesure ce dernier a contribué à réduire le nombre des personnes souffrant de la faim, à savoir 925 millions de personnes aujourd'hui.;Dr. Claus Auer ;;DLG-Verlag;Rural21;2011/01;Français;"food security; rural development; rural population; development agencies; agriculture; poverty; sustainable development";Land Policy & Legislation;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-developpement-rural/le-partenariat-mondial-pour-lagriculture-et-la-securite-alimentaire-les-acteurs-les-missions-et-les-realisations/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Le_Partenariat_mondial_pour_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
3;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:3;Une solution pour revitaliser le secteur agricole en Afrique : le Programme détaillé pour le développement de l'agriculture africaine (PDDAA);Le PDDAA est un plan ambitieux de la Communauté des États africains, qui vise à revitaliser la politique agricole du continent et à faire de l'agriculture un instrument essentiel de croissance économique et de réduction de la pauvreté et de la faim. Les résultats obtenus par le PDDAA en termes d'amélioration de la visibilité de l'agriculture africaine au niveau international sont incontestables.;Dr Michael Brüntrup;GIZ;DLG-Verlag;Rural21;2011/01;Français;"development agencies; sustainable development; agriculture; agricultural and rural legislation; farming systems; rural development; poverty; food security";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-developpement-rural/une-solution-pour-revitaliser-le-secteur-agricole-en-afrique-le-programme-detaille-pour-le-developpement-de-lagriculture-africaine-pddaa/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Le_PDDAA_pour_revitaliser_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
4;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:4;Développement des zones rurales en faveur de la sécurité alimentaire : la stratégie de la politique allemande du développement;"Le développement rural et la sécurité alimentaire mondiale sont parmi les principales préoccupations de la politique allemande du développement. L’Allemagne est un des moteurs de l’Initiative de L’Aquila sur la sécurité alimentaire
lancée lors du sommet du G8 de 2009. La nouvelle stratégie du ministère fédéral allemand du développement en matière de développement rural, présentée cidessous en termes généraux, a pour but de vérifi er que les fonds engagés dans ce domaine sont utilisés de manière effi cace et dans le respect de l’esprit de l’initiative.";Stefan Schmitz;GIZ;DLG-Verlag;Rural21;2011/01;Français;"rural development; food security; development agencies";Land Policy & Legislation;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;"Global; Germany";http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-developpement-rural/developpement-des-zones-rurales-en-faveur-de-la-securite-alimentaire-la-strategie-de-la-politique-allemande-du-developpement/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Pour_des_zones_rurales_fortes_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
5;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:5;Développement rural et agricole: tirer les leçons de l'expérience;"Depuis quelques décennies, le développement rural est considéré comme le parent pauvre de la coopération au développement. L’article qui suit explique les raisons de
ce comportement et décrit de quelle manière il est possible d’exploiter le renouveau d’intérêt actuel pour les régions rurales.";"Hans-Joachim Preuss; Albert Engel
";GIZ;DLG-Verlag;Rural21;2011/01;Français;"rural development; poverty; sustainable development; development agencies; rural areas; rural population";Land Policy & Legislation;Land Stakeholders & Institutions;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-developpement-rural/developpement-rural-et-agricole-tirer-les-lecons-de-lexperience/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Exploiter_la_dynamique_actuelle_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
6;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:6;La gestion des risques grâce aux assurances agricoles;Les petits paysans dans les pays en développement ne peuvent pas, à eux seuls, absorber plus longtemps les conséquences massives du changement climatique au moyen de leurs stratégies traditionnelles de gestion des risques. Ils doivent bien plus se mettre en quête d'instruments de gestion des risques qui tiennent compte de la nouvelle dimension de ces dangers. ;Gertraud Faltermeier;GIZ;DLG-Verlag;Rural21;2011/01;Français;"rural development; poverty; climate change; environment; sustainable land management";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/la-gestion-des-risques-grace-aux-assurances-agricoles/;http://www.rural21.com/fileadmin/_migrated/content_uploads/La_gestion_des_risques_grace_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
7;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:7;Les Assurance équitable pour les personnes à faible revenu;"Les conditions de vie des populations pauvres conditionnent leur demande en matière de micro-assurance. Ces personnes sont généralement des travailleurs indépendants du secteur informel, illettrés et peu au fait du concept d’assurance.
Ils vivent souvent dans des zones rurales mal équipées en  infrastructures. Les services d’assurance équitable doivent permettre aux populations pauvres des zones rurales et urbaines d’atténuer les impacts des crises qui menacent leurs vies, leur productivité et leurs ressources. ";"Dr Brigitte Klein 
Martina Wiedmaier-Pfister";GIZ;DLG-Verlag;Rural21;2011/01;Français;"rural areas; rural population; rural development; farmers; farming systems; urban areas";;;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/les-assurance-equitable-pour-les-personnes-a-faible-revenu/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Assurance_equitable_pour_les_personnes_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
8;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:8;Évaluation et gestion des sinistres d'assurance récolte;"Les programmes d’assurance-récolte des pays en développement et des marchés émergents, tant qu’ils ne sont pas stabilisés et qu’ils n’ont pas accumulé suffi samment de données pour justifi er la mise en place de programmes plus avancés, sont habituellement limités aux risques
météorologiques désignés. 

Les pertes de récoltes sont évaluées au moyen d’un pourcentage de perte conventionnel, qui compare la récolte d’origine à la récolte qui subsiste après le sinistre, ou au moyen d’un indice climatique doté d’un mécanisme de déclenchement qui rembourse les sinistres lorsque les risques climatiques assurés entravent le bon développement des cultures.";Carey Dunford;;DLG-Verlag;Rural21;2011/01;Français;"rural development; development agencies; environment; climate change; sustainable land management; sustainable development";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/evaluation-et-gestion-des-sinistres-dassurance-recolte/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Evaluation_et_gestion_des_sinistres_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
9;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:9;Micro-assurance communautaire: localisée et particulièrement adaptée;Les programmes d'assurance communautaire sont très répandus à travers le monde et existent sous différentes formes. Ils sont un instrument important permettant de surmonter les lacunes occasionnées soit par un manque de confiance dans les assureurs conventionnels, soit par l'absence de couverture, soit encore par des processus ou produits inadéquats. ;"Ralf Radermacher; Iddo Dror";;DLG-Verlag;Rural21;2011/01;Français;"development agencies; rural development; sustainable development";;Land Stakeholders & Institutions;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/micro-assurance-communautaire-localisee-et-particulierement-adaptee/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Micro-assurance_communautaire_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
10;Développement rural, Assurances agricoles, Énergie et changement climatique;Rural21-Vol:18-Nr:1/2011-Article:10;Quand la pluie ne fait pas tout: assurance indexée et production de coton au Mali;En 2008, le Fonds pour l'innovation en micro-assurance a attribué une subvention à Planet Guarantee (en partenariat avec AGF Afrique et Swiss Re) pour la réalisation d'une étude de faisabilité sur l'assurance indexée destinée aux producteurs de coton du Mali. Trois types d'indices ont été évalués. Étant donné le risque de base élevé que présente l'indice climatique et les ressources techniques importantes requises par l'indice satellitaire, l'indice de rendement est considéré comme l'approche la plus prometteuse. Cet indice, qui tient compte de toutes les variations enregistrées au niveau du district, incorpore presque toutes les variables et offre un degré de corrélation très élevé avec les pertes enregistrées par les agriculteurs.;Abby Gray;;DLG-Verlag;Rural21;2011/01;Français;"development agencies; climate change; environment; farming systems; farmers; agricultural land management; sustainable land management; agriculture";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Mali;http://www.rural21.com/francais/archive-2005-2011/archive2011-01fr/theme-phare-assurances-agricoles/quand-la-pluie-ne-fait-pas-tout-assurance-indexee-et-production-de-coton-au-mali/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Quand_la_pluie_ne_fait_pas_tout_02.pdf;private://feeds/Rural21_2011-01_fr.jpg;All rights reserved;1866-0002
