Title;Subtitle;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
The Impact of Gendered Legal Rights to Land on the Prevalence and Nature of Intra- and Inter-Household Disputes;;"Havugiyaremye Aimable; Dr. Simeon Wiehler; Dr. Wibabara Charity; Ndayisaba Daniel; Prof. Susana Lastarria-Cornhiel";;"Institute of Legal Practice and Development (Rwanda);  USAID Rwanda LAND Project";"This research, entitled ""The Impact of Gendered Legal Rights to Land on the Prevalence and Nature of Intra- and Inter-Household Disputes"" set out to interrogate the changing landscape of gendered land rights in Rwanda, and to examine the impact of the statutory changes introduced by laws governing land, inheritance, succession and matrimonial property passed between 1999 and 2013. In addition to assessing the extent to which gendered, land-related legal provisions are put into practice and rights secured, this research also sought to understand whether changes introduced to the legal framework gave rise to land disputes, and if so, the types of land disputes provoked and whether they involved gender-based violence.";/Deliverable_14_ILPD_Final_Research_Report_FINAL_Approved_1.pdf;2015/09;English;Rwanda;USAID;Gender & Land;;Land & Gender;"land policies; gender equity in access to land; women";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 80;/Deliverable_14_ILPD_Final_Research_Report_FINAL_Approved_1_thumb.png
"Policy Brief: The Impact of Gendered Legal Rights to Land on the Prevalence and Nature of Intra- and Inter-Household Disputes
";;"Havugiyaremye Aimable; Dr. Simeon Wiehler; Dr. Wibabara Charity; Ndayisaba Daniel; Prof. Susana Lastarria-Cornhiel";;"Institute of Legal Practice and Development (Rwanda);  USAID Rwanda LAND Project";"Before 1999, land rights in Rwanda were governed by three regimes: customary
(traditional) law, colonial laws still in effect, and laws enacted after independence. In each of
these, men were privileged in ownership and control of land whereas women were excluded
or had fewer rights.
The 1999 Succession Law restructured and harmonized land ownership in Rwanda,
superseding all prior legislation. A significant portion of these changes related to gender
equality. Equal rights to umunani (umunani or ascending partition is an act accomplished by
parents while they are still alive, by which they share their patrimony between their children
or their descendants who acquire, each for the portion devolved to him or her, full
ownership. This partition shall be regarded as the accomplishment of parents' duties to
educate their children and to provide them with a personal patrimony.) and land succession
were granted to both sexes, and legally married spouses (including widowed and divorced
spouses) were provided with joint property rights and gender-neutral protections. Gender
equality is also reflected in the Constitution of 2003 and Law N° 08/2005 of 14/07/2005
Determining the Use and Management of Land in Rwanda repealed by Organic Law N°
03/2013/OL of 16/06/2013 and replaced by Law N° 43/2013 of 16/06/2013 governing land
in Rwanda which focuses on standardizing land registration within a revised ownership
framework.
Sixteen years have passed since the adoption of the 1999 Succession Law and its
recognition of and protections for gendered land rights. Questions are now being raised
regarding the actual impact of this legislation: What is the level of awareness of the 1999
Succession Law's gendered provisions? How much has women's land ownership actually
increased? What measures are women taking to assert their rights? How successful are
they? How are disputes resolved? What is the level of gender-based violence related to
land disputes? Do disputes within families result in more gender-based violence than those
between families? Overall, have land disputes increased or decreased?
An evaluation of the progress made in women's access to and enjoyment of their land rights
was needed to answer these questions. To this end, the USAID LAND Project contracted
the Institute of Legal Practice (ILPD) in Nyanza to conduct a study measuring “The Impact
of Gendered Legal Rights to Land on the Prevalence and Nature of Intra- and InterHousehold
Disputes”.
The ILPD research team collected data in every region of the country, using a large-scale
randomized household survey, focus group discussions, key informant interviews, and data
collected directly from Primary and Intermediate Court records. ";/Policy_Brief-The_Impact_of_Gendered_Legal_Rights_to_Land_on_the_Prevalence_and_Nature_of_Intra-_and_Inter-Household_Disputes_Revised.pdf;2015/08;English;Rwanda;USAID;Gender & Land;;Land & Gender;"land policies; gender equity in access to land; women";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 81;/Policy_Brief-The_Impact_of_Gendered_Legal_Rights_to_Land_on_the_Prevalence_and_Nature_of_Intra-_and_Inter-Household_Disputes_Revised_thumb.png
Final Narrative and Evaluation Report on Gender and Land Rights;;Radio Ishingiro;;USAID Rwanda LAND Project;"Between October 2014 and October 2015, Radio Ishingiro with the support of USAID
Land Project implemented a Communications Campaign focused on influencing the
attitudes and mindsets of men and boys about gender-equal land rights to overcome
traditional norms and beliefs that hinder women from exercising their rights to land. In
particular, the campaign focused on overcoming traditional beliefs and norms that
hinder women from exercising their rights to inter vivos gifts of land (“umunani”)1
, land
inheritance (“Izungura”), and equal participation in household decision-making over
land. To achieve this objective, Radio ISHINGIRO partnered Radio ISANGANO in
Western Province and Radio SALUS in Southern Province.
The Communications Campaign was designed based on the results of a baseline
survey and qualitative research methods, such as Focus Group Discussions and key
informant interviews, which were conducted to assess the attitudes of men and boys
towards gender-equal land rights. The baseline survey was conducted in the
campaign’s four target districts: Gicumbi in the Northern Province, Gatsibo in the
Eastern Province, Gisagara in the Southern Province, and Nyamasheke in the Western
Province. The findings from the quantitative and qualitative research conducted as part
of the baseline surey informed the campaign topics and messages, as well as the
channels of communication utilized by Radio Ishingiro.
This report is divided into two parts. The first section provides and overview of project
activities, describes input received from local authorities on the campaign, presents
challenges faced in implementing the campaign, and offers a set of conclusions. The
second section presents the results of an evaluation of the campaign’s effectiveness,
comparing changes in men’s and boys’ attitudes and awareness on gendered land
rights with those reported during the baseline research. ";/Deliverable_33_FINAL_NARRATIVE_AND_EVALUATION_REPORT_Final.pdf;2015/10;English;Rwanda;USAID;Gender & Land;;Land & Gender;"gender equity in access to land; women; land rights";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 82;/Deliverable_33_FINAL_NARRATIVE_AND_EVALUATION_REPORT_Final_thumb.png
Baseline Report on Gender and Land Rights;;Radio Ishingiro;;USAID Rwanda LAND Project;"In Africa, land has an emotional and mystical value beyond the economic consideration and
represents the social security and the continuity and independence of a family. In much of rural
Africa, land constitutes the primary source from which millions of people derive their daily
livelihoods (Bhandari 2001)
1
. In sub-Saharan Africa, women contribute between 60-80% of labor
used to produce food for both household consumption and sale to agricultural production while
women’s access to and control over land in Africa remains minimal (FAO, 1998).
2

Many international and national organizations have advocated for equality between men and
women in ownership and control of resources by calling on country governments to review their
land laws and land policies to accommodate the women’s land rights protection. According to
the World Bank (2013),3
a woman’s ability to own, inherit and control land and property is
absolutely vital to her ability to access resources and participate in the economy. The Food and
Agriculture Organization of United Nations (FAO), the Convention on the Elimination of
Discrimination Against Women (CEDAW), and the UN Human Rights Commission have all
called for equal treatment for women and men in access to land and land reform (UN
Commission on Human Rights 2002),4 However, research shows that despite greater
acceptance of women’s rights to land in laws and policies, their implementation often runs into
significant obstacles, and gaps persist between what is on paper and the reality on the ground.
The Rwandan government has ratified an international declaration (CEDAW) committing itself to
upholding gender equality as well as made considerable legal reforms to grant equality between
men and women in property rights. Yet many women are not fully enjoying their land rights
(Celestin, 2014).5 According to the Rwanda’s constitutional principle of equality of all citizens, all
Rwandans enjoy the same rights of access to land without any discrimination whatsoever.
According to this principle, women, married or not, should not be excluded from the process of
land access, land acquisition and land control, and female descendants should not be excluded
from the process of family land inheritance (Land Policy of Rwanda, 2004:23).6 Nevertheless, a
significant number of women in many parts of Rwanda are prevented from enjoying their land
and property rights due lack of implementation land laws at lower administrative levels,
customary practices, lack of clarity and information on their legal land rights, and incomplete
knowledge about how to exercise those rights (Landesa, 2013).7";/Deliverable_2_Baseline_Report_Final_1.pdf;2015/02;English;Rwanda;USAID;Gender & Land;;Land & Gender;"gender equity in access to land; women; land rights";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 83;/Deliverable_2_Baseline_Report_Final_1_thumb.png
The Gendered Nature of Land and Property Rights in Post-Reform Rwanda;;"Jones-Casey Kelsey; Laura Dick; Alfred Bizoza";USAID Rwanda LAND Project;USAID Rwanda LAND Project;"While there has been some empirical research on the gendered outcomes of the
legislative framework governing land in Rwanda, the breadth of these studies has
been limited. This study seeks, through rigorous field research, to inform the further
development of policies in Rwanda that can create a gender equitable society, and
ensure women and men have adequate control over the land they need to be secure, to
flourish and to reach their full human potential.
Rwanda has provided a picture of promising change for improving gender equalities
in land rights. After the genocide, many households were headed by women and
orphaned children, and the urgent need to protect their rights to remain on and
manage the land of their husbands or fathers prompted the development of the Law
no. 22/99 of 12/11/1999, the Law of Matrimonial Regimes, Liberalities and
Successions, commonly referred to as the 1999 Succession Law.
Knowledge of this law and others is widespread, due to the substantial investments by
the Rwandan Government, civil society organizations and international partners in
awareness raising. Importantly, these land-related legal interventions and their
implementation have also been transforming not only the knowledge, but also the
actions and beliefs of both men and women.
The 1999 Succession Law, among others in Rwanda’s progressive legal framework,
has had a broad impact. Because of the law and because of extensive sensitization on
gender equality, more and more women are receiving inheritance and are more often
receiving it in equal shares. Daughters are increasingly laying claim to umunani,
which was almost unheard of before the genocide. Formally married women living
under community of property marital regimes are now joint owners of property and
have greater decision-making power over it, which according to participants has
decreased distress sales and mismanagement of household land resources.";/Gendered_Nature_of_Land_Rights_in_Rwanda_Final_9June2014.pdf;2014/04;English;Rwanda;USAID;Gender & Land;Land Policy & Legislation;Land & Gender;"gender equity in access to land; women; land rights; land policies; property rights; land reform";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 84;/Gendered_Nature_of_Land_Rights_in_Rwanda_Final_9June2014_thumb.png
Property Rights for Women in Rwanda: Access to land for women living in de facto unions ;;Vanhees Katrijn;;Ghent University;"To say that access to land is one of the most important conditions for the
empowerment of African women, would be an understatement. The cultivation of land is one
of the main sources of income and economic wealth depends strongly on a well-elaborated
system of land tenure. However, developing and protecting land rights1
for women in mainly
male-dominated societies is a long-term work. Even though law initiatives2 may guarantee a
de jure equal access to land for women, the outcome highly depends on the way the culturebound
relationship between women and men is constructed.
In Burkina Faso, for instance the proverb “a woman’s field is made at night” illustrates
the difficulties women experience and the limited bargaining space they have when claiming
land. The saying can be interpreted in two different ways. First of all, it addresses the issue of
women who are being forced to cultivate their own fields during the night since they have to
work on their husbands’ fields at daytime. Moreover, the saying means that men can claim
their land rights in broad daylight because their claims to land are not contested in society,
whereas women’s bargaining space is limited to the association with their husband. Thus,
they can only bargain in private spheres during nighttime because women “will know how to
obtain what they want.”3
Therefore, women’s position in society can be improved by granting women equal
rights to land. Nevertheless, one must be cautious and keep in mind that creating formal
rights does not automatically mean that these legal provisions are translated in reality. Legal
initiatives can result in ‘paper’ rights if societies are not eager to implement or respect them.
Therefore, sensitisation and decisive judicial system are known as important implementation
mechanisms. Without denying the importance of correct implementation of formal rights, this
dissertation will merely focus on rights that remain unprotected, neither by law nor by culture
or tradition.
Following argument can explain why improving land rights for women is such a
complex process to realize. The reasoning comes down to a vicious circle. In order to throw
their weight about land rights, women should have a strong position in society to lobby. This
objective can only be reached when women can become economically more independent
instead of relying on affiliation with her family or husband. In this way, they not only have
economic agency but also gain a stronger position in the household and on a broader
governmental level. However, in order to increase their economic power, one of the key
objectives should be the improvement of female access to land. In addition, the process of
bargaining must also be seen in the sociological context of land tenure. Land regulations are
a reflection of the power structure in a society.  (...)";http://www.scriptiebank.be/sites/default/files/webform/scriptie/Property%20rights%20for%20women%20in%20Rwanda.%20Access%20to%20land%20for%20women%20living%20in%20de%20facto%20unions.%20Scriptie%20Katrijn%20Vanhees.pdf;2014/06;English;Rwanda;Ghent University;Gender & Land;Land Policy & Legislation;Land & Gender;"gender equity in access to land; women; land rights; land policies; property rights; land reform";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 85;/ghentuniversity-property-rights_thumb.png
Women’s  Empowerment  and  Development: The  Contribution  of  Parliamentary  Gender  Quotas  and the  Case  of Rwanda ;;Stacey, Justine ;;Saint Mary's University;"As  Parliamentary  gender  quotas  have  become  increasingly  popular,  so  too 
has  the  debate  surrounding  their  effectiveness  in  enhancing  women’s 
representation and gender equality in governments around the world. Women offer 
unique and important perspectives to the political process, and thus their increased 
political  representation  and  empowerment  can  advance  the  very  process  of 
development. In 2003, the Rwandan government Constitutionally enacted a gender 
quota, requiring at least 30 percent representation of women in all areas of decisionV
making, including Parliament. By 2010, Rwandan women MPs surpassed the quota’s 
requirement and represented 57 percent of Parliament. What must be determined is 
whether Rwanda’s gender quota and resulting increased number of women MPs has 
contributed to an increase in the number and effectiveness of womenVfocused laws 
and policies. I will examine the number of womenVfocused laws in Rwanda pre and 
post quota, consider their implementation mechanisms, and use statistical data and 
interviews with  Rwandan MPs  to  analyze  the implementation  and  effectiveness  of 
these  laws.  We  will  find  womenVfocused  legislation  has  increased  significantly  in 
Rwanda  since  the  quota,  but  that  the  quota  is  just  one  of  several  driving  forces 
behind  Rwandan  women  MPs’  political  empowerment.  A  willing  government, 
Proportional  Representation  electoral  system,  Constitutionally  entrenched  gender 
quota,  and  the  results  of  Rwanda’s  civil  war  and  genocide  will  all  be  determined 
contributing  factors.  However,  we  will  find  Rwanda’s  history  of  a  strong  preV
genocide  and  preVquota women’s movement  has  ultimately  been  the  driving  force 
behind women’s progress in Parliament, once again enforcing the ageVold adage that 
authentic development and empowerment must truly emanate from the bottom up. 
has  the  debate  surrounding  their  effectiveness  in  enhancing  women’s 
representation and gender equality in governments around the world. Women offer 
unique and important perspectives to the political process, and thus their increased 
political  representation  and  empowerment  can  advance  the  very  process  of 
development. In 2003, the Rwandan government Constitutionally enacted a gender 
quota, requiring at least 30 percent representation of women in all areas of decisionV
making, including Parliament. By 2010, Rwandan women MPs surpassed the quota’s 
requirement and represented 57 percent of Parliament. What must be determined is 
whether Rwanda’s gender quota and resulting increased number of women MPs has 
contributed to an increase in the number and effectiveness of womenVfocused laws 
and policies. I will examine the number of womenVfocused laws in Rwanda pre and 
post quota, consider their implementation mechanisms, and use statistical data and 
interviews with  Rwandan MPs  to  analyze  the implementation  and  effectiveness  of 
these  laws.  We  will  find  womenVfocused  legislation  has  increased  significantly  in 
Rwanda  since  the  quota,  but  that  the  quota  is  just  one  of  several  driving  forces 
behind  Rwandan  women  MPs’  political  empowerment.  A  willing  government, 
Proportional  Representation  electoral  system,  Constitutionally  entrenched  gender 
quota,  and  the  results  of  Rwanda’s  civil  war  and  genocide  will  all  be  determined 
contributing  factors.  However,  we  will  find  Rwanda’s  history  of  a  strong  preV
genocide  and  preVquota women’s movement  has  ultimately  been  the  driving  force 
behind women’s progress in Parliament, once again enforcing the ageVold adage that 
authentic development and empowerment must truly emanate from the bottom up. ";http://library2.smu.ca/bitstream/handle/01/24840/stacey_justine_masters_2013.pdf?sequence=1;2013/01;English;Rwanda;Saint Mary's University;Gender & Land;;Land & Gender;"gender equity in access to land; women; land rights; land policies; property rights; land reform";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 86;/St_mary_women_parliament_thumb.png
Women’s Land Rights in Customary Dispute Resolution in Rwanda: Lessons from a Pilot Intervention by RCN Justice et Démocratie;;Marco Lankhorst;;Focus on Land in Africa (FOLA);"This brief discusses a pilot intervention in Rwanda led by the Belgian
NGO, RCN Justice & Démocratie, with support from the International
Development Law Organization (IDLO) and the Belgian Government. A
more detailed and complete discussion of the pilot is given in Lankhorst
and Veldman (2011a). The pilot aimed to transform the customary
resolution of disputes involving women’s land claims concerning
inheritance or marital relations. The intervention examined whether
and to what extent it was possible to increase the scope for acceptance
of such claims under customary law, notably, by promoting a more
inclusive approach to dispute resolution based on mediation and
negotiation techniques.";http://www.focusonland.com/download/52d425919215a/;2012/08;English;Rwanda;Focus on Land in Africa (FOLA);Gender & Land;;"Land & Gender; Land Conflicts";"gender equity in access to land; women; land rights; land policies; property rights; land reform; customary tenure; customary law; land conflicts; land dispute; land dispute resolution";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 87;/gender_dispute_rwanda_thumb.png
Empowering women through land tenure reform:The Rwandan experience;;Thierry Hoza Ngoga;Rwanda Natural Resources Authority;"United Nations Entity for Gender Equality and the Empowerment of Women (UNWOMEN); Office of the United Nations High Commissioner for Human Rights";"Since 2004, Rwanda has embarked on an ambitious land tenure reform programme (LTR) aimed
at increasing security of tenure to all land owners and the elimination of all forms of
discrimination. This has largely been achieved through the establishment and implementation of
a new legal, regulatory and institutional framework.
This paper discusses the ongoing land tenure reform programme and its impact on women’s land
rights. It focuses on the role of women in the decision making in the course of developing the
legal and regulatory framework, the rights that those tools provide to women and the
inclusiveness and protection of women’s land rights in the ongoing land registration programme.
The aim of the paper is then to draw on some best practices gleaned from the programme in
protecting women’s rights to land. ";https://s3.amazonaws.com/landesa_production/resource/458/Hoza_Empowering-women-through-land-tenure-reform-Rwanda_2012.pdf?AWSAccessKeyId=AKIAICR3ICC22CMP7DPA&Expires=1477318750&Signature=LA3rfMr9TlXIYUz4cdoUHg2fu2I%3D;2012/06;English;Rwanda;"United Nations Entity for Gender Equality and the Empowerment of Women (UNWOMEN); Office of the United Nations High Commissioner for Human Rights";Gender & Land;Access to Land & Tenure Security;Land & Gender;"gender equity in access to land; women; land rights";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 88;/unwomen_highcomm_thumb.png
Land Policy Reform in Rwanda and Land Tenure Security for all Citizens: Provision and Recognition of  Women’s Rights over Land;;"E. Uwayezuand; Theodomir Mugirenza";;International Federation of Surveyors (FIG);"In Rwanda, for many years ago, rights over land for women and female orphans were not
recognized. The main causes were the inexistence of efficient land administration systems and
the prevalence of traditional system of land tenure which were complex and did not favor
women and female descendants. In 2004, the Government of Rwanda had adopted a new land
policy which was complemented by the 2005 Organic Land Law and a series of laws and
regulations with regard to access to land, land management perspectives, and to the modalities
of land rights transfer. The main goal of land policy reform in Rwanda is to protect and to
enforce land holders’ rights and the provision of land tenure security for all citizens without
any discrimination. The study investigates the effects the land policy reform on rights over
land for widow and female orphans. Data collected from the field survey in five districts of
Rwanda and literature review were analyzed using qualitative and interpretative methods,
following the principles of impact/outcome evaluation approach. Findings show that the
implementation of a new land policy and associate regulations are having a positive impact in
safeguard, protection and enforcement of land rights for widow and female orphans. Widow
and female orphans are given back their lands previously grabbed by their relatives.
However, there is a need to continuously and widely empower widow and female descendants
for defending themselves against practices of land grabbing and/or land deprivation through
sensitization and reinforcement of land related laws and regulations in place. ";https://www.fig.net/resources/proceedings/fig_proceedings/fig2011/papers/ts04g/ts04g_uwayezu_mugiraneza_4914.pdf;2011/05;English;Rwanda;International Federation of Surveyors (FIG);Gender & Land;Access to Land & Tenure Security;Land & Gender;"gender equity in access to land; women; land rights; land policies; property rights; land reform; land tenure systems";USAID Rwanda LAND Project;Peer-reviewed publication;Rwanda LAND (Research) - 89;/fig_women_tenuresystems_thumb.png
