Title;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
An Assessment of Land Use Planning in Rwanda;Ian Munt, Mireille Ikirezi;;USAID Rwanda LAND Project;"Land use planning is critical to sustainable development in Rwanda, given the finite and irreplaceable nature of land. This assessment examines three dimensions of land use planning practice in Rwanda: a) the institutional and organizational framework for land use planning, b) the plan development process and implementation issues arising from the plan, and c) the capacity of organizations and individuals to implement the land use planning system. The assessment finds that while levels of awareness and understanding of land use planning amongst ordinary citizens are increasing, the efficiency of land use planning is challenged by limited capacity and a lack of coordination among government institutions. The assessment recommends that the Government of Rwanda: 1) nurture professional skills and knowledge around land use planning; 2) expand the scope of annual Land Week campaigns beyond land administration issues to also address land use planning; and, 3) harmonize existing legislation to ensure that planning terms and methods are consistent. 
";http://www.rwandaland.org/en/landprojectreports/item/download/149_efe76fe3291d6beb1b1adc75c20077ecAssessment_of_Land_Use_Planning_in_Rwanda_Munt_Aug2015_FINAL.pdf;2015/08;English;Rwanda;Chemonics;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 1;
Rural Settlement in Rwanda: An assessment of land  management and livelihoods.;Thierry Hoza Ngoga;;"International Alert; USAID";Residential land in Rwanda is scarce due to hilly terrain, a high population and a focus on agricultural growth to address food security concerns. The situation worsened following the 1994 genocide against the Tutsi, which led to extensive destruction of houses and infrastructure, leading to thousands of Rwandans becoming homeless. To address these concerns, the government embarked upon a resettlement programme to regroup people into planned residential areas, ‘imidugudu’, the aim of which is to provide improved quality of life for the population through the provision of basic needs. This study seeks to understand some of the issues faced by imidugudu residents. The study finds that local authorities and residents generally view the programme positively, but that residents have a strong sense of reliance on the government and other stakeholders to supply what is needed to improve livelihoods, rather than to take ownership for improving their own situations. In this regard, there is a need to encourage developing resilience and a more independent outlook among imidugudu residents.;http://www.rwandaland.org/images/pdf/Landuse/Rural%20Settlement%20in%20Rwanda%20v1.0%20-%20DIGITAL.PDF;2015/12;English;Rwanda;USAID;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 2;
Final Report: Land Use Consolidation and Crop Intensification in Rwanda;;National University of Rwanda;USAID Rwanda LAND Project;The Land Use Consolidation Act (LUC) was introduced in 2008 and is an important component of agricultural policy in Rwanda. As part of the Government of Rwanda’s broader Crop Intensification Program (CIP), LUC entails participating farmers consolidating aspects of their operations with neighboring farmers, while retaining individual ownership of their parcels. The rationale for LUC is that joining small plots together to farm as a single unit would deliver important economies of scale in agricultural production, resulting in improvements to efficiency and sustainability, which would in turn boost household well-being and promote greater equity. Despite the importance of LUC, research related to the program has been limited, and there is a wide range of sometimes contradictory perspectives on its impacts. This report aims to fill this gap and reconcile these divergent views by providing a thorough and detailed analysis of the realities, perceptions, and impacts of LUC/CIP on socioeconomic and environmental outcomes.;http://www.rwandaland.org/en/partner-products/item/download/81_8db93304387fe0061edb043decb7c69e;2014/01;English;Rwanda;Chemonics;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 3;
Policy Brief: Land Use Consolidation and Crop Intensification in Rwanda;;National University of Rwanda;USAID Rwanda LAND Project;The Land Use Consolidation Act (LUC) was introduced in 2008 and is an important component of agricultural policy in Rwanda. As part of the Government of Rwanda’s broader Crop Intensification Program (CIP), LUC entails participating farmers consolidating aspects of their operations with neighboring farmers, while retaining individual ownership of their parcels. The rationale for LUC is that joining small plots together to farm as a single unit would deliver important economies of scale in agricultural production, resulting in improvements to efficiency and sustainability, which would in turn boost household well-being and promote greater equity. Despite the importance of LUC, research related to the program has been limited, and there is a wide range of sometimes contradictory perspectives on its impacts. This policy brief summarizes findings from a full research report which analyzed the realities, perceptions, and impacts of LUC/CIP on socioeconomic and environmental outcomes.;http://www.rwandaland.org/en/partner-products/item/download/91_500152749a3a798027756f3c944fa848 ;2014;English;Rwanda;Chemonics;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 4;
Farmers’ soil knowledge for effective participatory integrated watershed management in Rwanda: Toward soil-specific fertility management and farmers’ judgmental fertilizer use;N.P. Rushemuka, R.A. Bizoza R.A, J.G. Mowo, L. Bock;;Elsevier;"In the complex soilscape of Rwanda, failure to tailor soil fertility management technologies to specific soil types is the major constraint to their adoption. A study was undertaken to understand how scientists can introduce new soil-related technologies as part of the already functioning farmers’ soil knowledge (FSK) system and achieve soil-specific fertility management interventions. Farmer participatory research and biophysical diagnostic methods were used in Akavuguto watershed, southern Rwanda. Results from this study show that the FSK system is not only rational but also practical and consistent with the technical soil knowledge and has the potential of being user-friendly for local fertility experts, agronomists and extensionists compared to the international soil classification systems. The farmers’ rationality is demonstrated by a clear agreement between farmers’ cognitive soil knowledge and farmers’ soil-related practices. The farmers’ practices follow a clear coping strategy in a poor and complex biophysical environment. In the Akavuguto watershed case study, the mountains, with their Urubuye (Entisols), are limited by the slope gradient and stoniness; they are planted with trees. The upper hills, with their Urusenyi (Entisols) and Inombe (Ultisols), do not have major edaphic limitations; they are used for growing beans and sorghum, crops that are demanding but key in farmers’ food security strategy. The back slopes, with their Umuyugu/Mugugu (Oxisols), are limited by poor fertility status; they are used for growing cassava and sweet potato which are acid tolerant and less demanding. The valley bottoms, with their Nyiramugengeri (Histosols) and Ibumba (Ultisols), are limited by very strong acidity; they are used for growing sweet potatoes. It was concluded that understanding the biophysical environment in terms of land units and associated farmers’ soil types constitutes an appropriate entry point to achieve soil-specific and replicable fertility management technologies";http://www.sciencedirect.com/science/article/pii/S0167880913003605 ;2013;English;Rwanda;Elsevier;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 5;
Manipulating the Rural Landscape: Villagisation and Income Generation in Rwanda ;Ann-Sofie Isaksson;;University of Gothenburg;The aim of the present paper is to investigate whether households relocated to government- built village settlements, as part of Rwanda’s Villagisation programme (‘Imidugudu’), diversify into non-farm income-generating activities to a greater extent than other rural households in Rwanda, and if so, to what extent the variation can be explained by differences in micro-level asset and meso-level access factors. Despite the programme objective to stimulate non-farm activity, the results of empirical estimations drawing on household and community-level data suggest that Imidugudu households differ surprisingly little from other rural households in terms of diversification into non-farm income sources. The slightly greater participation in non-farm income-generating activities observed among the Imidugudu households can be attributed to regional variation and household characteristics mattering for selection into the programme rather than to asset endowments and improved service access.;https://gupea.ub.gu.se/bitstream/2077/25865/1/gupea_2077_25865_1.pdf ;2011/06;English;Rwanda;University of Gothenburg;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 6;
Large-Scale Land Deals and Local Livelihoods in Rwanda: The Bitter Fruit of a New Agrarian Model;An Ansoms;;African Studies Review;In a context of globalization and liberalization, Africa is increasingly confronted with the commercialization of its space. Various large-scale actors, including international private investors, investor states, and local entrepreneurs, are constantly seeking to expand their land holdings for the production of food crops or biofuels. This article presents two Rwandan case studies and analyzes how large-scale land acquisition by foreign and local elite players affects local livelihoods. It identifies broader agrarian and social changes taking place in Rwanda and Africa and provides suggestions as to how the tables might be turned in order to protect local livelihoods in the further evolution of Rwanda’s agriculture.;http://mtw160-198.ippl.jhu.edu/login?auth=0&type=summary&url=/journals/african_studies_review/v056/56.3.ansoms.pdf;2013/12;English;Rwanda;African Studies Review;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 7;
"Land Use Consolidation in Rwanda:
A Case Study of Nyanza District, Southern Province";Alfred R.Bizoza, Jean Marie Havugimana;;Science Target;The study assessed the adoption of land use consolidation and its determinants in Nyanza District of Southern Province, Rwanda. Land use consolidation is part of the on-going crop intensification program led by the Ministry of Agriculture in Rwanda. The extent to which this policy has been adopted is less spatially known. In addition, there is scarce knowledge about the factors affecting the adoption of this policy at household level. A sample of 132 households was randomly selected for the interviews conducted in August 2010. The analysis focused on farm, household, and institutional factors to investigate how these determine household’s decision to adopt land use consolidation. The findings show that gender, family size, trust, distance, cropping/farming practices are important determinants of a farmer’s decision to adopt land use consolidation in Nyanza District, Southern Rwanda.;http://www.rwandaland.org/images/Alfred%20Bizoza%20and%20Havugimana%20on%20Land%20Use%20Consolidation%202013.pdf;2013;English;Rwanda;National University of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 8;
Multitemporal LANDSAT Imagery Analysis to Study the Dynamics of Land Cover over Lake Kivu Region;Bikash Basnet, Anthony Vodacek;;Rochester Institute of Technology;In this study, maximum likelihood supervised classification and post-classification change detection techniques were applied to cloud-free Landsat mosaic scenes formed for three years, 1987, 2001 and 2010, to map land cover changes in the Lake Kivu region in Central Africa. A supervised classification was carried out on the stacked vector of six reflective bands and two vegetation index images for the three years individually with the aid of ground data. Since ground data was not available for 1987, visual interpretation was used to aid supervised classification. The overall seven-class classification accuracies averaged to 77% for the three years. Post-classification change detection technique was used to evaluate land cover change statistics in the region using cross-tabulation. Changes among different land cover classes were accessed. A very severe land cover change has taken place in the region over the past 25 years as a result of human migration and agriculture practices. The major land cover changes in the area include rapid deforestation, urbanization and cropland expansion.;http://www.earsel.org/SIG/timeseries/2012mykonos/pdf/proceedings/proceedings_015.pdf;2012/05;English;Rwanda;Rochester Institute of Technology;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 9;
Emerging in a Changing Climate – Sustainable Land Use Management in Rwanda;Mathew Warnest, Bahrain, Didier G. Sagashya, Emmanuel Nkurunziza;;International Federation of Surveyors (FIG);"Durban COP17 December 2011 (UNFCCC 2011). The World held its breath for a global commitment to reducing greenhouse gas emissions in a bid to steady human-induced climate change. During the proceedings, one unique country, Rwanda, set fourth its ambitious national strategy for charting a green growth and climate resilient future.
The mountainous central African nation of Rwanda (refer map 2009) is one of the World’s least developed countries with one of the highest population densities, and is notably one of the lowest emitters of Green House Gases (GHGs). Rwanda is an early mover in tackling its economy’s exposure to external oil prices and commodity market fluctuations at a time its development and investment growth is expanding. Rwanda’s appetite for greater access to energy, resources and land is rapidly increasing at full crescendo.
To achieve Rwanda’s ambitions, to transform to a prosperous, food secure, knowledge based economy, the Government has embarked on a low carbon development path that works to address renewable energy access and use, resource efficiency and climate resilience. Central to this strategy is optimal use of land. Rwanda’s land size is just 26,338 sq km for a population of 11 million increasing at nearly 2.8 per cent per annum. Urbanisation is increasing at 4.4 per cent, and agricultural production contributes more than 36.7 per cent of export earnings. Pressure on land is extremely high.
Key to Rwanda’s success, the landlocked and populous nation is rapidly establishing an integrated approach to planning its urban and rural environments, finalising land tenure reforms, and improving land information systems to support these activities. This paper brings to light Rwanda’s national green growth and climate resilience strategy. It provides a glimpse into Rwanda’s broad achievements in sustainable land use management that are regional and African continent best practice, and provides lessons of guidance for other emerging nations setting upon a course of low carbon development and climate change resilience. Readers are encouraged to explore the national strategy and supporting sector working papers from which this paper draws.";http://www.fig.net/resources/proceedings/fig_proceedings/fig2012/papers/ts07f/TS07F_warnest_sagashya_et_al_5991.pdf;2012/05;English;Rwanda;FIG;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 10;
Farm Land Use Consolidation in Rwanda: Assessment from the perspective of the Agriculture Sector;Arumugam Kathiresan;;Rwandan Ministry of Agriculture, Animal Resources, and Forestry;Food crop production in Rwanda is predominantly dependent on the productivity in small- and fragmented farms. Raising productivity levels in smallholder farms therefore represents a vital means to economic growth and poverty reduction in Rwanda. Ministry of Agriculture and Animal Resources (MINAGRI) has embarked on a simplified land use consolidation model whereby farmers in a given area grow the priority food crops  in a synchronized fashion while keeping their land rights intact. Although consolidation is voluntary, it is a pre requisite for availing the benefits such as subsidized inputs under Crop Intensification Program (CIP), a revolutionary flagship program promoting food production. This report evaluates the progress, implementation and impacts of land use consolidation on food crop production, and draws insights on matching the strengths with opportunities and converting weaknesses to strengths.;https://www.google.rw/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjClpXS6cXOAhXEVRoKHeUwDFgQFggaMAA&url=http%3A%2F%2Fwww.minagri.gov.rw%2Ffileadmin%2Fuser_upload%2Fdocuments%2Fagridocs%2FFarm_Land_Use_Consolidation_in_Rwanda.pdf&usg=AFQjCNEk20xWlvEdsGIJCjqk8eoaZBmSJQ&sig2=NRwg5hlLozMZd_bKftBXxA;2012/06;English;Rwanda;Government of Rwanda;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 11;
Linking Vulnerability, Land and Livelihoods: Literature Review;Tsegaye Moreda;;International Institute of Social Studies;"This chapter accomplishes several purposes, in which it shares the reader the theoretical orientation and empirical evidences of numerous studies that are closely related to the issues being raised in this study. It deals with the review of theoretical and empirical literature mainly related to rural poverty and livelihoods. In doing so, the chapter intentionally includes discussions on a wider scale to look at pertinent literature from many sub-Saharan African countries and beyond that have some resonance to better understand and relate the Ethiopian case to the wider literature.
The chapter begins with the discussion of the backgrounds on the persistence of poverty and food insecurity in sub-Saharan Africa followed by subsequent general discussions on the link between agriculture and poverty reduction drawing evidence from some case studies across the developing world. Basically, the chapter is organized in two main sections each with subsections. The first main section reviews the main arguments and the available empirical evidence in the debate over the role of agriculture in economic growth and poverty reduction specifically whether smallholder agriculture in particular can provide a viable means to reduce poverty and persisting livelihoods insecurity in many parts of sub-Saharan Africa. Then it continues to discuss the challenges mainly the political economy of agriculture in sub-Saharan Africa, and provides an overview on linking land and livelihoods in the region as land continues to occupy at the centre of rural livelihoods.
The second main section presents the Ethiopian case. It is organized in four subsections. The first one outlines the issues of land, vulnerability and livelihoods. Here, emphasis has been placed to the agricultural sector since agriculture and agriculture related activities largely provide the means of living for the vast majority of rural households. The second subsection looks at and reflects on the links between land degradation, land tenure and livelihoods. It examines the effect of land tenure on land degradation and its implications to livelihoods as well as the implication of land scarcity on rural livelihoods drawing from evidence documented by other research undertaken over various parts of the country. The third considers the literature on livelihood diversification followed by discussions on migration issues. The final part of the chapter presents a short conclusion.
It is worth noting that this chapter indeed deserves a special attention because it provides a framework for relating this present study to the larger ongoing dialogue in the literature, identifying gaps and extending existing studies. In addition, it will provide a benchmark for comparing the results of this particular study with the other existing findings.";http://www.iss.nl/fileadmin/ASSETS/iss/Documents/PhD_Abstracts_and_theses/SAMPLE_CHAPTER.pdf;2012/02;English;Rwanda;International Institute of Social Studies;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 12;
The Impact of Land Lease Fee on Landowners: Rwanda Case Study;Eluis Mbemba Mbinda, James Daale, Annie Kairaba;;Rwanda Initiative for Sustainable Development ;The majority of rural Rwandans are dependent on land for their livelihoods. Recognizing the critical nature of land to peace, stability, and economic development, Rwanda began implementing the Land Tenure Regularisation Process (LTRP) in 2008. While the Rwanda government has made highly commendable efforts in implementing the LTRP, some challenges have been faced, including a challenge whereby landowners only came to learn about the requirement of paying land lease at the time of collecting the Ownership Documents. Rwanda Initiative for Sustainable Development  made a decision to launch a quick study that would establish the facts on the ground, by providing evidence based data to policy makers, local leaders and the population through reliable data and public awareness. This study was conducted as an effort to gauge the accuracy and legitimacy of people?s concerns in relation to the impact of land taxation on their livelihood. The main study findings revealed that, most popular concerns are based on lack of proper information for both the population and responsible personnel for land registration.;http://www.Rwanda Initiative for Sustainable Development rwanda.org/IMG/pdf/THE_IMPACT_OF_LAND_LEASE_FEE_ON_LANDOWNERS_.pdf;2012/02;English;Rwanda;Rwanda Initiative for Sustainable Development ;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 13;
Land Tenure Security and Poverty Reduction;;International Fund for Agricultural Development (IFAD);International Fund for Agricultural Development (IFAD);"Land is fundamental to the lives of poor rural people. It is a source of food, shelter, income and social identity. Secure access to land reduces vulnerability to hunger and poverty. But for many of the world’s poor
rural people in developing countries, access is becoming more tenuous than ever.";https://www.ifad.org/documents/10180/0f715abf-3f59-41f6-ac08-28403ebd271f;2012/05;English;Global;International Fund for Agricultural Development (IFAD);Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 14;
"Farmers, Institutions and Land Conservation
Institutional Economic Analysis of Bench Terraces in The Highlands of Rwanda";Alfred R. Bizoza;;Wageningen School of Social Sciences;"This study consists of seven chapters. Chapter 1 sets the stage of the thesis in terms of problem statement, theoretical perspective, objectives and research questions, the research area and data collection procedure, and ends with this outline. Chapter 2 will provide an account of soil erosion against the background of the environmental discourses that have emerged over time in Rwanda. Chapter 3 will discuss how farmers perceive their participation, the role of their organizations and institutions in soil and water conservation in Northern and Southern Rwanda.
Chapter 4 will focus on the financial profitability and technical effectiveness of established bench terraces in the research area, while Chapters 5 and 6 are concerned with the adoption of bench and progressive terraces in the study area. Thanks to information obtained from farmers during the survey, the impact(s) of various local institutions on the adoption of these terrace structures is estimated in Chapter 5. Chapter 6 will ‘unpack’ the adoption process of bench terraces to estimate current and future adoption upon farmers’ capacity to invest in existing and new terraces. Finally, Chapter 7 will provides some major conclusions and policy and research options for future generation of soil and water conservation in Rwanda. Figure 2 shows the organizational framework of the study of SWC issues in Rwanda";http://edepot.wur.nl/169360;2011/06;English;Rwanda;Wageningen School of Social Sciences;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 15;
