Link to the original website;ID;Title;Publicaton date (YYYY/MM);Thumbnail;Authors;Abstract/Description;Link to the publication;Publishers;Geographical focus;Language;Resource types;Open Access;Related Concepts;Themes;Overarching Categories
http://salandobservatory.org/2015/09/draft-policy-document-on-the-preservation-and-development-of-agricultural-land/;salo:627;Draft policy document on the preservartion and developemnt of agricultural land;28/09/2015;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2015/09/DRAFT-POLICY-DOC.jpg;;"The preservation, development and sustainable use of agricultural land are of vital importance to ensure long-term food security. On a global level, food security is closely linked to Goal 1 of the Millennium Development Goals, namely to eradicate extreme poverty and hunger by, amongst others, halving, between 1990 and 2015, the proportion of people who suffer from hunger. In addition, Goal 7 aims to ensure environmental sustainability by, amongst others, integrating the principles of sustainable development into country policies and programmes and reversing the loss of environmental resources. This would include the loss of agricultural land to other developments.
Agenda 21, adopted by the United Nations in 1992, urges governments to assess the impacts of current policies on, amongst others, food and agricultural sector performance, food security and rural welfare. The major thrust of food security referred to here is to bring about a significant and sustainable increase in agricultural production. In this regard it is necessary to formulate, introduce and monitor policies, laws and regulations leading to sustainable agricultural development.";http://pmg-assets.s3-website-eu-west-1.amazonaws.com/150316PDALFA_Draft_Policy_Doc.pdf;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land use;land use planning;agriculture;natural resources management;agricultural landscape;food security;land cover;farming systems";Land & Food Security;Land Use, Management & Investment
http://salandobservatory.org/2015/09/draft-preservation-and-development-of-agricultural-land-framework-bill/;salo:630;Draft preservation and development of agricultural land framework bill;28/09/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2015/09/PMG2.jpg;;"To provide for definitions of terms used in the Act; to provide for the objects of the Act; to provide for the custodianship of agricultural land; to provide for the application of the Act and the guiding principles of interpretation and implementation of the Act; to provide for agricultural regulation pertaining to subdivision and
rezoning applications on high potential cropping land and on medium potential agricultural land, respectively; to provide for Protected Agricultural Areas; to provide for the use of agricultural land; to provide for other applications on agricultural land; to provide for the duties of the Surveyor-General and the Registrar of Deeds in the
application of the Act; to provide for the registration of servitudes on agricultural land; to provide for the National Agricultural Land Register and other systems; to provide for Agro-ecosystem Reports; to provide for the institutional framework, and, more specifically, the Intergovernmental Committee on the Preservation and Development of Agricultural Land, the Preservation and Development of Agricultural Land Framework Act National, Provincial and Municipal Internal Technical Committees and the Agricultural Land National Advisory Commission, as well as the
Agricultural Land Review Board; to provide for the settlement of disputes regarding agricultural land; to provide for provincial and municipal responsibilities, guiding principles, minimum provincial norms and standards, and coordinated planning and development; to provide for general and miscellaneous matters; and to provide for
matters connected therewith.";http://pmg-assets.s3-website-eu-west-1.amazonaws.com/150316Draft_PD-ALFA_Bill.pdf;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"zoning;deed;land;land registration;protected areas";Land, Climate change & Environment;Land Use, Management & Investment
http://salandobservatory.org/2015/02/turnaround-strategy-for-recapitalisation-and-development-programme-department-of-rural-development-and-land-reform-drdlr-presentation/;salo:633;Turnaround strategy for Recapitalisation and Development Programme: Department of Rural Development and Land Reform (DRDLR) presentation;18/02/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2015/09/PM3.1.jpg;Ms P Ngwenya-Mabila;"The turnaround strategy for the Recapitalisation and Development Programme (RADP) was presented against the backdrop of the Committee’s public hearings on 4 and 5 February 2015 on the implementation of the programme. The evaluation process conducted by the Department of Performance Monitoring and Evaluation (DPME) indicated that even though RADP had made some progress towards achieving its intended objectives, there was room for significant improvement. The best and lasting solution would entail a redesign and overhaul of all public agricultural support programmes and do away with existing silos of funding for agricultural support services. If RADP was implemented properly, the main objectives of the programme would be achieved, that is, to rekindle the class of black commercial farmers which were destroyed by the 1913 Natives Land Act.

The challenges experienced by beneficiaries included the lack of transparency and communication to strategic partners and farmers, a cumbersome process for approval of grants/funds and fraud and corruption by some strategic partners. There were delays in the disbursement of funds, non-compliance on the usage of RADP funds and a non-user friendly system for reconciliation of expenditure.";https://pmg.org.za/committee-meeting/20002/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"development;agriculture;farmers";;
http://salandobservatory.org/2015/03/department-of-rural-development-land-reform-ingonyama-trust-board-commission-on-restitution-of-land-rights-strategic-annual-performance-plans-201516/;salo:636;Department of Rural Development & Land Reform, Ingonyama Trust Board, Commission on Restitution of Land Rights Strategic & Annual Performance Plans 2015/16;18/03/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2015/09/PM4.jpg;Ms P Ngwenya-Mabila;The Committee was briefed by the Department of Rural Development and Land Reform (DRDLR) on its Annual Performance Plan for 2015/16, with the Minister and Deputy Minister in attendance. Due to the complexity of the agrarian transformation space, the DRDLR had developed a rural economy transformation model which would be implemented through the Agrarian Transformation System. The target for the jobs created in land reform projects, the number of farmers trained through the recapitalisation and development programme, and the number of land claims settled and finalized, were some of the key targets presented. The collaborative efforts between the DRDLR and the Department of Agriculture, Forestry and Fisheries were welcomed by the Committee;https://pmg.org.za/committee-meeting/20546/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;forestry;reforms;rural development;agrarian reform;fisheries;farmers;development;agricultural landscape;deed";Forest Tenure;Land Use, Management & Investment
http://salandobservatory.org/2015/09/preservation-and-development-of-agricultural-land-framework-bill/;salo:639;Preservation and development of agricultural land framework bill;29/09/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2015/07/2.jpg;;"To provide for definitions of terms used in the Act; to provide for the objects of the Act; to provide for the custodianship of agricultural land; to provide for the application of the Act and the guiding principles of interpretation and implementation of the Act; to provide for agricultural regulation pertaining to subdivision and
rezoning applications on high potential cropping land and on medium potential agricultural land, respectively; to provide for Protected Agricultural Areas; to provide for the use of agricultural land; to provide for other applications on agricultural land; to provide for the duties of the Surveyor-General and the Registrar of Deeds in the application of the Act; to provide for the registration of servitude on agricultural land; to provide for the National Agricultural Land Register and other systems; to provide for Agro-ecosystem Reports; to provide for the institutional framework, and, more specifically, the Intergovernmental Committee on the Preservation and Development of Agricultural Land, the Preservation and Development of Agricultural Land Framework Act National, Provincial and Municipal Internal Technical Committees and the Agricultural Land National Advisory Commission, as well as the
Agricultural Land Review Board; to provide for the settlement of disputes regarding agricultural land; to provide for provincial and municipal responsibilities, guiding principles, minimum provincial norms and standards, and coordinated planning and development; to provide for general and miscellaneous matters; and to provide for
matters connected therewith.";http://www.nda.agric.za/docs/media/Draft%20Preservation%20and%20Development%20of%20%20Agricultural%20Land%20Framenwork%20Bill.pdf;Department of Agriculture Forest and Fisheries (South Africa);ZAF;en;Legislation & Policies;Yes ;"zoning;deed;land;land registration;protected areas";Land, Climate change & Environment;Land Use, Management & Investment
http://salandobservatory.org/2015/09/discussion-document-on-the-preservation-and-development-of-agricultural-land/;salo:642;Discussion document on the preservation and development of agricultural land ;29/09/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2015/09/pm5.jpg;;The preservation, development and sustainable use of agricultural land are of vital importance to ensure longterm food security in South Africa. These principles of food security as well as an integrated, inclusive rural economy underpin the core focus areas of the National Development Plan, Vision 2030 (NDP). The NDP states that the national food security goal for South Africa is to maintain a positive trade balance for primary and processed agricultural products whilst job creation and increased agricultural productivity is needed to address food insecurity at household and individual level in rural areas. The concomitant Food Security Policy for the Republic of South Africa (2013) states unambiguously that food security is a key element of both poverty and inequality. The NDP endorses the 2009-2014 Medium Term Strategic Framework which lists rural development and food security as one of the ten priority areas to give effect to Government’s strategic objectives.;http://www.nda.agric.za/docs/media/Draft%20policy%20document%20on%20the%20Preservation%20and%20Development%20of%20Agricultural%20Land.pdf;Department of Agriculture Forest and Fisheries (South Africa);ZAF;en;Policy Papers & Briefs;Yes ;"agricultural land management;sustainable development;food security;agriculture;rural areas;rural development;poverty;environment;land reform;forestry;fisheries;natural resources management;agrarian reform;land access;land acquisitions";"Land, Climate change & Environment;Forest Tenure;Socio-Economic & Institutional Context;Land & Food Security";"Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2008/08/provision-of-land-and-assistance-amendment-bill-b40-2008-department-of-land-affairs-briefing/;salo:1547;Provision of Land and Assistance Amendment Bill [B40-2008]: Department of Land Affairs briefing;19/08/2008;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr M Mohlaloga;The Department of Land Affairs introduced the Provision of Land and Assistance Amendment Bill and explained that this Bill was intended as an administrative piece of legislation to supplement the provisions of the principal Act. Currently, in terms of that Act, the Department was authorised to acquire land, but was not authorised to acquire the immovable property essential to the proper use of that land – such as irrigation schemes, plant and equipment, farming implements or livestock. Without having those powers, the Department could not fulfil its functions properly. The Bill would also be dealing with the budgeting more clearly;https://pmg.org.za/committee-meeting/9512/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land administration;land acquisitions;farming systems";;Land Use, Management & Investment
http://salandobservatory.org/2015/11/atc141126-report-of-the-sc-land-on-oversight-visit-to-entities-of-departments-of-mineral-resources-agriculture-forestry-fisheries-dated-25-november-2014/;salo:1550;ATC141126: Report of the SC Land on oversight visit to entities of Departments of Mineral Resources & Agriculture, Forestry & Fisheries, dated 25 November 2014;25/11/2014;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;;"The Select Committee on Land and Mineral Resources having conducted oversight at the Council of Geosciences (CGS), the Agricultural Research Council (ARC) and Onderstepoort Biological Products (OBP), from 21 – 22 October 2014 reports as follows:

1. Background and Introduction

1.1.         During the National Council of Provinces’ (NCOP) strategic planning session held this year (2014), it was decided that the Committee would ensure that it visited State Owned Entities that fall under the Departments overseen by the Committee. The NCOP set aside the week of 21 – 24 for oversight activities.  These four (4) days were to be shared by two committee, as the Committee shared its membership with the SC on Communication and Public Enterprises.  The committee therefore used 23 and 24 October 2014 for activities associated with the SC on Land and Mineral Resources.

1.2.         The entities visited by the Sc on Land and Mineral Resources wwere the Council of Geosciences (CGS), Agricultural Research Council (ARC) and the Ondestepoort Biological Products (OBP), which were all located in Pretoria and surrounds";http://pmg-assets.s3-website-eu-west-1.amazonaws.com/141126sclandreport1.htm;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"state property;natural resources management;land;sustainable development;rural development;land use;agriculture;forestry;fisheries";"Socio-Economic & Institutional Context;Forest Tenure";Land Use, Management & Investment
http://salandobservatory.org/2015/01/expropriation-bill/;salo:1555;Expropriation Bill;26/01/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;;"To provide for the expropriation of property for a public purpose or in the public
interest, subject to just and equitable compensation; and to provide for matters
connected therewith.";http://pmg-assets.s3-website-eu-west-1.amazonaws.com/150213b4-2015.pdf;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"public ownership;compensation;property law;communal territory;private ownership";Indigenous & Community Land Rights;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/03/expropriation-bill-briefing-by-minister-public-works-201516-strategic-annual-performance-plan/;salo:1568;"Expropriation Bill: briefing by Minister & Deputy Minister; Public Works 2015/16 Strategic & Annual Performance Plan";24/03/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr B Martins;With the Minister of Public Works in attendance, the Deputy Minister gave a briefing on the Expropriation Bill (B4-2015). He said that expropriation is an essential mechanism for the state to acquire property in certain instances. Section 25 of the Constitution provides that property may be expropriated only in terms of general application and to that no law may permit arbitrary deprivation of property. The Constitution states that expropriation may occur only for a public purpose or in the public interest and subject to payment of compensation. Public interest includes the nation’s commitment to land reform, reforms to bring about equitable access to all South Africa’s natural resources and other reforms to redress the results of past racial discriminatory laws or practices. The Expropriation Act of 1975 was reviewed to ensure its consistency with Section 9, 25 and 33 of the Constitution as well as the extension of the purpose of expropriation to include public interest. Compensation in terms of the Expropriation Act 1975 was determined primarily on the market value of the expropriated property, but Section 25(3) of the Constitution requires “just and equitable” compensation be determined by having regard of all circumstances without placing undue weight on any single or particular factor. National, provincial and local government were empowered to expropriate property to varying degrees through several pieces of legislation and the Expropriation Bill seeks to ensure consistency with the Constitution and uniformity of procedure of all expropriation without interfering with the powers of expropriating authorities.;https://pmg.org.za/committee-meeting/20577/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land loans;property;property law;land reform;reforms;natural resources management;compensation";;"Land Policy & Legislation;Land Use, Management & Investment"
