"ID";"Title";"Subtitle";"Abstract/Description";"Authors";"Corporate authors";"Publishers";"Data provider";"Publication date";"Languages";"Related concepts";"Themes";"Geographical focus";"Resource types";"Link to the original website";"Link to the publication";"Thumbnail";"License";"Copyright details";"Pages";"Potential List";"Internal ID"
"uasm:5280";"Land consolidation as a factor for successful development of agriculture in Moldova";;"Since 1991, Moldova has carried out a wide range of radical reforms affecting its social and economic system. The land reform, which was practically completed in 2000, created over 1 million landowners among the rural population. Many of them entrusted their land to managers of newly created corporate farms. Others used their privately owned land to establish independent family farms. The creation of independent family farms (so-called ""peasant farms"") was one of the primary goals of the land reform. More than 280,000 peasant farms have been created, averaging 1,86 hectares in size. The small size of the peasant farms, whose holdings are furthermore split into 3-4 parcels, raises considerable concerns about their long-term viability and has led to an intense public debate regarding the impacts of fragmentation. In this paper, we use the data from several recent surveys in Moldova to support the case for land consolidation. We show that, in the individual sector, larger farms produce higher family incomes and thus farm augmentation makes a positive contribution to the well-being of the rural population. We also show that, for farms of a given size, productivity increases as the number of parcels decreases. After demonstrating the economic advantages of consolidation, we proceed to discuss the actual use of various market mechanisms for land consolidation, including leasing as well as buying and selling of land. We then show that, in our surveys, farms with leased land are in fact larger than farms that rely on owned land only. This completes the logical circle of our argument: land consolidation leads to better economic performance, while land leasing is actually used as a market mechanism for consolidation, which benefits both lessees (through increased farm incomes) and lessors (through income from lease payments for their land).";"Lerman, Zvi
Cimpoieș, Dragoș";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2005-12-31";"en";"agriculture;development;land consolidation";;"MDA";"Reports & Research";"http://dspace.uasm.md/handle/123456789/5280";"http://dspace.uasm.md/rest/bitstreams/37a3dfcf-d38a-49ca-aeeb-61600a805a3c/retrieve";;;;;;"uasm:5280"
"uasm:3958";"Contabilitatea transmiterii terenurilor agricole in arendă";;"Currently, most Republic of Moldova agribusinesses operate in areas leased from the owners land. The operations on land lease from farms is met less frequently as it causes a range of problems - from issurance of documents and determination of the lease payment to the accounting for expenditure and income. Fair and prompt settlement of these issues is imperative of time and can contribute greatly to extend lease operations and make more efficient the use of land.";"Diaconu, Ana
Chișlaru, Angela
Frecăuțeanu, Alexandru";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2013-12-31";"ro";"land markets;land rent";"Land & Investments";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/3958";"http://dspace.uasm.md/rest/bitstreams/439db0e9-ea4b-451d-badd-8102b5f11e9b/retrieve";;;;;;"uasm:3958"
"uasm:3869";"Problemele funcţionării pieţii funciare in Republica Moldova: perspective şi tendinţe";;"Actually the land market of the Republic of Moldova represent a characteristic

development of whole national economy. Practically the evolution of land market is not

difference at the privatization period in the agrarian sector. It was manifested through limited land fund, small attractive land market for foreign investors, low prices of agriculture lands in comparison with the lots of other destination, the reduced area of agriculture enterprises, low

competitiveness of agriculture enterprises, a lot of erosion soils in the structure of land fund.

Agriculture sector represents one of the main source of income for a big part of population.

Over 60% of population is concentrated in rural sector. The goal of the study is to analyze the

evolution of agriculture land market, the land relations in agrarian sector from Moldova and to

identify the perspectives and tendencies of these.";"Baltag, Grigore";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2010-12-31";"ro";"farmland;land management;land markets";"Land & Investments;Land Stakeholders & Institutions";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/3869";"http://dspace.uasm.md/rest/bitstreams/90e11d83-9f2e-4553-bb66-9c11f60153cb/retrieve";;;;;;"uasm:3869"
"uasm:4796";"Agricultural land market as a tool of sustainable development of rural areas in the Republic of Moldova";;"The paper has two main applications: it represents a model for pricing – which might be used by investment funds, or other organizations interested in agricultural land acquisitions; the interest is in buy/sell transactions - a financial mechanism could be created to facilitate these transactions. For example, the creation of a Land Bank or to attract land banking investment funds, which would have the goal to improve the transaction system, develop financial tools necessary for increasing efficiency, improving financial structure. This study explorers the historical transactions and specifics of the land market in Republic of Moldova and how it is affected by social indicators in rural areas.";"Perju, Mariana
Cimpoieș, Dragoș
Racul, Anatol";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2013-12-31";"en";"agriculture;farmland;land markets;rural areas;rural development;sustainable development";"Land & Investments;Socio-Economic & Institutional Context";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/4796";"http://dspace.uasm.md/rest/bitstreams/19a1ea13-5376-45fc-af33-d9071d01b7fd/retrieve";;;;;;"uasm:4796"
"uasm:3850";"Aspecte relevante privind modificările structurale ale fondului funciar in Republica Moldova";;"This article is investigating some relevant aspects considering structural

changes of the land fund in the Republic of Moldova. Also it is considering the structure

evolution of land fund along 2007-2009 years. The results of the research conclude that

one of the most important rise components of efficient usage of land fund is spread of

fertilizers according to settled standards by scientific research institutions. Economical

efficacy using the land fund may be provided by supplying the agricultural enterprises with

modern equipment (creating technological stations and machines), fertilizers spread,

performing all agricultural ground according to scientific recommendations. Soil erosion

and landslides are a big and risky danger bringing a huge loss to economy, population,

diminishing the land fund of the Republic of Moldova. Land is becoming wealth and

valuable just being carefully and wisely looked after.";"Burciu, Corina";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2010-12-31";"ro";"arable land;farmland;land productivity";"Land & Investments";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/3850";"http://dspace.uasm.md/rest/bitstreams/dc00851d-3c3b-40f1-baf8-01213b3131e8/retrieve";;;;;;"uasm:3850"
"uasm:5045";"The problems of land market functioning in the Republic of Moldova: perspectives and tendencies.";;"Actually the land market of the Republic of Moldova represents a characteristic development of whole national economy. Practically the evolution of land market is not different at the privatization period in the agrarian sector. It was manifested through limited land fund, small attractive land market for foreign investors, low prices of agriculture lands in comparison with the lots of other destination, the reduced area of agriculture enterprises, low competitiveness of agriculture enterprises, a lot of erosion soils in the structure of land fund. Agriculture sector represents one of the main sources of income for a big part of population. Over 60% of population is concentrated in rural sector. The goal of the study is to analyze the evolution of agriculture land market, the land relations in agrarian sector from Moldova and to identify the perspectives and tendencies of these.";"Baltag, Grigore";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2010-12-31";"en";"land management";"Land Stakeholders & Institutions";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/5045";"http://dspace.uasm.md/rest/bitstreams/5e4ad1b8-dbec-4734-ac76-0ec3e15b3380/retrieve";;;;;;"uasm:5045"
"uasm:5143";"Eficienţa economică a potenţialului de producţie în unităţile agricole";"The economic efficacy of production potential in agricultural enterprices";"În baza datelor a 857 întreprinderi agricole din Republica Moldova, s-a determinat nivelul potenţialului de producţie în profilul regiunilor de dezvoltare şi eficienţa economică privind utilizarea acestuia. Folosind metode economico-statistice, s-au stabilit factorii ce ţin de capacitatea productivă a terenului agricol, înzestrarea tehnică a forţei de muncă şi influenţa lor la creşterea eficienţei economice a potenţialului de producţie.



Based on data from 857 agricultural enterprises of the Republic of Moldova has been determined the production potential proile in the regions of development and economic efficiency on its use. Using economic and statistical methods have been determined factors related to the productive capacity of agricultural land, the technical capacity of the workforce and increasing of their efficiency of production potential.";"Bulgac, Edvard";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2009-12-31";"en";"farmland;land productivity";"Land & Investments";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/5143";"http://dspace.uasm.md/rest/bitstreams/244aed7e-e530-4e73-b2ad-3ad429623122/retrieve";;;;;;"uasm:5143"
"uasm:3730";"The economics of land fragmentation in the individual farm sector of Moldova";;"În această lucrare se descrie starea actuală a fragmentării funciare al gospodăriilor ţărăneşti din Republica Moldova şi efectele pe care le are aceasta asupra bunăstării familiilor rurale şi a productivităţii exploataţiilor agricole. Ipoteza de bază înaintată este dacă consolidarea terenurilor agricole va avea efecte benefice asupra productivităţii şi dacă această este binevenită pe termen lung. În acest context, se va examina consolidarea în baza principiilor economiei de piaţă, utilizând informaţia obţinută din mai multe studii de teren recent efectuate. În particular, vom arăta că în sectorul individual exploataţiile agricole mai mari consumă mai puţin din producţia obţinută şi dispun de nivele de comercializare mai ridicate. Astfel, acestea obţin venituri din vânzări mai mari, generând un nivel de trai mai ridicat al familiilor din spaţiul rural. De asemenea, gradul fragmentării funciare este corelat cu eficienţa relativă a exploataţiilor agricole, demonstrându-se că unităţile consolidate sunt mai eficiente decât cele parcelate. Aşa dar, consolidarea funciară contribuie la o performanţă economică sporită a gospodăriilor ţărăneşti.";"Cimpoieș, Dragoș";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2010-12-31";"en";"farmers;land consolidation;smallholders";"Indigenous & Community Land Rights;Land Stakeholders & Institutions";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/3730";"http://dspace.uasm.md/rest/bitstreams/9990957c-458f-428b-895c-15df5eba0cba/retrieve";;;;;;"uasm:3730"
"uasm:3578";"Analiza potenţialului productiv al fondului funciar din Republica Moldova";;"In this article, some analysis models regarding land structure and productive capacity of the land fund are examined. Also, there were analyzed the influence of erosions degree and soil quality on the modification of the agricultural land efficiency. It was established that the productive potential of the land fund depends on climatic conditions, which determine the necessity to adjust agriculture to the peculiarities of different regions";"Burciu, Corina
Tcaci, Natalia";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2010-12-31";"ro";"farmland;land productivity";"Land & Investments";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/3578";"http://dspace.uasm.md/rest/bitstreams/a1e64827-bdf0-4612-ae80-64a0452a8bf7/retrieve";;;;;;"uasm:3578"
"uasm:2892";"Consideraţii cu privire la dezvoltarea conceptului şi strategiei consolidării terenurilor agricole";;"The article presents data concerning the results of introducing pilot projects in 6 villages of the Republic of Moldova in 2007-2009.As a result it was possible to accumulate the necessary experience for the extension of the se activities overall the country. Simultaneously, a number of difficulties and problems have been identified and without their elimination it will be difficult to accomplish these activities. In 2008, in Moldova, the Government has accepted the Program of land consolidation that was a premature step because such pilot projects haven’t been implemented yet, the Concept hasn’t been confirmed and the Strategy of land consolidation hasn’t been developed. Therefore, at present, it is necessary to concentrate our efforts to develop the Concept and Strategy of land consolidation and to improve actual legal network in this field. The factors constraining the implementation of land consolidation a retaken into consideration and some measures on their elimination are recommended. A number of theoretical and practical problems which require examination and solution in the future are discussed.";"Horjan, Oleg";;;"Republican Scientific Agricultural Library of the State Agrarian University of Moldova";"2011-12-31";"ro";"farmland;land consolidation;land reform";"Socio-Economic & Institutional Context";"MDA";"Journal Articles & Books";"http://dspace.uasm.md/handle/123456789/2892";"http://dspace.uasm.md/rest/bitstreams/964f2bd8-4633-4478-8aa7-5e2a683c2ac1/retrieve";;;;;;"uasm:2892"
