ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"UNCCD:352";"International Land Coalition (ILC) annual report 2013";"";"In 2013, the International Land Coalition (ILC) marked a historic expansion in its membership, reaching 152 member organisations in 56 countries, representing diverse interests and entities from national civil society organisations (CSOs) and grassroots movements to international non-governmental organisations (NGOs) and United Nations agencies, all with a common agenda to work together on behalf of the world’s most vulnerable people to make tangible progress in achieving secure and equitable access to land.ILC has also become a leading advocate for transparency and open knowledge on land governance issues.The Coalition and its partners have launched a new and improved version of the Land Matrix Global Observatory, an online database of large-scale land acquisitions, which has gained critical acclaim and received widespread coverage in the world’s media";"";"International Land Coalition";"International Land Coalition";"United Nations Convention to Combat Desertification";"2014-12-31";"en";"community land rights;grassroots organizations";"Indigenous & Community Land Rights;Land Stakeholders & Institutions";"COG;COL;GTM;MDG;MNG;NPL;TGO;TZA";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/352";"http://www.landcoalition.org/sites/default/files/ILCAnnualReport2013.pdf";"";"";"";"94";"";""
"UNCCD:85";"Protecting our planet, securing our future: Linkages among global environmental issues and human needs";"";"Drawing on a wide variety of international scientific and technical assessments and policy reports, this comprehensive study depicts the linkages - both physical and biochemical - between important environmental issues.
 It also discusses how interlinked, global environmental issues can be confronted in an integrated manner and how such issues influence our ability to meet basic human needs. See also  trends, causes, social and economic consequences, technologies, policies and measures to mitigate desertification and land degradation.
Fully illustrated throughout, Protecting Our Planet: Securing Our Future is recommended for the wider environmental and policy community.";"Watson, Robert T.
Dixon, John A.
Hamburg, Steven P.";"";"";"United Nations Convention to Combat Desertification";"1998-12-31";"en";"biodiversity;climate change;deforestation;desertification;sustainable development";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/85";"http://siteresources.worldbank.org/INTRANETENVIRONMENT/Resources/ProtectingOurPlanet.pdf";"";"";"";"95";"";""
"UNCCD:255";"Stronger UNCCD for a land-degradation neutral world. Issue brief";"";"Land-degradation neutral world is an aspirational goal, which was agreed at the UN Conference on Sustainable Development (Rio+20) in June 2012. To achieve this goal, land degradation should be avoided and for every hectare of degraded land a hectare of land should be restored preferably in the same ecosystem and landscape. A land-degradation neutral world is a prerequisite for assuring water, food and energy security, alleviating poverty and mitigating climate change. 
​​
At the Rio+20 Conference, world leaders recognized land degradation, desertification and drought as serious global challenges,  impeding sustainable development globally and committed to “strive to achieve a land-degradation neutral world”. They also reaffirmed their resolve under the UNCCD to take coordinated action nationally, regionally and internationally, to monitor land degradation globally and further develop and implement scientifically based and socially inclusive indicators for monitoring and assessing the extent of desertification, land degradation and drought.";"";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"2013-12-31";"en";"deforestation;land degradation;migration";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment;Socio-Economic & Institutional Context";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/255";"http://catalogue.unccd.int/225_Stronger_UNCCD_LDNWorld_web.pdf";"";"";"";"15";"";""
"UNCCD:272";"Tackling land degradation and desertification: GEF - IFAD partnership";"";"Desertification  occurs in drylands,which span a third of the earth ’s land surface in over 110 countries.It influences the lives of about 500 000 people – the so-called environmental refugees –including many of the world ’s poorest and most marginalized populations. Each year 12 million hectares (ha)are lost to deserts.That is enough land to grow 20 million tonnes of grain.
Land degradation,in turn,threatens the livelihoods of a billion of earth ’s inhabitants.Degradation caused by overcultivation, overgrazing, deforestation and inefficient irrigation affects an estimated 20%of the world ’s drylands, an area as large as China.
Combating desertification,and land degradation more generally, is a war that can be lost,but must be won.Desertification is often the result of human activity and can therefore be prevented or controlled by human effort. Because of its magnitude,desertification is a global issue,and as such can only be addressed through a global partnership.This brochure is about the formation of such a partnership between the Global Environment Facility (GEF)and the International Fund for Agricultural Development (IFAD).";"";"Global Environment Facility;International Fund for Agricultural Development (IFAD)";"Global Environment Facility";"United Nations Convention to Combat Desertification";"2001-12-31";"en";"deforestation;drylands";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment;Rangelands, Drylands & Pastoralism";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/272";"http://catalogue.unccd.int/272_Tackling_ Land_Degradation_Desertification.pdf";"";"";"";"9";"";""
"UNCCD:488";"Tenure rights and benefit sharing arrangements for REDD: A case study of two REDD Pilot Projects in Cambodia";"";"Deforestation and forest degradation account for up to 20% of the total annual anthropogenic greenhouse gas emissions. As a result, current approaches to address climate change include strategies to reduce deforestation and forest degradation in developing countries (REDD). Even though REDD is still under discussion within the UNFCCC framework, many REDD pilot projects are being implemented across the tropics. Securing local communities’ tenure rights and their equitable access to forest conservation benefits are critical in REDD because local communities could be excluded from REDD benefits if their land and forest access rights are not adequately addressed. In Cambodia, two REDD pilot projects: Community Forestry Carbon Offset Project (CFCOP) in Oddar Meanchey province and the Seima Protection Forest Project (SPF) in Mundulkiri province, are being implemented. This study aims to to contribute to the development of an effective REDD mechanism in Cambodia by examining land and forest tenures and benefit sharing arrangements under the two REDD pilot projects in Cambodia.";"Yeang, Donal";"";"Wageningen University & Research";"United Nations Convention to Combat Desertification";"2010-12-31";"en";"deforestation;land rights;land tenure";"Forest Landscape Restoration;Forest Tenure;Indigenous & Community Land Rights;Land, Climate Change & Environment";"KHM";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/488";"http://catalogue.unccd.int/488_145608.pdf";"";"";"";"88";"";""
"UNCCD:666";"Bioenergy and sustainability: Bridging the gaps";"";"The  development  of  modern  high  efficiency  bioenergy technologies  has  the  potential to improve energy security and access while reducing environmental impacts and  stimulating  low-carbon  development.  While  modern  bioenergy  production  is increasing in the world, it still makes a small contribution to our energy matrix.
At present, approximately 87% of energy demand is satisfied by energy produced  through consumption of fossil fuels. Although the International Energy Agency (IEA)  predicts that this share will fall to 75%, the total consumption of fossil fuels will continue to rise, adding another 6 Gt of carbon to the atmosphere by 2035. The consequences of this increase are worrisome.
Deforestation  and  land  degradation  also  contribute  to  increased  greenhouse  gas emissions.  The  world’s  total  forest  area  in  2010  was  just  over  4  billion  hectares, which corresponds to an average of 0.6 ha per capita.  Each year, between 2000 and 2010, around 13 million hectares of forestland were converted to other uses or lost through natural causes. The production of timber for housing or the need to make land 
available for urbanization, large-scale cash crops such as soy and oil palm, subsistence 
agriculture  and  cattle  ranching  induce  deforestation.  Forests  are  also  degraded  or damaged due to the soaring demand for fuelwood and charcoal for cooking and heating in developing countries that suffer from low levels of access to modern energy services. 
Most of the world’s bioenergy is presently derived from wood burning for cooking and heating in developing countries. Such traditional uses of biomass are low in cost to the users, but their technical inefficiency results in considerable health and environmental costs while providing only low quality energy services.";"Souza, Glaucia M
Victoria, Raynaldo L
Joly, Carlos A";"";"";"United Nations Convention to Combat Desertification";"2015-12-31";"en";"deforestation;food security;land degradation";"Forest Landscape Restoration;Forest Tenure;Land & Food Security;Land, Climate Change & Environment";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/666";"http://catalogue.unccd.int/666_bioenergy_sustainability_scope.pdf";"";"";"";"779";"";""
"UNCCD:667";"Land and Bioenergy  (Chapter 9 from ""Bioenergy and sustainability: Bridging the gaps"")";"";"Projected land demands for bioenergy fall well within conservative estimates of current and future land availability (240 to 905 Mha). Estimates for the amount of modern bioenergy needed to meaningfully mitigate climate change range from 80   to 200 EJ in the 2050 timeframe. At the upper end of this range, we estimate 
that about 200 million hectares would be required. This may be compared to most estimates for the amount of land available for bioenergy, which exceed 500 million hectares. Long before the world reaches any significant fraction of 200 Mha devoted to modern bioenergy, we will have opportunity to be guided by experience rather than projection. The real danger is not that once the bioenergy genie is out of the 
bottle that ruinous land use change will ensue. The recent application of the brakes to  bioenergy  expansion  worldwide  provides  ample  evidence  that  the  growth  of bioenergy can be curtailed. Rather, the real danger is that bioenergy development will proceed so slowly that a key strategy for climate change mitigation will be taken off the table. In this chapter we address the questions of whether and how enough biomass could 
be produced to make a material contribution to global energy supply on a scale and timeline that is consistent with prominent low carbon energy scenarios. We assess whether  bioenergy  provision  necessarily  conflicts  with  priority  ecosystem  services including food security for the world’s poor and vulnerable populations.
In order to evaluate the potential land demand for bioenergy, we developed a set of  three illustrative scenarios using specified growth rates for each bioenergy sub-sector.";"Woods, Jeremy
Chum, Helena L.
Lynd, Lee R";"";"";"United Nations Convention to Combat Desertification";"2015-12-31";"en";"deforestation;food security;land degradation";"Forest Landscape Restoration;Forest Tenure;Land & Food Security;Land, Climate Change & Environment";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/667";"http://catalogue.unccd.int/667_bioen-scope_chapter09.pdf";"";"";"";"43";"";""
"UNCCD:1218";"Global Land Outlook: Northeast Asia Thematic Report: Partnerships to Achieve Land Degradation Neutrality";"";"Deforestation, land degradation, and unsustainable land management threaten our lives and are responsible, both directly and indirectly, for many economic, social and environmental issues. In particular, countries in Northeast Asia face the growing threats of desertification, land degradation and drought (DLDD).

 In China, it is estimated that “more than 40 per cent of Chinese arable land is degraded” (China Daily 2014). “The annual cost of land degradation in Mongolia is estimated at 2.1 billion United States dollars (USD)” (UNCCD, 2018). Sand and Dust Storms (SDS) hit the region each year, causing
significant damage to life and property.

With the impacts of DLDD and SDS often being transboundary, they are not only a national issue, but also a regional one, requiring transboundary cooperation. One country alone would not be able to tackle these issues adequately. Thus, regional cooperation is essential to address the shared challenge of DLDD and SDS.";"";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"deforestation;desertification;land degradation";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment";"CHN;JPN;KOR;MNG;PRK;RUS";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1218";"http://catalogue.unccd.int/1218_GLO_Northeast_Asia_Report.pdf";"";"";"";"84";"";""
"UNCCD:1221";"Global Land Outlook: Latin America and the Caribbean Thematic Report: Sustainable Land Management and Climate Change Adaptation";"";"The extensive arable land and great biodiversity present in Latin America and the Caribbean (LAC) have the potential to ensure sustenance and a good quality of life for its more than 600 million inhabitants.

LAC has experienced important changes in land use. When the Europeans arrived in the 15th century, the forest cover of LAC accounted for approximately 75 per cent of the territory. At present, forests cover less than 50 per cent of the territory, 90 per cent of which is due to the expansion of agriculture and livestock, especially during the 20th century and the
beginning of the 21st century.

In LAC, the primary factors that have contributed to land degradation are population growth, deforestation and the management of grassland ecosystems (savannas, steppes, pampas, fields, etc.), as well as natural phenomena exacerbated or not by human action. As land degradation progresses, soil, hydrology, biomass, biodiversity and climate are all adversely affected. Regarding the factors that affect degradation, an analysis was carried out in eight LAC countries, considering six factors, as well as their concurrence and convergence in a certain geographical space, and their evolution in a certain period of time.

Spanish language version available: Global Land Outlook: Informe Temático sobre América Latina y el Caribe";"";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"United Nations Convention to Combat Desertification";"2019-12-31";"en";"deforestation;land degradation;land use;sustainable land management";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment";"005;013;029;ARG;BRA;DOM;ECU;GTM;MEX;PER;PRY";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1221";"http://catalogue.unccd.int/1221_GLO_LAC_E.pdf";"";"";"";"64";"";""
"UNCCD:1277";"Zero deforestation: A commitment to change";"";"Widespread palm oil production causes much controversy due to its negative impacts in the tropics. But whatever is said about it, it is big business and getting bigger by the day due to increasing global demands. Alongside this, the size and depth of the social and environmental debates surrounding palm oil production are also growing. As a major globally-consumed commodity, its production in the humid and sub-humid tropics raises concerns due to its impacts on the environment, biodiversity, local communities, smallholder livelihoods, land rights and climate change.

One possible solution proposed is to improve the ‘inclusiveness’ of smallholders who make up a substantial part of the palm oil value chain. This book presents potential opportunities by looking at the experiences, perceptions and perspectives of individuals, companies, institutions and NGOs on what has been done and is being done on the ground to increase the involvement of and benefits to smallholder oil palm farmers. And in doing so, it focuses on the following key questions: How do such actions and their impacts differ between different smallholder types and organizations? How do they differ between countries, regions and corporate contexts? What are the effects of various enabling policy environments? And what do the authors in this edition mean by ‘inclusiveness’?

This ETFRN News edition brings together 24 articles and interviews from around the world that reflect on these questions and it identifies means of improving smallholder inclusiveness in palm oil production and the ones that could be scaled up.";"Pasiecznik, Nick
Jezeer, Rosalien";"European Tropical Forest Research Network";"Tropenbos International";"United Nations Convention to Combat Desertification";"2017-12-31";"en";"deforestation;smallholders";"Forest Landscape Restoration;Forest Tenure;Indigenous & Community Land Rights;Land Stakeholders & Institutions;Land, Climate Change & Environment";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1277";"http://catalogue.unccd.int/1277_Zero_Deforestation.pdf";"";"";"";"227";"";""
"UNCCD:1481";"Global Forest Resources Assessment 2020";"";"Did you know that forests cover nearly 1/3 of land globally?
That’s 4.06 billion hectares.
In other words, there is around 0.52 ha of forest for every person on the planet.

More than half (54 percent) of the world’s forests are in only five countries –the Russian Federation, Brazil, Canada, the United States of America and China.

Ninety-three percent of the forest area worldwide is composed of naturally regenerating forests and 7 percent is planted.

The area of naturally regenerating forests has decreased since 1990 (at a declining rate of loss), but the area of planted forests has increased by 123 million ha.

Plantation forests cover about 131 million ha, which is 3 percent of the global forest area and 45 percent of the total area of planted forests.

The highest share of plantation forest is in South America with 99 percent of the total planted-forest area and 2 percent of the total forest area.
The lowest share of plantation forest is in Europe, where it represents 6 percent of the planted forest estate and 0.4 percent of the total forest area.

Globally, 44 percent of plantation forests are composed mainly of introduced species.
The world still has at least 1.11 billion ha of primary forest. Combined, three countries – Brazil, Canada and the Russian Federation – host more than half (61 percent) of the world’s primary forest. 

The area of primary forest has decreased by 81 million ha since 1990, but the rate of loss more than halved in 2010–2020 compared with the previous decade.
Where is forest being lost and where is it being gained?
•	Africa had the largest annual rate of net forest loss in 2010–2020, at 3.9 million ha.
•	The rate of net forest loss has increased in Africa in each of the three decades since 1990. 
•	Annually South America had a net forest loss of 2.6 million ha in 2010–2020.
•	The rate of net forest loss has declined substantially in South America, to about half the rate in 2010–2020 compared with 2000–2010.
•	Asia had the highest net gain of forest area in 2010–2020.
•	Oceania experienced net losses of forest area in the decades 1990–2000 and 2000–2010.

The rate of net forest loss declined from 7.8 million ha per year in the decade 1990–2000 to 5.2 million ha in 2000–2010 and 4.7 million ha per year in 2010–2020. The rate of decline of net forest loss slowed in the most recent decade due to a reduction in the rate of forest expansion.

An estimated 420 million ha of forest has been lost worldwide through deforestation since 1990, but the rate of forest loss has declined substantially. In the most recent five-year period (2015–2020), the annual rate of deforestation was estimated at 10 million ha, down from 12 million ha in 2010–2015.

Forests face many disturbances that can adversely affect their health and vitality and reduce their ability to provide a full range of goods and ecosystem services.
About 98 million ha of forest were affected by fire in 2015*; this was mainly in the tropical domain, where fire burned about 4 percent of the total forest area in that year. More than two-thirds of the total forest area affected was in Africa and South America.
Insects, diseases and severe weather events damaged about 40 million ha of forests in 2015, mainly in the temperate and boreal domains.

There is an estimated 726 million ha of forest in protected areas worldwide. The area of forest in protected areas globally has increased by 191 million ha since 1990. South America has the highest share of forests in protected areas, at 31 percent.
Most of the forests in Europe have management plans; on the other hand, management plans exist for less than 25 percent of forests in Africa and less than 20 percent in South America.
The area of forest under management plans is increasing in all regions – globally, it has increased by 233 million ha since 2000, reaching 2.05 billion ha in 2020.

Seventy-three percent of the world’s forests is under public ownership,* 22 percent is privately owned, and the ownership of the remainder is categorized as either ‘unknown’ or ‘other’ (mainly comprising forests where ownership is disputed or in transition). 
Public ownership is predominant in all world regions and most subregions. Of the regions, Oceania, North and Central America and South America have the highest proportions of private forests.

Globally, the share of publicly owned forests has decreased since 1990 and the area of forest under private ownership has increased.
An estimated 399 million ha of forest is designated primarily for the protection of soil and water, an increase of 119 million ha since 1990. The rate of increase in the area of forest allocated for this purpose has grown over the entire period but especially in the last ten years.
About ten percent of the world’s forests is allocated for biodiversity conservation 

Globally, 424 million ha of forest is designated primarily for biodiversity conservation. In total, 111 million ha has been so designated since 1990, of which the largest part was allocated between 2000 and 2010. 
The rate of increase in the area of forest designated primarily for biodiversity conservation has slowed in the last ten years.

About 30 percent of all forests is used primarily for production
Globally, about 1.15 billion ha of forest is managed primarily for the production of wood and non-wood forest products. In addition, 749 million ha is designated for multiple use, which often includes production. 

Worldwide, the area of forest designated primarily for production has remained relatively stable but the area of multiple-use forest has decreased by about 71 million ha since 1990. 

More than 180 million ha of forest is used mainly for social services
An area of 186 million ha of forest worldwide is allocated for social services such as recreation, tourism, education research and the conservation of cultural and spiritual sites. The area designated for this forest use has increased at a rate of 186 000 ha per year since 2010.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"United Nations Convention to Combat Desertification";"2020-12-31";"en";"deforestation;forestry";"Forest Landscape Restoration;Forest Tenure;Land, Climate Change & Environment";"001";"Journal Articles & Books";"https://library.unccd.int/Details/fullCatalogue/1481";"http://catalogue.unccd.int/1481_Global_forest_resources_assessment_FAO_2020_CA8753EN.pdf";"";"";"";"16";"";""
