ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID
uneca:10855/17906;Method of survey suitable for registration purposes;;"It is universally recognized that Registration of Title is superior

to the other, systems mainly.because the method of recording used In Registration of Title does not depend so much on documents and human beings which are; subject to movement;,and mistaken identity, as on the parcels of:land affected, which are immovable, indestructible and precisely definable.";;"United Nations Economic Commission for Africa;United Nations Economic and Social Council";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;1970-10-31;en;"land policies;land rights;cadastres;land use;land registration";;"002;GBR";Conference Papers & Reports;https://repository.uneca.org/handle/10855/17906;http://repository.uneca.org/rest/bitstreams/24052/retrieve;http://repository.uneca.org/rest/bitstreams/63857/retrieve;;;8;;
uneca:10855/32602;Drafting workshop sets out the pan-African framework and guidelines for effective land policy making;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2008-09-30;en;"land policies;land;land administration;land use";;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/32602;;;;;2;;
uneca:10855/18676;Atéliers consultatifs régionaux sur les politiques foncières en Afrique: principales conclusions et recommandations;;Les questions foncières constituent des préoccupations croissantes pour les  gouvernements,  le  secteur  privé,  les  organisations  paysannes  et  la  société civile  en  Afrique  centrale.  Il  en  est  de  même  pour  les  partenaires  au  développement intervenant dans cette région. L’exigence de promotion d’une utilisation durable des importantes ressources forestières, les besoins de garantie des investissements privés tant nationaux qu’étrangers ou la nécessité de gérer les conséquences des déplacements forcés de populations liées aux conflits armés dans la région justifient entre autres considérations, le nouvel intérêt des Etats d’Afrique centrale pour l’élaboration et la mise en oeuvre de réformes foncières.;;"African Union;United Nations Economic Commission for Africa;African Development Bank";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2011-02-28;fr;"land policies;land administration";;002;Reports & Research;https://repository.uneca.org/handle/10855/18676;http://repository.uneca.org/rest/bitstreams/82161/retrieve;http://repository.uneca.org/rest/bitstreams/84403/retrieve;;;50;;
uneca:10855/17908;Objects and purposes of land registration;;This paper focused on land registration. The distribution and use of land are of vital importance, and it is not surprising, therefore, that land records are a matter of great concern in most countries.;Simpson S. R;United Nations Economic and Social Council;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;1970-10-31;en;"land;cadastres;land economics;land administration;land registration";;"002;GBR";Conference Papers & Reports;https://repository.uneca.org/handle/10855/17908;http://repository.uneca.org/rest/bitstreams/33808/retrieve;http://repository.uneca.org/rest/bitstreams/49678/retrieve;;;19;;
uneca:10855/17909;Report on Cadastral surveys in Morocco;;Property in Morocco is daily increasing considerably in value, and the particularly rapid urban development and agricultural changes have altered the scale of values which could hitherto serve as a basis for estimating-areas in connection with the cost of topographical surveys.;;"United Nations Economic Commission for Africa;United Nations Economic and Social Council";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;1970-09-30;en;"land policies;land use planning;rural population;land use;urban population;land law;urban areas";Urban Tenure;MAR;Conference Papers & Reports;https://repository.uneca.org/handle/10855/17909;http://repository.uneca.org/rest/bitstreams/24058/retrieve;http://repository.uneca.org/rest/bitstreams/58864/retrieve;;;13;;
uneca:10855/13110;Survey of the development of chemical fertilizers in North Africa;;;;"United Nations Economic Commission for Africa;United Nations Economic and Social Council";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;1969-01-31;en;"development;farming systems";;"002;015";;https://repository.uneca.org/handle/10855/13110;;;;;120;;
uneca:10855/23627;Déclaration sur les problèmes et enjeux fonciers en Afrique;;La déclaration faite sur les problèmes et enjeux fonciers en Afrique réaffirme les engagements pris pour éradiquer la pauvreté en vue d’améliorer le niveau de vie et le bien-être de populations et reconnait l’importance cruciale de la terre dans la croissance socio-économique et le développement durable, et dans la sécurité des moyens de subsistance sociaux, économiques et cultures de populations.;;"African Union;United Nations Economic Commission for Africa";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2016-12-31;fr;"land policies;land law;land use;land governance;urban areas";Urban Tenure;002;Policy Papers & Briefs;https://repository.uneca.org/handle/10855/23627;http://repository.uneca.org/rest/bitstreams/80764/retrieve;http://repository.uneca.org/rest/bitstreams/81300/retrieve;;;4;;
uneca:10855/36910;African civil society:  strong advocacy agenda on land issues;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2016-04-30;en;"land policies;land;natural resources management;land rights;advocacy;land tenure";;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/36910;;;;;1;;
uneca:10855/36911;La société civile africaine:  un fort agenda de plaidoyer sur les questions foncières;;;;Nations Unies. Commission économique pour l'Afrique;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2016-04-30;fr;land tenure;;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/36911;;;;;2;;
uneca:10855/31822;Talking land governance and partnerships;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2014-04-30;en;"land policies;land;rural development;land governance;land administration";;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/31822;;;;;2;;
uneca:10855/31825;Experts from Niger analyze best practices in land development;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2014-04-30;en;"development;land;natural resources management;land use;land administration";;NGA;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/31825;;;;;2;;
uneca:10855/35994;ECA, Germany and World Bank to launch new network of excellence on land governance;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2015-07-31;en;"land policies;land;land governance;land rights;land tenure";;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/35994;;;;;2;;
uneca:10855/11404;Report on measures to be taken to improve basic statistics on women in agriculture in Africa;;In Africa, agriculture is the most important sector in national economies. About 80 per cent of the active population works in agriculture. Further, apart from few exceptions, agriculture makes up more than 50 percent of gross national product. Nevertheless, Africa remains the only region in the world in which agricultural production declined between 1970 and 1980, when the growth rate was less than 2 per cent and moreover the gross national product (GNP) per head is one of the lowest in the world. Over the present decade, in spite of efforts by African governments, the situation seems hardly to have improved 1/ and the medium-term prospects are most gloomy. According to the FAO report, inr-1988 locusts continued to plague several African countries, particularly in the Sahelian zone and in several countries of the Maghreb and some experts estimate that the situation is not likely to improve in the next 10 years, given the available control measures and the speed of reproduction of the locust. To this must be added natural calamities, such as floods (the Sudan) or civil wars which is a serious impediment to agricultural production in several countries of the continent.;;"United Nations Economic Commission for Africa;United Nations Economic and Social Council";United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;1989-03-31;en;"farmers;farming systems;agricultural and rural legislation;agriculture;women";Land & Gender;002;Reports & Research;https://repository.uneca.org/handle/10855/11404;http://repository.uneca.org/rest/bitstreams/10098/retrieve;http://repository.uneca.org/rest/bitstreams/61529/retrieve;;;10;;
uneca:10855/39531;Regional workshop on securing community land rights set for Accra;;;;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;United Nations Economic Commission for Africa;2017-07-31;en;"land policies;land;community land rights;land rights;land tenure";Indigenous & Community Land Rights;002;Institutional & Promotional Materials;https://repository.uneca.org/handle/10855/39531;;;;;2;;
