ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
handle:10986/10165;Measuring National Income and Growth in Resource-Rich, Income-Poor Countries;;In the decade leading to the recent commodity boom, which peaked in 2007-08, several resource-rich, low-income countries displayed high rates of gross domestic product (GDP) growth while social indicators did not improve significantly. It is well known that, in itself, the widely tracked GDP may not be the most relevant summary of aggregate economic performance in all places at all times. This note suggests that for countries with significant exhaustible natural resources and important foreign-investor presence, adjusted net national income (aNNI), can usefully complement GDP to assess economic progress.;"Hamilton, Kirk
Ley, Eduardo";;World Bank Group;World Bank Group;2010-08-31;en;"agriculture;sustainable development";Socio-Economic & Institutional Context;;;"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/10165;https://openknowledge.worldbank.org/bitstream/10986/10165/1/562970WP0Box349501B01PUBLIC10EP28.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/10165/562970WP0Box349501B01PUBLIC10EP28.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/10347;Colombia : Land Policy in Transition;;Only 30 percent of land suitable for agriculture is utilized for crops (with significant regional variation). More than double the area suitable for pasture is used for livestock grazing, with negative environmental consequences. Although markets provide land access to poor and productive producers, they are not effective in transferring land from large to small producers, implying continuing concentration, driven largely by violence and displacement. Data from about 800 municipalities show that high land inequality is associated with greater expansion of livestock farming into ecologically fragile areas unsuitable for farming, and underutilization of agricultural land. This inhibits Colombia from realizing its comparative advantage in perennials and high-value-added crops, and reduces the agricultural sector's contribution to economic growth.;"Deininger, Klaus
Lavadenz, Isabel";;World Bank Group;World Bank Group;2004-10-31;en;;;;"419;COL";"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/10347;https://openknowledge.worldbank.org/bitstream/10986/10347/1/307340ENGLISH0en0breve0550CO0Land0Policy.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/10347/307340ENGLISH0en0breve0550CO0Land0Policy.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/10901;Public Land Governance in Solomon Islands;;In countries where a large proportion of the total land area is held customarily, reform questions around land and development often tend to focus on the customary estate. Evidence from Solomon Islands suggests that a focus on public land holdings, even when they are relatively small in land area, can yield outsized benefits. Publicly owned land regularly includes economically valuable land and urban land on which development pressure is high. In Solomon Islands, as much as 10 percent of Gross Domestic Product (GDP) may be affected by how effectively urban public land is governed.;Williams, Shaun;;World Bank Group;World Bank Group;2011-02-28;en;"agriculture;land administration;land management;land ownership;land reform;land tenure;landowners;leases;rural development;tenants";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";"030;009;SLB";"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/10901;https://openknowledge.worldbank.org/bitstream/10986/10901/1/600640NEWS0P111Box0358368B01PUBLIC1.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/10901/600640NEWS0P111Box0358368B01PUBLIC1.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/10932;Women, State Law and Land in Peri-Urban Settlements on Guadalcanal, Solomon Islands;;This paper provides a brief overview of the intersection of state and customary laws governing land in peri-urban settlements around Honiara, focusing on their impact upon landowners, particularly women landowners. It suggests that the intersection of customary and state legal systems allows a small number of individuals, predominantly men, to solidify their control over customary land. This has occurred to the detriment of many landowners, who have often found themselves excluded from both decision-making processes and the distribution of financial benefits from the use of land. This contributes to social conflict and undermines the legitimacy of land dealings, and as the Tensions demonstrate, can ultimately lead to violent conflict.;Monson, Rebecca;;World Bank Group;World Bank Group;2010-04-30;en;"land ownership;land rights;land tenure;landowners;property rights;urban areas;urbanization";Urban Tenure;"Land Policy & Legislation;Access to Land & Tenure Security";"030;009;SLB";"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/10932;https://openknowledge.worldbank.org/bitstream/10986/10932/1/544240Briefing1Guadalcanal1SolIslds.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/10932/544240Briefing1Guadalcanal1SolIslds.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/11757;Regulatory Frameworks for Water Resources Management : A Comparative Study;;This note contains a summary, for practitioners, of the World Bank Law, Justice, and Development Series Book Regulatory Frameworks for Water Resources Management: a comparative study (2006). It examines how the regulatory frameworks in 16 jurisdictions worldwide have addressed the various basic issues related to water resources management, provides a comparative analysis of those issues, and highlights the essential elements of the regulatory frameworks that are emerging in response. Most countries have laws or regulations (and in fewer cases constitutional clauses) relating to ownership, management, and allocation of water. These provisions are often, however, out of date, over complex, lacking in clarity, or fragmented. For the comparative analysis, regulatory frameworks for water resources management were selected from 16 jurisdictions: Armenia, Brazil, Cameroon, China, Costa Rica, European Union (EU), France, Germany, Kazakhstan, Mexico, Morocco, Nepal, Senegal, South Africa, Vietnam, and the Republic of Yemen.;"Salman, Salman M.A.
Bradlow, Daniel D.";;World Bank Group;World Bank Group;2008-06-30;en;"climate change;indigenous peoples;land use;public ownership;water rights";"Land, Climate change & Environment;Indigenous & Community Land Rights";"Land Use, Management & Investment;Access to Land & Tenure Security";;"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/11757;https://openknowledge.worldbank.org/bitstream/10986/11757/1/447310BRI0Box31LIC10PNOTE91regframe.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/11757/447310BRI0Box31LIC10PNOTE91regframe.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/11791;Notes on the Economic Evaluation of Transport Projects;;"In response to many requests for help in the application of both conventional cost benefit analysis in transport and addressing of the newer topics of interest, we have prepared a series of Economic Evaluation Notes that provide guidance on some of issues that have proven more difficult to deal with. The Economic Evaluation Notes are arranged in three groups. The first group (TRN-6 to TRN-10) provides criteria for selection a particular evaluation technique or approach; the second (TRN-11 to TRN-17) addresses the selection of values of various inputs to the evaluation, and the third (TRN-18 to TRN-26) deals with specific problematic issues in economic evaluation. The Notes are preceded by a Framework (TRN-5), that provides the context within which we use economic evaluation in the transport sector. Economic evaluation involves the assessment of the net value of projects and policies. In the transport sector we value projects in terms of their net worth, the difference between the value of their benefits and their costs, both measured so far as is possible in terms of monetary units. This disarmingly simple statement leads to many questions; evaluation by whom, for whom, from what perspective, at what stage. One of the features of transport decisions is that they typically impact on many parties - transport operators, individual transport users, local residents and businesses, land and property owners, national and local taxpayers.";"Mackie, Peter
Nellthorp, John
Laird, James";;World Bank Group;World Bank Group;2005-01-31;en;;;;;"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/11791;https://openknowledge.worldbank.org/bitstream/10986/11791/1/339260rev.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/11791/339260rev.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/12427;The Little Green Data Book 2005;;The Little Green Data Book 2005 is based on the World Development Indicators 2005, and represents an abbreviated collection of information. Its production is a collaboration between the Development Economics Data Development Group, and the Environment Department of the World Bank. Development and poverty alleviation-the World Bank's mission-call for a long-term vision. Enhancing environmental quality, improving natural resource management, and maintaining global ecosystems are all important steps toward this goal. To achieve these lasting results we need to start from a sound base of information that helps us set priorities and measure progress toward environmental sustainability goals. The Little Green Data Book is a step in this direction, with key indicators of the environment and its relationship to people for more than 200 countries. This year's edition includes new indicators for fish catch, in the agriculture and fisheries section, and biomass fuel use, in the energy section. While there are gaps and shortcomings in the data, we hope this book will inspire decision makers at all levels to use this information and to seek to fill the gaps for their own countries. This year will be remembered for the entry into force of the Kyoto Protocol. It also marked a renewed commitment by the G-8 countries to foster development in Africa. Finally, this year will witness the reconstruction efforts following the tsunami disaster in South and East Asia.;;World Bank Group;World Bank Group;World Bank Group;2005-12-31;en;"deforestation;fisheries;rural population;sustainable development;urban population;waste";"Urban Tenure;Land, Climate change & Environment;Forest Tenure;Socio-Economic & Institutional Context";Land Use, Management & Investment;;"Reports & Research;Training Resources & Tools";http://hdl.handle.net/10986/12427;https://openknowledge.worldbank.org/bitstream/10986/12423/1/34394.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/12423/34394.pdf.jpg?sequence=5&isAllowed=y;CC-BY;World Bank ;
handle:10986/12602;Building Informal Justice in Northern Kenya;;This report analyzes the conflict resolution mechanisms among pastoralist societies in northern Kenya who have a long history of conflict but were by and large not involved in recent hostilities. It is based on qualitative research data that was collected during field visits between July and November 2007 in three arid lands districts in Northern Kenya - Isiolo, Baringo/East Pokot and Garissa. Research areas were selected to gain insight into conflict and legal dynamics among a variety of ethnic groups and in differing ecological and political environments. Research tools mainly consisted of semi-structured interviews, focus group discussions and participant observation. New research tools, such as legal aid days, were piloted during the study. About 80 interviews were conducted with a broad range of individuals, ranging from formal authorities to peace committee members, NGOs, CSOs, informal authorities, women groups, youth groups and others.;Chopra, Tanja;;"World Bank Group;Legal Resources Foundation Trust";World Bank Group;2008-12-31;en;"boundaries;capacity building";;Land Use, Management & Investment;"002;KEN";"Reports & Research;Training Resources & Tools";http://hdl.handle.net/10986/12602;https://openknowledge.worldbank.org/bitstream/10986/12602/1/716910ESW0P1110ce0in0Northern0Kenya.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/12602/716910ESW0P1110ce0in0Northern0Kenya.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/13171;Gender and Agriculture : Inefficiencies, Segregation, and Low Productivity Traps;;Women make essential contributions to agriculture in developing countries, where they constitute approximately 43 percent of the agricultural labor force. However, female farmers typically have lower output per unit of land and are much less likely to be active in commercial farming than their male counterparts. These gender differences in land productivity and participation between male and female farmers are due to gender differences in access to inputs, resources, and services. In this paper, the authors review the evidence on productivity differences and access to resources. They discuss some of the reasons for these differences, such as differences in property rights, education, control over resources (e.g., land), access to inputs and services (e.g., fertilizer, extension, and credit), and social norms. Although women are less active in commercial farming and are largely excluded from contract farming, they often provide the bulk of wage labor in the nontraditional export sector. In general, gender gaps do not appear to fall systematically with growth, and they appear to rise with GDP per capita and with greater access to resources and inputs. Active policies that support women's access and participation, not just greater overall access, are essential if these gaps are to be closed. The gains in terms of greater productivity of land and overall production are likely to be large.;"Croppenstedt, Andre
Goldstein, Markus
Rosas, Nina";;World Bank Group;World Bank Group;2013-02-28;en;"agriculture;common property;farmers;land ownership;land reform;property rights;rural areas";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";;"Reports & Research;Policy Papers & Briefs";http://hdl.handle.net/10986/13171;https://openknowledge.worldbank.org/bitstream/10986/13171/1/wps6370.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/13171/wps6370.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
handle:10986/13255;City Finances of Ulaanbaatar, Mongolia;;Ulaanbaatar's (UB) population has swollen from half a million in 2001 to approximately 1.2 million in 2011, accounting for over 40 percent of the country's population. This trend is likely to continue as economic growth is increasingly concentrated in UB. With its growing population and concerns in rising inequality, the city is facing increasing pressure to maintain and expand service provision (especially infrastructure). The local tax on wages is expected to continue to provide substantial revenues to the UB government, which will assist the growing demand for services. Additionally, a new 'capital city tax' is expected to come into effect in 2013. The decision of the central government (CG) to pursue further decentralization gives greater leadership to the UB government and its districts. It also provides local broader decision-making authority as well as opportunity for citizen's participation and for the improvement of governance and transparency. Therefore, a key challenge for UB and its districts is ensuring that the local fiscal system is sound and ready to handle a greater volume of revenues to achieve sustainable and inclusive growth. The city also needs to develop a robust and transparent fiscal management system if it is to make an effective use of new revenue sources. The main objective of this study is to understand the inner workings of the municipal finance system in Ulaanbaatar and its districts.;;World Bank Group;World Bank Group;World Bank Group;2013-12-31;en;"decentralization;land use;urbanization";Urban Tenure;Land Use, Management & Investment;"030;009;MNG";"Reports & Research;Training Resources & Tools";http://hdl.handle.net/10986/13255;https://openknowledge.worldbank.org/bitstream/10986/13255/1/725140ESW0P1300s0of0Ulaanbaatar0eng.pdf;https://openknowledge.worldbank.org/bitstream/handle/10986/13255/725140ESW0P1300s0of0Ulaanbaatar0eng.pdf.jpg?sequence=4&isAllowed=y;CC-BY;World Bank ;
