ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"bridge:A28757";"Gender, households, and markets: inherited land and labour force participation of rural household in the Cordillera Region, Philippines";"";"Why does viewing a household as a single unit have serious downfalls for gender analysis' The unitary view overlooks the crucial fact that gender relations between family members play a large role in intra-household decisions about decision-making, time allocation, and expenditure. A collective model on the other hand allows household analysis to consider gender relations, with attention to women's and men's respective access to, control over, or ownership of resources. This research tests the unitary model in a farm household context, in relation to the amount of inherited land of husbands and wives. It finds that income pooling (joining of income into one pot) between male and female members of the same household is not the norm. Rather environmental factors, such as legal and customary systems of entitlements, and markets determine the distribution of resources between household members. Links were also observable between social institutions, women's land rights, married women's labour force participation and household relations. ";"L.D. Mendoza";"";"Global Development Network ";"BRIDGE";"2000-01-01";"en";"land rights;rural development;land";"Land & Gender";"Access to Land & Tenure Security";"035;PHL";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A28757";"http://www.gdnet.org/pdf/843_LORELEI.pdf";"";"";"";"";"Economy and finance;Infrastructure and services;Land rights;Rural development;Human rights and social movements;Family structures and the household"
"bridge:A52688";"What Women Do in War Time: Gender and Conflict in Africa";"";"What is the legacy of armed conflict on the roles and experiences of women in Africa? This collection of reports, testimonies and analyses portrays the diverse experiences of women all over Africa who have lived through civil wars, apartheid, genocide and gendered political violence such as rape. Contributions include discussions of violence against women in Rwanda, Chad and Liberia; the involvement of and impact on women of the South African Truth and Reconciliation Commission; and the increase in violence against women caused by the proliferation of SALW. A link is drawn between the colonial past of most African nations and the ongoing civil wars. These weak states are unable to enforce international human rights conventions that would otherwise protect women. The collection catalogues the abuses sustained by women and also outlines some of the ways in which women have mobilised, including their lobbying activities for greater involvement in the process of peace-building. ";"M. Turshen (ed)
C. Twagiramaruya (ed)";"";"Zed Books Limited";"BRIDGE";"1998-01-01";"en";"land rights;women";"Land & Gender";"Access to Land & Tenure Security";"RWA;LBR;011;013;014;017;018;TCD;029";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52688";"";"";"";"";"";"Cultural diversity;Participation and exclusion;Men and masculinities;Gender relations and power;Diversity and difference;Violence against women;Conflict, peace and security;Human rights and social movements;Domestic violence;Refugees;Sex workers;Political participation;Indigenous societies;Workers rights;Voluntary and forced migration;Governance and decision-making structures;Land rights;Marriage;Family structures and the household;Sexual violence;Ageing and older people;Widows;Female-headed households;Democratic processes;Conflict resolution;Gender-based violence;Paid work and care work"
"bridge:A52381";"Towards Gender Equality in Tanzania: A Profile on Gender Relations";"";"How are men's social identities constructed in Tanzania? How can available qualitative and quantitative data be used in such a way as to reveal the nuances of interaction between women and men there? These and other questions are addressed in this gender country profile, which resulted from a participatory methods workshop on gender and development issues in Tanzania. While focusing on gender relations, the profile also highlights women's situation per se. It emphasises vital areas identified by Tanzanian activists and areas where initiatives to transform gender relations are currently being implemented. After outlining the context within which gender relations operate in Tanzania, the profile goes on to consider gender relations and the law, focusing on customary law, in view of its importance. Subsequent sections of the profile deal with work and livelihoods, with attention to sustainable rural livelihoods, land and out-migration among other issues. The next sections address the gender dimensions of poverty in Tanzania; education, health and well-being; public life, political participation, and the media and information, with a particular focus on Tanzanian women's political empowerment and on gender budget initiatives there. The final section looks at the potential for transforming unequal gender relations and for empowering women in Tanzania, as well as at the present challenges and constraints. Case studies on Tabata women organising; widows' choices; changing male attitudes; sex work and HIV/ AIDs; the low status of women workers; internalisation of customary attitudes; gender relations in the academy; a man's view of his sexuality; and on gender power imbalance are provided. ";"B. Keller
D. Kitunga";"";"";"BRIDGE";"1999-06-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"TZA;018;014";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52381";"";"";"";"";"";"Gender mainstreaming tools and approaches;Men and masculinities;Gender relations and power;Democratic processes;Land rights;Governance and decision-making structures;Human rights and social movements;Political participation"
"bridge:A52380";"World Survey on the Role of Women in Development: Globalisation, Gender and Work";"";"This global survey examines the impact of current trends and policies on the overall social and economic situation of women. It starts by describing the main economic trends produced by globalisation: trade liberalisation; increased globalised production due to direct investment of multinational corporations; and financial liberalisation. The gender impact of those trends are then analysed in detail beginning with employment and displacement effects, including their influence on women's position within the household and the labour markets around the world. The gender dimension of the flexibilisation of labour due to a reorganisation of production, including part-time, home-based work and informal sector is also examined. The survey also explores the gender implications of privatisation on rural women's work, with a specific focus on land rights especially in sub-Saharan Africa and South Asia, as well as on the gender imbalances provoked by an increased demand for social protection and the inability of the state to provide it. The document ends with some recommendations on how to formulate gender-aware policies at international and national levels. ";"";"";"United Nations";"BRIDGE";"1999-06-01";"en";"development;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52380";"";"";"";"";"";"Labour standards;Economy and finance;Trade and industry;Land rights;Human rights and social movements;Paid work and care work;Globalisation"
"bridge:A53703";"Women and Land Rights in Ethiopia: A Comparative Study of Two Communities in Tigray and Oromiya Regional States";"";"While the majority of women in Sub-Saharan Africa and particularly Eastern Africa provide a living for their families on land, they largely do not own it. This comprises one part of a study on women and land in five countries in Eastern Africa - and was commissioned by the Eastern African Sub-Regional Support Initiative for the Advancement of Women (EASSI). This study of Tigray and Oromiya Regional States, Ethiopia, suggests that women's education is critical to improve their status and ownership of productive resources, and that communities must ensure that girls are entitled to an equal share in the family property. The report argues that any effort and initiative must be supported by laws that enable girls and women to inherit and own property. The report also shows that in environments where cultural norms do not value women, there is a need for support systems to enable women to own, and use the land they own, without constraints. ";"H. Tesfa";"";"Eastern African Sub-Regional Support Initiative for the Advancement of Women";"BRIDGE";"2002-01-01";"en";"land;land rights;land ownership;women";"Land & Gender";"Access to Land & Tenure Security";"018;ETH;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A53703";"http://www.eassi.org/uploaded_files/1075797610ethiopia_report.pdf";"";"";"";"";"Sustainable livelihoods;Allocation of resources;Poverty and quality of life;Land rights;Human rights and social movements;Natural resources and the environment;Economic empowerment"
"bridge:A37298";"Women and the right to food international law and state practice";"";"Because of their lower social and economic status, as well as physiological needs, women are often more vulnerable to nutritional problems. When it comes to sharing food resources in the home, women and girls can lose out. Indeed, the full realisation of the right to food for women depends on parallel achievements in the right to health, education, access to information and access to resources such as land. This paper analyses, from a gender perspective, the relevant international instruments on the right to food, and the rights of women, before examining implementation and monitoring at the state level. Evidence suggests that there remains a lack of clarity on women's right to food. Even in cases where the law is comprehensive on this right, women continue to suffer from discrimination. Given that the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) is the main instrument protecting women's rights, the absence in its text of a specific article on the right to food is an important omission which needs to be addressed. When it is mentioned, it is only in relation to pregnant women. This is reflected when countries invariably focus on mothers or even just children when reporting on food-related issues. In many countries the legal frameworks have been strengthened on gender equality and on the protection of the human right to food. Now what is needed are institutional mechanisms that can act as a catalyst to ensure such rights are realised for women. Those that already exist, such as national women's machineries, require strengthening. As do women's groups and organisations who play an essential role in awareness-raising and lobbying to ensure women's rights, including to food, are realised. ";"I. Rae";"";"Food and Agriculture Organization of the United Nations ";"BRIDGE";"2008-01-01";"en";"land rights;food security;women";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A37298";"http://www.fao.org/righttofood/publi08/01_GENDERpublication.pdf";"";"";"";"";"Food security;Sustainable livelihoods;Poverty and quality of life;Human rights instruments;Land rights;Human rights and social movements;Natural resources and the environment"
"bridge:A21822";"Citizenship: towards a feminist synthesis";"";"This article outlines how citizenship can be used as a political and theoretical tool by combining 'rights' and 'participation'. Participation in social, economic, cultural and political decision-making provides a more dynamic and active form of rights in which people work together to improve their quality of life. This must reflect the fact that certain types of participation such as 'informal' and/or local political participation are often those in which women take the lead, providing them with a sense of personal power. This may be achieved through an internationalist agenda which understands citizenship as broad rights and responsibilities operating in a context of democracy and accountability. Exclusion can also be countered through a 'differentiated universalism' which recognises the difference within groups, but retains a universal commitment to participation for all. Politics here can work through dialogue and accept different and changing positions - examples of the South Africa Women's National Commission, which represented a great variety of women's positions in the transition from apartheid, and women's centres in Belfast operating in the context of the Catholic/Protestant struggles, are cited.  ";"R. Lister";"";"Feminist Review";"BRIDGE";"1997-01-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"155;001;GBR";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A21822";"http://www.bridge.ids.ac.uk/docs/lister_citizensynthesis.pdf";"";"";"";"";"Formal education;Gender relations and power;Accountability;Policy change;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Economic empowerment;Labour standards;Trade and industry;Political participation;Gender mainstreaming tools and approaches;Social responsibility;Human rights instruments;Land rights;Governance and decision-making structures;Family structures and the household;Allocation of resources;Citizenship;Education and learning;Democratic processes;Poverty and quality of life;Paid work and care work"
"bridge:A52748";"CEDAW Fifth Periodic Reports of State Parties: Peru";"";"Peru's fifth submission to the United Nations Committee that monitors the implementation of the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW) outlines the status of women in Peru. The government has faced difficulties changing attitudes that discriminate against women. However, mandatory changes in Peru's education system, including the introduction of the National Sex Education Programme, are highlighted as positive steps. Other actions by the government include the establishment of numerous laws and legal instruments to protect women as well as promote and enhance their participation in public spaces and their access to socio-economic resources, particularly for rural women. A Ministry for the Advancement of Women and Human Development (PROMUDEH) was also created in October 1996, charged with ensuring that Peru is meeting its CEDAW commitments, as well as following-up with the implementation of domestic law. The report goes on to outline in considerable detail the laws that promote gender and protect women's rights, and how these have been applied in all areas of Peruvian life, including in health, employment, education and marriage. ";"";"";"United Nations";"BRIDGE";"2001-03-01";"en";"CEDAW;land rights";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"013;029;005;PER";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52748";"http://www.bayefsky.com/reports/peru_cedaw_c_per_5_2001.pdf";"";"";"";"";"Cultural diversity;Policy change;Economy and finance;Men and masculinities;Divorce;Gender relations and power;Diversity and difference;Violence against women;Infrastructure and services;Formal education;Family planning;HIV/AIDS;Health systems;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Domestic violence;Allocation of resources;Income distribution;Ageing and older people;Sex workers;Diseases and illnesses;Economic empowerment;Political participation;Literacy;Gender mainstreaming tools and approaches;Land rights;Workers rights;Sexual and reproductive health and rights (SRHR);Education policy;Governance and decision-making structures;Labour standards;Marriage;Human rights instruments;Poverty and quality of life;Health and well-being;Family structures and the household;Indigenous societies;Sexual violence;Harmful cultural practices;Health sector reform;Widows;Citizenship;Female-headed households;Primary health care;Education and learning;Democratic processes;Advocacy and advocacy tools;Life skills;Gender-based violence;Paid work and care work;Children"
"bridge:A71895";"Introduction: making change happen – citizen action and national policy reform";"";"
How has citizen action resulted in national policy change in different parts of the world?

This is the full introduction to the edited volume of the book Making Change Happen, published by Zed Books. It includes case studies, such as: Turkey, where a campaign for women’s rights led to a new penal code with thirty-five amendments for the protection of sexual rights; South Africa, where the Treatment Action Campaign led to public recognition of HIV/AIDS as an issue, and to over 60,000 people gaining access to treatment; the Philippines, where the National Campaign for Land Reform gained the redistribution of half of the country’s farmland to 3 million poor households; and Mexico, which enacted important reforms to national budget priorities and health delivery mechanisms following a campaign to reduce maternal mortality. The remaining case studies this publication examines are from India, Brazil, Morocco, and Chile.

The introduction begins by discussing the projects and case studies' backgrounds, before covering a number of different aspects of citizen action. A section on participation and national policy change looks at change from the perspectives of working with and challenging the state, and the importance of linking both sides of this equation. Spaces for collective action towards policy change, mobilising structures (actors, networks and coalitions) and strategies, and managing contentiousness are also discussed.

Next, the problem of ‘success’ is explained, with the author highlighting that many activists are increasingly realising that policy change on its own is not enough to achieve lasting and sustainable progress, and can often result in unfortunate trade-offs. There are a number of implications for current debates and practices drawn from the case studies, presented throughout the text in a number of propositions put forward by the author:


    
    Political opportunities are opened and closed through historic, dynamic and iterative processes. While political opportunities create possibilities for collective action for policy change, these openings themselves may have been created by prior mobilisation.
    



    
    Competition for formal political power is needed, in conjunction with civil society engagement in policy processes, to create new impetuses for reform, and bring key allies into positions of influence.
    



    
    Successful reform campaigns depend on careful navigation to link international pressures with differing and constantly changing local and national contexts.
    



    
    Successful policy change requires complex and highly developed mobilising structures which link national reformers to local and faith-based groups, the media, and repositories of expertise. Such structures are built over time, deeply grounded in the societies where they are found, and linked to the biographies of those who lead them.
    



    
    Alliances between social actors and champions of change inside the state are critical to make policy change happen. Social mobilisation structures can provide opportunities for state-based reformers to generate change from within.
    



    
    Policy change on contentious issues requires contentious forms of mobilisation, with the ability to frame issues carefully, adjust to changing circumstances, and draw upon a wide range of strategies.
    



    
    Robust and sustainable changes generally require campaigns that link the national to the local, and pay attention to the processes of empowering citizens and deepening democratic governance, as well as to effecting policy change itself.
    

 ";"J. Gaventa
R. McGee";"";"Zed Books";"BRIDGE";"2010-01-01";"en";"land rights;land reform";"Land & Gender";"Access to Land & Tenure Security";"MAR;PHL;ZAF;TUR;CHL;IND;MEX;BRA";"";"https://www.bridge.ids.ac.uk/ids-document/A71895";"http://r4d.dfid.gov.uk/PDF/Outputs/CentreOnCitizenship/1052734655-gaventa_etal.2010-making.pdf";"";"";"";"";"Empowerment;Policy change;Gender mainstreaming tools and approaches;Social responsibility;Womens rights;Human rights and social movements;Social movements;Democratic processes;Accountability;Land rights;Participatory approaches;Governance and decision-making structures;Advocacy and advocacy tools;Participation and exclusion;Information rights;Civil society;Legislative change;Political participation;Gender relations and power;Childrens rights"
"bridge:A53901";"Access to Land in Post-Apartheid South Africa: Implications for the South African Black Woman";"";"Indigenous land tenure arrangements in South Africa have generally consisted of communal ownership. In this system, who benefited from the land depended on their status as family or clan head. The colonial regime dispossessed Africans of land in favour of European arrivals, or defined family property as ancestral property in which the senior males of the head family were taken as the owners with the rights to inherit. The post-apartheid government conceptualised acess to land for the previously disadvantaged as a human right. However, in practice, it remained tolerant of (distorted) customary law which privileged male access to land. In 2005 the case in the Constitutional Court Bhe v Magistrate revolutionised the law by rejecting customs which discriminated against black women's inheritance rights. This decision is likely to have a positive impact on black women's capacity to own land. ";"M. A. Yanou";"";"Council for the Development of Social Science Research in Africa";"BRIDGE";"2006-01-01";"en";"land rights;land";"Land & Gender";"Access to Land & Tenure Security";"ZAF;018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A53901";"http://www.codesria.org/Links/Publications/bulletin1_06/page61-62-yanou.pdf";"";"";"";"";"Cultural diversity;Diversity and difference;Sustainable livelihoods;Allocation of resources;Poverty and quality of life;Land rights;Human rights and social movements;Economic empowerment;Indigenous societies"
