ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;
eldis:A65576;Climate change, water conflicts and human security;;"This report presents a comprehensive regional assessment of the Mediterranean, Middle East, and Sahel in terms of climate change impacts, vulnerabilities, conflict/cooperation and human security at various scales and in a variety of contexts. The Climate Change, Hydro Conflicts and Human Security (CLICO) project builds on interdisciplinary and cross-comparative research covering a variety of geographical scales and historical contexts to unravel social, political, environmental/ ecological and economic conditions in relation to the environment.
 ";"J. Kloos
N. Gebert
T. Rosenfeld
F. Renaud";;United Nations University Institute for Environment and Human Security;eldis;01/01/2013;en;climate change;Land, Climate change & Environment;;"BFA;145;MRT;GMB;MLI;015;SSD;SEN;NER;ERI";;http://www.eldis.org/document/A65576;http://www.ehs.unu.edu/file/download/11351.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.ehs.unu.edu%2Ffile%2Fdownload%2F11351.pdf;;;;"Water in climate change;Livelihoods conflict and disasters;Climate and Development Knowledge Network;Climate change;CDKN;Source;climate change conflicts;Livelihoods;Natural resource management;Funder;water conflicts;Bookmarklet"
eldis:A65575;Pastoralists and wildlife conservation in western China: collaborative management within protected areas on the Tibetan Plateau;;"Background Pastoralists have long inhabited vast areas of western China, including the Tibetan Plateau region. Their traditional land use practices and cultural conservation ethic have helped to protect the natural resource base upon which they depend and the wildlife that co-exist with them in the grassland landscapes. However, in a rapidly changing socio-economic environment, including significant expansion of the protected area system and regional comprehensive development plans, local communities do not always have an evident voice in the conservation and development dialogues that closely affect their lives.

With introduction and development of collaborative management - that is, a partnership between local communities, nature reserve authorities and other stakeholders - a landscape-level approach to conservation is now being modelled in Qinghai Province. Central to effective co-management are bi-directional relationships. There are also a wealth of direct and indirect services that may be provided by pastoralists under co-management, and in the compensation and payment options available to them in return for their critical services.

As this paper concludes, the contributions of pastoralists to wildlife conservation efforts are significant, but up to now insufficiently recognised. New insights regarding the relationship between pastoralists and wildlife conservation - including the potential role of community ecotourism, the development of local herders' cooperatives and of trust funds, and the need for greater clarity in local regulatory frameworks - are provided herein, with presentation of specific experiences and lessons learned from a project piloted in the headwaters of the Yangtze River over the past decade. A fuller, richer model of co-management is recommended.
 ";M. Foggin;;;eldis;01/01/2012;en;"pastoralists;protected areas;area;nature reserves;environment";"Land, Climate change & Environment;Rangelands, Drylands & Pastoralism;Land Stakeholders & Institutions";Land Use, Management & Investment;"030;009;CHN";;http://www.eldis.org/document/A65575;http://www.pastoralismjournal.com/content/2/1/17;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.pastoralismjournal.com%2Fcontent%2F2%2F1%2F17;;;;"Tibetan herders;wildlife conservation;Biodiversity and environment;Western China;Agriculture and food;Source;co-management;Pastoralism;Bookmarklet;Environment;Tibet;nature reserves;Landscape conservation"
eldis:A10592;Fighting disaster: reducing risk in cities;;How can links between disaster mitigation and urban planning be strengthened? Can urban livelihood strategies reduce poor city dwellers’ vulnerability to disaster? Scant attention is currently paid by relief organisations to urban planning and disaster mitigation, according to a recent Care International report. ;David Sanderson;;id21 Development Research Reporting Service;eldis;01/01/2002;en;urban planning;Urban Tenure;Land Use, Management & Investment;"IND;TUR;145;015;034";;http://www.eldis.org/document/A10592;http://www.id21.org/society/s3ads1g1.html;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.id21.org%2Fsociety%2Fs3ads1g1.html;;;;"disaster mitigation;urbanisation;Urban governance;urban development Venezuela;Urban planning;Governance;urban planning;Urban management;tsunamimanual;Livelihoods;disaster management;cities;urban development"
eldis:A70571;Environmental livelihood security in Southeast Asia and Oceania: a water-energy-food-livelihoods nexus approach for spatially assessing change;;"This document addresses the need for explicit inclusion of livelihoods within the environment nexus (water-energy-food security). The authors present a conceptualisation of ‘environmental livelihood security’, which combines the nexus perspective with sustainable livelihoods. The geographical focus of this paper is Southeast Asia and Oceania, which the authors highlight is a region currently wrought by the impacts of a changing climate. Climate change is the primary external forcing mechanism on the environmental livelihood security of communities in Southeast Asia and Oceania which, therefore, forms the applied crux of this paper. The paper provides a primer for using geospatial information to develop a spatial framework to enable geographical assessment of environmental livelihood security across the region. It concludes by linking the value of this research to ongoing sustainable development discussions, and for influencing policy agendas.
 ";"E.M. Biggs
B. Boruff
E. Bruce";;International Water Management Institute ;eldis;01/01/2014;en;"food security;sustainable development;climate change;environment;natural disasters;farmland;assessment";"Land, Climate change & Environment;Socio-Economic & Institutional Context;Land & Food Security";Land Use, Management & Investment;"030;009";;http://www.eldis.org/document/A70571;http://www.iwmi.cgiar.org/Publications/Other/PDF/environmental_livelihood_security_in_southeast_asia_and_oceania.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.iwmi.cgiar.org%2FPublications%2FOther%2FPDF%2Fenvironmental_livelihood_security_in_southeast_asia_and_oceania.pdf;;;;"Content partner summary;International Water Management Institute;Water in climate change;Livelihoods food security;International Water Management Institute ;cyclones;Remote sensing;community management;urbanisation;energy;Biodiversity and environment;sociocultural environment;CDKN;Climate change gender;Environment;Source;natural disasters;Food security;environmental management;Livelihoods;sustainable livelihoods;Ecological factors;political aspects;precipitation;water-energy-food nexus;water security;Climate change;farmland;monitoring;temperature;Environment and water;environmental sustainability;energy conservation;Bookmarklet;sustainable development;Living standards;Urban areas cities and climate change;Funder;Climate change agriculture and food security;Environment and natural resource management;assessment;institutions"
eldis:A70574;Planting the foundations of a post-2020 land sector reporting and accounting framework;;"This paper presents possible elements of a long-term international vision for land sector reporting and accounting. The vision is of a multi-dimensional land sector reporting and accounting framework that is applicable to all countries and increases in comprehensiveness over time. The overarching objective of the framework is to build trust between Parties to the United Nations Framework Convention on Climate Change (UNFCCC) by tracking progress in implementation of mitigation contributions in the land sector. The paper argues that two of the most important dimensions could be the coverage of accounting for key sources and sinks and the quality and accuracy of data used for accounting. It outlines possible short-term steps for COP 20, COP 21 and 2016-2020 that could put Parties on a pathway towards realising the long-term vision.
 ";"G. Briner
S. Konrad";;Organisation for Economic Co-operation and Development ;eldis;14/11/2014;en;"climate change;land";Land, Climate change & Environment;;;;http://www.eldis.org/document/A70574;http://www.oecd.org/env/cc/(2014)6%20Planting%20the%20Foundations.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.oecd.org%2Fenv%2Fcc%2F%282014%296%2520Planting%2520the%2520Foundations.pdf;;;;"Land issues;Source;Climate change;International climate change negotiations;CDKN;Agriculture and food;United Nations Framework Convention on Climate Change;Climate change mitigation;Climate and Development Knowledge Network;Funder;Bookmarklet"
eldis:A39518;Financing sustainable forest management;;"Despite the adoption of many international agreements over the last decades, degradation of forests and deforestation has continued. Since this is largely due to the market's failure to account for forests' multifunctionality, this issue argues that a new, holistic approach is necessary to ensure sustainable forest management (SFM) is adequately supported and financed. Against this background, 35 articles explore the role of:

    multilateral conventions, agreements and organisations (such as UNFF, UNCCD, UNFCCC, and ITTO)
    international non-government organisations such as WWF, CIFOR and the Global Forest Coalition
    governance, institutions and financing in making SFM a viable alternative to other forest uses
    capital markets in enhancing forest investment
    payment for ecosystem/environmental services (PES) schemes in bridging the gap between payment and the unrecognised demand for environmental goods
    forests in climate change mitigation and energy generation (as underlined by the Reducing Emissions from Deforestation and Forest Degradation programme).

It is argued that forest financing should support three objectives: 

    forest conservation and sustainable use
    maintenance of ecosystem services
    fair and equitable sharing of benefits 

The articles discuss that to stop deforestation and forest degradation it will be important to take a number of actions. Recommendations include:

    keep SFM initiatives coherent despite the recent mushrooming of international mechanisms
    support capacity-building rather than simply generating more money for SFM
    rapidly identify and expand opportunities not only to maintain the remaining forest resources, but to increase forest cover worldwide
    develop holistic financing strategies for forest sector development and underpin them by sectoral policies
    ensure good governance, i.e. the rule of law, transparency, democracy, participation and accountability
    ensure forest-land tenure is secure and well-defined
    prevent unplanned and uncoordinated changes in land use driven by factors outside of the forest sector
    make sure payment for ecosystem services (PES) schemes are pro-poor and keep transaction costs low.

 ";;;European Tropical Forest Research Network ;eldis;01/09/2008;en;"environment;deforestation;forest conservation;climate change";"Land, Climate change & Environment;Forest Tenure";Land Use, Management & Investment;;;http://www.eldis.org/document/A39518;http://www.etfrn.org/index.php?id=45;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.etfrn.org%2Findex.php%3Fid%3D45;;;;"Environment and Forestry;Environment and natural resource management;development finance;Governance;Environment;forestry assessment;Good Governance;forest investment;Ecosystem;good governance;stakeholder;Finance policy;deforestation;Climate change mitigation;multilateral organisations;financing;forestry deforestation;sustainability;Climate change;natural resource management forests;forest management;Forest conservation"
eldis:A100778;Current challenges of implementing land - use and land - cover change  in climate assessments;;Land-use and land-cover change (LULCC) represents one of the key drivers of global environmental change. However, the processes and drivers of anthropogenic land-use activity are still overly simplistically implemented in Dynamic Global Vegetation Models (DGVMs) and Earth System Models (ESMs), whose published results are used in major assessments of processes and impacts of global environmental change such as the reports of the Intergovernmental Panel on Climate Change (IPCC). In the absence of coupled models of climate, land use and biogeochemical cycles to explore land use – climate interactions across spatial scales, information on LULCC is currently provided as exogenous data from the land-use change modules of Integrated Assessment Models (IAMs) to ESMs and DGVMs, while data from dedicated land-use change models (LUCMs) are rarely considered. In this article, we discuss major uncertainties and existing shortcomings of current implementation strategies originating in both LULCC data-provider and LULCC data-user communities.The authors identify, based on literature review and the analysis of empirical and modeled LULCC data, three major challenges related to LULCC representation, which are currently not or insufficiently accounted for: (1) provision of consistent, harmonized LULCC time series spanning from historical reconstructions to future projections while accounting for uncertainties due to different land-use modeling approaches, (2) accounting for sub-grid processes and bi-directional changes (gross changes) across spatial scales and (3) the allocation strategy of LULCC at the grid cell level in ESMs and DGVMs.Based on these three challenges, the paper discusses the reasons that hamper the development of implementation strategies that sufficiently account for uncertainties in the land-use modeling process and conclude that both providers and users of LULCC data products often miss appropriate knowledge of the requirements and constraints of one another’s models, thus leading to large discrepancies between the representation of LULCC data and processes in both communities. The authors propose to focus future research on the joint development and evaluation of enhanced LULCC time series, which account for the diversity of LULCC modeling and increasingly include empirically based information about sub-grid processes and land-use transition trajectories. ;;;Earth System Dynamics;eldis;01/01/2016;en;"climate change;land;assessment";Land, Climate change & Environment;;;;http://www.eldis.org/document/A100778;http://www.earth-syst-dynam-discuss.net/esd-2016-39/esd-2016-39.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.earth-syst-dynam-discuss.net%2Fesd-2016-39%2Fesd-2016-39.pdf;CC-BY;Open - CC - Attribution (CCBY);;"Climate change Forestry;land - use harmonization;Land issues;land - climate  interaction;Agriculture and food;Earth System model;Climate change;global vegetation model;land - use  allocation;Climate and Development Knowledge Network;gross transitions"
eldis:A11269;The Kimberley Process: the case for proper monitoring;;This paper describes the outcomes of the Kimberley Process, which aims to create a certification system for rough diamonds, so excluding illicit diamonds, which fuel conflict, from the global diamond trade.The author focuses on the provisions the process has made for monitoring certified diamonds. He provides an overview of the monitoring provisions of the Kimberley Process as agreed at its March 2002 Ottawa meeting. The paper compares these with the monitoring provisions in other international agreements, and rates them against the problems the Kimberley Process aims to resolve, arguing that much stronger measures will be required if the agreement is to be credible and effective.The document contains a proposal for ‘essential elements’ of an effective and credible Kimberley process monitoring system. And it concludes that if such a system is not adopted, the Kimberley Process will create a false sense of security, allowing conflict diamonds to continue entering the system, ultimately placing the entire diamond industry at risk. [adapted from author] ;I. Smillie;;Partnership Africa Canada ;eldis;01/01/2002;en;extractive industries;;;;;http://www.eldis.org/document/A11269;http://www.pacweb.org/e/pdf/KP%20Monitoring.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.pacweb.org%2Fe%2Fpdf%2FKP%2520Monitoring.pdf;;;;"Corporate Social Responsibility;Extractive industries diamonds;Extractive industries;Trade Policy;Certification schemes;conflict diamonds;extractive;Monitoring of certified products;Eco-labelling"
eldis:A39514;Land and decentralisation in Senegal;;"Land and decentralisation policies in Senegal have been closely linked since the country became independent in 1960. Although local governments manage public lands and participate in the management of special areas, the actual degree popular participation in land and decentralisation policies occurs strongly depends on the rights granted to local communities and governments and the available human and financial resources. This paper explores these issues and discusses their effect on decentralisation and land management in Senegal.
 
    The authors explore local authorities' representativeness as well as the human and financial resources available to them. They highlight three points: decentralisation policies should be intensified to foster sustainable local government; infrastructure, public services and support for economic activities are needed and; the translation of legislative advances into action has been too slow.
     
        The security of land tenure in rural areas remains insufficient despite the national land law of 1964. This situation - which undermines the necessary modernisation of rural Senegal - is due to several factors: 
        
            political authorities and administrations have been slow in translating legislation into action
            farmers have never accepted the abolition of their customary rights
            neither the State nor local governments have sufficient human or financial resources to apply the law
            rural councils are unable to manage national land in a sustainable manner
            there is a growing number of illegal land sales and rentals 
        
        Attempts to reform land rights have also failed due to the State's refusal to recognise the social nature of land policy and to include stakeholders in the decision making process. The authors recommend that any successful land policy should: 
        
            reverse the fragmentation of family farms
            give local governments the human and financial resources they require to manage land and natural resources sustainably
            address problems associated with urbanisation
            open rural land to economic use by the growing urban population
            balance the ensuing loss of land for the rural population by an inflow of financial capital to rural areas 
         ";J. Faye;;Drylands Programme, IIED;eldis;01/05/2008;en;"environment;rural population;land rights;land";Land, Climate change & Environment;Access to Land & Tenure Security;SEN;;http://www.eldis.org/document/A39514;http://www.iied.org/pubs/pdfs/12550IIED.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.iied.org%2Fpubs%2Fpdfs%2F12550IIED.pdf;;;;"Agricultural biodiversity and natural resource management;Agriculture and food;human resources;Environment and natural resource management;rural population;stakeholder;Agriculture institutions and policy processes;Soil and land management;decentralisation;Environment;Senegal;land rights;national land law;Governance;security of tenure;popular participation;Decentralisation & Local Governance;Decentralisation;local government;Local governance"
eldis:A62358;GRAIN — Squeezing Africa dry: behind every land grab is a water grab;;Food cannot be grown without water. In Africa, one in three people endure water scarcity and climate change will make things worse. Building on Africa’s highly sophisticated indigenous water management systems could help resolve this growing crisis, but these very systems are being destroyed by large-scale land grabs amidst claims that Africa's water is abundant, under-utilised and ready to be harnessed for export-oriented agriculture. GRAIN looks behind the current scramble for land in Africa to reveal a global struggle for what is increasingly seen as a commodity more precious than gold or oil - water. ;;;GRAIN;eldis;01/01/2012;en;"land;climate change;research;environment;food security";"Land, Climate change & Environment;Land & Food Security";;"ETH;MLI;CMR;202";;http://www.eldis.org/document/A62358;http://www.grain.org/article/entries/4516-squeezing-africa-dry-behind-every-land-grab-is-a-water-grab.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.grain.org%2Farticle%2Fentries%2F4516-squeezing-africa-dry-behind-every-land-grab-is-a-water-grab.pdf;;;;"Environment;author:GRAIN;theme:water;Climate change;Water in climate change;research;Agriculture and food;Food security;tfmimport;Environment and water"
