id,Title,Subtitle,Abstract/Description,Link to the publication,Link to the original website,Publication date,Authors,Corporate authors,Publishers,Data provider,Languages,Resource types,Geographical focus,Related Concepts,Themes,Thumbnail,potential_list
,A handbook on urban land markets for Africa,Piecing together an economic puzzle,"The handbook introduces key economic and related concepts explaining the functioning of urban land markets. By introducing key classical economic concepts, the handbook provides foundational economic terms that are often referred to in relation to urban land markets. In doing this, we do not imply that African land markets should or ought to 'fit' into neo-classical economic theories, nor do we propose that 'perfect' markets exist. Rather, we hope to provide the tools for engaging in a critical analysis of conventional economics, particularly in our understanding of African urban land markets. ",https://www.ukesa.info/download/IMWSD0NxLXQa7noF52ErewuPA13ciTlU/handbook_aulm_2010.pdf,https://www.ukesa.info/library/view/a-handbook-on-urban-land-markets-for-africa2,2010-10-01,"Caroline Wanjiku Kihato
Lucille Gavera",,,Urban Knowledge Exchange,en,Manuals & Guidelines,Zimbabwe;Zambia;South Africa;Malawi;Lesotho;Botswana,land;land markets;urban areas;research,Land & Investments;Urban Tenure,https://www.ukesa.info/images/BHYTgFC5s4kNQLih2Onq81XPwr3U96Wz_details/ULMHandbookCover.JPG,Built environment;Human settlements;Land
,A long way home,Following 26 years of core housing consolidation and the struggle to achieve a sense of dignity,"This working paper by Tikvah Breimer previously of the Institute for Housing and Urban Development Studies (IHS) and Mark Napier previously of Urban LandMark, analyses the provision of core housing in Khayelitsha, Cape Town, specifically taking into account the residents' response to the state's delivery of core housing. It aims to explore to what extent the South African government's approach to providing large-scale housing addresses the relevant demands in the context of rapid urbanisation.",https://www.ukesa.info/download/24HUqSwFturlLZTKI8gQREesjBo6zYMd/Breimer_Napier_2013_ULM_working_paper.pdf,https://www.ukesa.info/library/view/a-long-way-home,2013-01-01,"Mark Napier
Tikvah Breimer",,,Urban Knowledge Exchange,en,Policy Papers & Briefs,South Africa,land;housing rights;informal settlements;urbanization;land use planning;urban population;urban areas,Urban Tenure,https://www.ukesa.info/images/WeZz7ULRDXrnhmqpPocvkyxfNEFHa4VK_details/Tikvah_Napier_cover_b.jpg,Built environment;Construction;Finance;Human settlements;Land
,Access to land in poorer parts of towns and cities,,"This case study draws on research into some of the processes through which people access, hold, and trade land in poorer areas of towns and cities. The research was commissioned by Urban LandMark and undertaken by the Isandla Institute, Stephen Berrisford Consulting and Progressus Research and Development. ",https://www.ukesa.info/download/QHGsfBX90U6PLwVilSrKYMedDmvbu4Jc/ULM_2010_Access_to_land_in_poorer_parts.pdf,https://www.ukesa.info/library/view/access-to-land-in-poorer-parts,2010-01-01,"Alistair Clacherty
Colin Marx
Ros Gordon
Warren Smit",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;research;land access;land transfers;poverty;urban areas;informal settlements;slums;security of tenure (land),Urban Tenure,https://www.ukesa.info/images/ihgzReOL6tAQSyWZmaX40C8nKE2IJUFj_details/ULM_2010_Acess_to_land_in_poorer_parts_cover.png,Human settlements;Land
,Angola and informal land tenure arrangements,Towards an inclusive land policy,"This case study draws on research that investigated the extensive informal land market in Luanda, Angola. It examines how urban land is transacted and the mechanisms by which it is secured and regulated. The case study is based on research undertaken by ",https://www.ukesa.info/download/DSwpqgLf0KOdeCV8lEoXIjs3tc9zWivP/ULM_2013_Angola_and_informal_land_tenure_arrangements.pdf,https://www.ukesa.info/library/view/angola-and-informal-land-tenure-arrangements,2013-01-01,"A Cain
A Clacherty
Development Workshop",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,Angola,land;land tenure;urban areas;informal property;customary land rights,Urban Tenure,https://www.ukesa.info/images/mr4RYdgu3W62Uzko8OsicZBt0NMCpE15_details/ULM_2013_Angola_and_informal_land_tenure_arrangements_cover.png,Human settlements;Land
,Assessment of spatial data infrastructures,,"A Spatial Data Infrastructure (SDI) is an evolving concept, essentially consisting of policies, institutional arrangements, Geographical Information Systems (GISs), data bases, networks, Web services and portals to facilitate and coordinate the availability, exchange and sharing of geospatial data and services between stakeholders from different levels. This article aims to provide some information on the role and value of SDIs and their potential relationship with, and contribution to other geospatial and evidence-based tools and technologies within the South African planning context and system. For this, it provides a brief overview and comparison of the key characteristics of the SDIs in South Africa, China, Brazil, Australia and India. The article highlights some of the complexities and use of an SDI and the value of, and need for an SDI to support the spatial and land development planning envisaged in the Spatial Planning and Land Use Management Act (SPLUMA).",https://www.ukesa.info/download/02rsinfTahQepXtEZA841NdCSF5xzuBJ/Cooper-et-al-Assessment-of-spatial-data-infrastructures-TRP-137635.pdf,https://www.ukesa.info/library/view/assessment-of-spatial-data-infrastructures,2014-12-12,"Antony K Cooper
Elsona van Huyssteen
Gerbrand Mans
Maria Coetzee
Sonali Das",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa;India;China;Brazil;Australia,assessment;land;urban planning,Urban Tenure,https://www.ukesa.info/images/pgPIfltoEAk6cazeQWhXs804R5Gy2mur_details/Cooper_et_al.JPG,Built environment;Human settlements;ICT;Land;Transport
,BRICS CITIES,Facts and Analysis 2016,"This compendium and analysis of Cities in the BRICS countries were developed through a partnership between the South African Cities Network (SACN) and the South African Research Chair in Spatial Analysis and City Planning (SA&CP) at the University of the Witwatersrand. Since South Africa joined BRICS in 2010, multiple connections have been forged between South Africa and its alliance partners. However, although there is a growing volume of engagements, there is still inadequate knowledge and understanding across the BRICS. There is a common understanding, for example, that BRICS countries share a range of challenges and possibilities in relation to urbanisation and urban growth; but real knowledge of each other's urban contexts remains sparse.",http://www.sacities.net/wp-content/uploads/2017/02/BRICS_cities_2016-final_owres.pdf,https://www.ukesa.info/library/view/brics-cities,2016-09-01,"Bradley Peens
Dr Alex Parker
Dr Margot Rubin
Dr Yan Yang
Karen Harrison
Olga Koma
Prof Philip Harrison
Sergio Veloso",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa;Russian Federation;India;China;Brazil,land;urban areas;research;urbanization;urban population;land use planning,Urban Tenure,https://www.ukesa.info/images/zibcEex1WZspaXBvFUAmlkRtPYyw2L46_details/Screen-Shot-2019-06-07-at-10.07.20.png,Built environment;Energy;Health;Human settlements;Land;Transport;Water and sanitation
,Co-existing urban land use management practices,,"This case study draws on research that investigated how urban land is claimed, used or divided and the various land use management (LUM) practices that exist around these various and sometimes competing land uses. This case study is based on a research study undertaken by Colin Marx and Margot Rubin with Progressus Research and Development, commissioned by Urban LandMark. An introduction to the case study is given below. You can do these activities on your own or in groups, as appropriate for your learning session. Look at the activities before you begin so you know what to look out for during your reading. The next part of the document presents people’s stories (real names are not given) that reflect how multiple land use management practices co-exist. The final component of this document includes a summary of key issues that were covered in the case study and recommendations arising from it.",https://www.ukesa.info/download/Zx1hHyXbsDYmACzGr5MgBEQJocl3V07a/ULM_2010_coexisting_urban_land_use.pdf,https://www.ukesa.info/library/view/co-existing-urban-land-use,2010-01-01,"Alistair Clacherty
Colin Marx
Margot Rubin",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;land use;urban areas;land use planning;research;land management,Urban Tenure,https://www.ukesa.info/images/Ab6nmMrZqVJhwvlHj8dEafc7OpzkTUYu_details/ULM_2010_coexisting_urban_land_use.png,Land
,Formal residential markets in urban areas,,This case study draws on research that examined the formal urban housing market in South Africa. The research study was carried out by ,https://www.ukesa.info/download/rBG6i5WOPlz7o1kfFCALmpYhsRe3XUSE/ULM_2011_formal_residential_markets_in_urban_areas.pdf,https://www.ukesa.info/library/view/formal-residential-markets,2011-01-01,"A Clacherty
F Viruly
M Erasmus
M Tomlinson
P Zille
T Hobden",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,area;land;urban areas;housing rights,Urban Tenure,https://www.ukesa.info/images/ipxZwe3yMKYXhnskg5dmo7f6CV1HE8BQ_details/ULM_2011_formal_residential_markets_in_urban_areas_cover.png,Human settlements;Land
,Guidelines for the identification of well-located land for human settlements,,This guide has been written as the first step towards concretising and standardising the process involved in the identification and assessment of well-located land for human settlement. The ,https://www.ukesa.info/download/DYCjunbghslXyoRpi6KMwN5Ix0OqAFB8/Guidelines-on-the-identification-of-well-located-land.pdf,https://www.ukesa.info/library/view/guidelines-for-the-identification-of-well-located-land-for-human-settlements,2012-01-01,,,,Urban Knowledge Exchange,en,Manuals & Guidelines,South Africa,land;housing rights;land rights;research,Urban Tenure,https://www.ukesa.info/images/9qY1Um2SEOnLiDfK8VMlkboWyuGP34gZ_details/GuidelinesWLL_HDA_cover.JPG,Human settlements;Land
,Improving access to the city through value capture,An overview of capturing and allocating value created through the development of transport infrastructure in South Africa,"Cities attribute much of their economic expansion to the development of transit systems that link people efficiently to jobs. However, many of South Africa's cities lack modern mass transit systems for transporting commuters. Partly as a result, South Africans, especially low-income workers, spend a high share of their disposable income on transport.",https://www.ukesa.info/download/l6we3vnYc4bUNEKHaf8xIG9djoA72CiV/ULM_Access_to_City_2012_legislation_report.pdf,https://www.ukesa.info/library/view/improving-access-to-the-city-through-value-capture2,2012-01-01,"ADEC
Alison Tshangana
BKS Engineers
Rob McGaffin",,Lucille Gavera,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;poverty;urban population,Urban Tenure,https://www.ukesa.info/images/qwurYBU0iPeNbg5J3TIGX6cMvzOFlAhm_details/ULM_Access_to_City_2012_cover.jpg,Built environment;Human settlements;Land;Transport
