ID;Title;Description;Acronym;Image;Geographical focus;Related concepts;Themes;Start date;End date;Budget Currency;Budget value;Budget value USD;website;Contact info;Staff;Donors;Implementers;Data provider
"MOD:1067";"Geographic information for environment, climate change and EU integration (LAKI II)";"The project has the general objective of increasing the capacity of ANCPI in the implementation of the EU Directive on the harmonization and sharing of geographic information domestically and internationally and will be implemented in partnership with the Norwegian Mapping Authority and Registers Iceland.

Thus, the main activities of the project comprise the production of a detailed terrain model through scanning by LIDAR system, new maps and orthophotos for approximately 50,000 km2 of Romania's surface area, the developing of a comprehensive database allowing the efficient access to information needed for specific areas, providing the necessary equipment for the safe storage and effective sharing of geographic data and capacity building for ANCPI, knowledge transfer and staff training in the production and management of specific geographical information.";"";"";"ROU";"climate change;compensation;eminent domain;eviction;expropriation;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land, Climate Change & Environment;Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2013-01-31";"2017-04-30";"USD";"10832000";"10832000";"http://www.ancpi.ro/laki2/";"Jon Arne Trollvik, Norwegian Mapping Authority, +47 9076 2974 <Jon.Arne.Trollvik@kartverket.no>";"";"Norwegian Agency for Development Cooperation";"Norwegian Mapping Authority (Kartverket)";"Global Donor Platform for Rural Development"
"MOD:1066";"Moldova Cadastre System";"Property Registration system, coooperation with the national bureau for statistics";"";"";"MDA";"compensation;customary law;customary tenure;eminent domain;eviction;expropriation;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;security of tenure (land);title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land & Investments;Indigenous & Community Land Rights";"2012-01-31";"2017-12-31";"USD";"2768000";"2768000";"";"Elena Busch, Norwegian Mapping Authority, +47 9843 5259 <elena.busch@kartverket.no>";"";"Norwegian Agency for Development Cooperation";"Norwegian Mapping Authority (Kartverket)";"Global Donor Platform for Rural Development"
"MOD:1065";"Public services for the real estate market and European integration";"Assistance with procurement of diverse hardware and software needed for establishing a modern National Spatial Data Infrastructure (NSDI)";"";"";"BIH";"climate change;compensation;eminent domain;eviction;expropriation;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land, Climate Change & Environment;Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2010-01-31";"2014-12-31";"USD";"1490000";"1490000";"";"Maria Lodin, Norwegian Mapping Authority, +47 4889 8959 <maria.lodin@kartverket.no>";"";"Norwegian Agency for Development Cooperation";"Norwegian Mapping Authority (Kartverket)";"Global Donor Platform for Rural Development"
"MOD:1064";"UNWomen: Women's Rights to Land in the Post-2015 Development Agenda: A Campaign on Gender and Land Tenure";"Women’s equal access to, use of and control over land and other productive resources are essential to ensuring gender equality and an adequate standard of living. Throughout the world, gender inequality when it comes to land and other productive resources is related to women’s poverty and exclusion. Removing inequalities requires changes in policies and more effective implementation. This project aims to contribute to these changes.

During 2015-2016 the project will organise a campaign on women's land rights and tenure. UN Women will be coordinating the project, which will bring together different organisations and actors to combine the information and evidence for the purpose of informing and influencing decision and policy makers. The aim is that when focusing at achieving sustainable development goals, there would be attention to and understanding of the impact of women's and men's equal land ownership and tenure to development. Also the project aims at promoting the systematic inclusion of equal land ownership and tenure in the activities of different organisations and actors.";"";"";"ETH";"development;land;land ownership;land rights;land tenure;poverty;sustainable development;women";"Land & Gender;Socio-Economic & Institutional Context";"2016-04-30";"2018-03-31";"USD";"163000";"163000";"";"Ms. Leena Akatama, Ministry for Foreign Affairs of Finland <leena.akatama@formin.fi>";"";"Ministry of Foreign Affairs (Finland)";"Social Institutions & Gender Index;World Bank Group;Land Portal Foundation;Food and Agriculture Organization of the United Nations (FAO);Landesa;International Food Policy Research Institute;Oxfam International;International Land Coalition;United Nations Entity for Gender Equality and the Empowerment of Women (UNWOMEN);United Nations Statistics Division;Organisation for Economic Co-operation and Development (OECD)";"Global Donor Platform for Rural Development"
"MOD:1063";"Marine Spatial Data Infrastructure (MSDI), Integrated Coastal Zone Management (ICZM) and Maritime Spatial Planning (MSP) in Zanzibar, ZAN-SDI (28235797 )";"The Overall Objective (intended long-term impact) of the Project is improved utilisation of geospatial information in spatial planning and management in Zanzibar. The Project will improve access to spatial information and thus possibilities for inter-agency cooperation and public participation in environmental and other spatial planning and management processes. Easy access to spatial information is a precondition for private sector involvement in economic development, participatory democracy, good governance (transparency), reduction of inequalities and fair sharing of benefits from natural resources, which all contribute to poverty reduction. More efficient data sharing will create savings by reducing duplication of work by various agencies. In particular, accurate coastal and marine spatial data also support the planning of adaptation to climate change, which is imperative for small islands communities like Zanzibar. The project lasts for 3 years from 2016-2018 and its budget is 719 000 €.

Results areas are:
1) Increased capacity for developing and maintaining the National Spatial Data Infrastructure (NSDI)
2) Increased capacity for ecosystem-based planning and management of coastal zones, maritime activities and the marine environment
3) Improved geospatial capacities at partner organisations";"";"";"TZA";"area;climate change;development;environment;land;poverty";"Land, Climate Change & Environment";"2010-01-31";"2015-01-31";"USD";"781000";"781000";"http://www.smole.or.tz/";"Mr. Matti Tervo, Ministry for Foreign Affairs of Finland <matti.tervo@formin.fi>";"";"Ministry of Foreign Affairs (Finland)";"Finnish Environment Institute";"Global Donor Platform for Rural Development"
"MOD:1062";"Capacity Building for Improvement in Land Administration and Procedures in Bosnia Herzegovina (CILAP)";"The “Capacity Building for Improvement of Land Administration and Procedures in Bosnia and Herzegovina” – CILAP project, is a long term project aimed to build capacity and transfer knowledge with the overall objective to increase the effectiveness and reliability of land administration processes in Bosnia and Herzegovina. From the beginning CILAP project is planned, described and approved for six (6) years period with the goal to support geodetic authorities in BH during the whole implementation period of Real Estate Registration Project (RERP), funded by World Bank loan. 

The Project contributes to expected long- term impact:
-By efficient land administration contribute to economic and social development, sustainable market and usage of real estates, and BiH accession to EU.
The expected impact will be reached if the project main goal is fulfilled, and it is:
-Confidence in Geodetic Authorities in BiH strengthened through delivering of efficient services and providing of secure and reliable information to the customers.";"";"";"BIH";"customary law;customary tenure;eviction;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land governance;land investments;land law;land markets;land ownership;land policies;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;research;security of tenure (land);state property;title deed;women";"Land & Investments;Land, Climate Change & Environment;Forest Tenure;Indigenous & Community Land Rights;Land & Gender";"2013-01-31";"2019-12-31";"USD";"6800000";"6800000";"http://www.cilap-project.org/";"Nedim Bukvic, Embassy Sweden in Sarajevo, +38733276052 <nedim.bukvic@gov.se>";"";"Swedish International Development Cooperation Agency (SIDA)";"Lantmäteriet";"Global Donor Platform for Rural Development"
"MOD:1060";"CAR III - Environmental Land Registration (BMZ/KfW)";"Establishment and standardization of environmental cadastres.";"";"";"BRA";"customary law;customary tenure;eviction;indigenous land rights;indigenous peoples;land administration;land governance;land law;land rights;land tenure systems;land use planning;legal empowerment;security of tenure (land);women";"Land & Gender;Indigenous & Community Land Rights";"2016-12-31";"2022-12-31";"USD";"12300000";"12300000";"";"";"";"German Federal Ministry for Economic Cooperation and Development";"KFW";"Global Donor Platform for Rural Development"
"MOD:1069";"Kosovo address signalization";"To support the establishment of a comprehensive public registry at the Civil Registration Authority for all addresses of private households and businesses in Kosovo, as well as street adresses for 10-15 municipalities, executed together with the Kosovo Cadastre Agency and in partnership with the EU. The overall project objective is in line with reaching EU standards.";"";"";"XKX";"compensation;eminent domain;eviction;expropriation;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land allocation;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;public ownership;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Investments;Forest Tenure;Indigenous & Community Land Rights;Land & Gender";"2011-01-31";"2017-12-31";"USD";"1724000";"1724000";"http://kartverket.no/en/About-The-Norwegian-Mapping-Authority/Centre-for-Property-Rights-and-Development/Projects-in-Kosovo/";"Helge Onsrud, The Norwegian Mapping Authority <Helge.Onsrud@kartverket.no>";"";"Norwegian Agency for Development Cooperation";"Norwegian Mapping Authority (Kartverket)";"Global Donor Platform for Rural Development"
"MOD:1068";"PAK3004 Institutional cooperation";"This project aims to enhance capacity for dealing with the risk for floods and other natural hazards in Pakistan by producing test data for a small pilot area. The project consists of three components:

1. Procurement of airborne laser scanning and aerial photography, as well as high-resolution satellite images for a pilot area; 
2. Establish capacity at SoP for efficient distribution of geographic information; 
3. Enhance the capacity at SoP to provide training in modern surveying, mapping and geographic information, to its own employees as well as to students from outside";"";"";"PAK";"climate change;eviction;fisheries;forest land;indigenous land rights;indigenous peoples;land access;land acquisitions;land administration;land conflicts;land consolidation;land dispute;land dispute resolution;land distribution;land governance;land investments;land law;land markets;land ownership;land policies;land reform;land rights;land tenure;land tenure systems;land transfers;land use planning;land valuation;legal empowerment;natural disasters;public ownership;security of tenure (land);state property;title deed;women";"Land Conflicts;Land & Gender;Land in Post-Conflict Settings;Land, Climate Change & Environment;Land & Investments;Forest Tenure;Indigenous & Community Land Rights";"2014-01-31";"2017-09-30";"USD";"1928000";"1928000";"http://kartverket.no/en/About-The-Norwegian-Mapping-Authority/Centre-for-Property-Rights-and-Development/Pakistan/";"Helge Onsrud, The Norwegian Mapping Authority, +47 9139 8055 <Helge.Onsrud@kartverket.no>";"";"Norwegian Agency for Development Cooperation";"Norwegian Mapping Authority (Kartverket)";"Global Donor Platform for Rural Development"
"MOD:618";"Harapan Rainforest - Pilot Restoration of a Degraded Forest Ecosystem on Sumatra";"By maintaining and protecting 101,000 ha of rainforest in the provinces of Jambi and South Sumatra, the first areas to be designated for ecosystem restoration in Indonesia, some 15.2 million tonnes of CO2 are to be securely stored over a 30-year period to serve as a model for how inactive production forest licences can be applied to a further 24 million ha of rainforest. The project calls for measures for example to combat the causes of deforestation and forest degradation, restore forest regions, develop an REDD strategy for Indonesia and other areas of rainforest around the globe and integrate biodiversity aspects, as well as to ensure the financial sustainability of the initiative.";"";"";"IDN";"area;deforestation";"Land, Climate Change & Environment;Forest Landscape Restoration;Forest Tenure";"2009-10-31";"2013-12-31";"USD";"20000000";"20000000";"http://www.international-climate-initiative.com/de/nc/projekte/weltkarte-und-projektliste/?tx_wiminnoprojektkarte_pi1[pro]=272&t";"Programme Office of the International Climate Initiative, IKI, +49 (0)30 338 424 - 218 <programmbuero@programmbuero-klima.de>";"";"German Federal Ministry for Economic Cooperation and Development";"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH";"Global Donor Platform for Rural Development"
