id,title,description,acronym,start_date,end_date,funding,project_url,countries,donor,related_overarching_categories,related_themes,related_concepts
,Approach to Participatory Management of Natural Resources: Central Asia,"<p>This project aimed to pilot a mechanism for joint management of pasture land resources along the Kyrgyz-Tajik border, including by establishing a Joint Council for Community Management of Land as a reconciliation mechanism with Kyrgyz and Tajik members.</p>",,2009,2010,USD 549289,https://www.land-links.org/project/approach-to-participatory-management-of-natural-resources-central-asia/,TJK;KGZ,USAID,,,
,AgroInvest: Ukraine,"<p>The <b>AgroInvest</b> project aims to accelerate and broaden economic recovery in Ukraine and contribute to global food security efforts by creating a more inclusive and competitive agricultural industry. In particular, AgroInvest is expected to increase awareness among rural landholders and producers of their land rights, facilitate the adoption of legislation needed for agricultural land reform, increase agricultural lending to small and medium producers, establish wholesale and regional markets, and strengthen the capacity of producer organizations and industry associations.</p>",,2011,2016,USD 20600000,https://www.land-links.org/project/agroinvest-ukraine/,UKR,USAID,,Socio-Economic & Institutional Context;Land & Food Security,development;food security;sustainable development
,Arziki Project: Niger,"<p>The main objective of the Niger Food Security Program (NFSP) is to increase food production and incomes, and ensure livelihood protection and health for food insecure farming households through the use of improved agricultural and livestock production technologies, increased market participation, innovative approaches to strengthening the household asset base and provision of safe drinking water.</p>",,2009,2013,,https://www.land-links.org/project/arziki-project-niger/,NER,USAID,,Socio-Economic & Institutional Context;Land & Food Security,development;food security;sustainable development
,Biodiversity Conservation of Public Lands in the Brazilian Amazon,"<p>The <b>Biodiversity Conservation of Public Lands in the Brazilian Amazon</b> project will support the development and implementation of capacity building and technical assistance activities to strengthen conservation and management of biologically significant target areas, representing diverse terrestrial and freshwater ecosystems within public lands and their buffer zones in the western Brazilian Amazon biome, Strengthening the conservation of these target areas, particularly those within geographic regions which are actively exposed to the expansion of economic activities, represents a unique opportunity for USAID to support conservation initiatives that are closely linked to securing sustainable livelihoods and the broader macro-economic, political and social changes that can determine the impact of sustainable development in the Amazon for the years to come.</p>
<h2>Objectives</h2>
<ul>
<li>Ensure the survival of fauna and flora species in the Amazon biome,</li>
<li>Safeguard of traditional and indigenous livelihoods, and</li>
<li>Foster the sustainable provision and management of environmental goods and services.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>The design and implementation of biodiversity monitoring and land management plans for indigenous lands in the Western Amazon region.</li>
<li>Training of indigenous bio monitoring agents, responsible for collection and registration of systematized information related to the flora and fauna census, hunting, fishing, and use of natural resources.</li>
<li>Provided technical assistance to the Surui indigenous people to implement a carbon credit trading plan based on the land management plan for their lands.</li>
</ul>",,2011,2013,USD 5958000,https://www.land-links.org/project/biodiversity-conservation-of-public-lands-in-the-brazilian-amazon/,BRA,USAID,"Land Use, Management & Investment","Land, Climate change & Environment",environment;climate change;sustainable land management;natural resources management
,Property Rights and Artisanal Diamond Development II: Côte d’Ivoire,"<p>The <b>Property Rights and Artisanal Diamond Development (PRADD) II</b> program will build on the successes of the predecessor <a href=""/project/property-rights-and-artisanal-diamond-development-central-african-republic"" target=""_blank"" rel=""noopener"">PRADD</a> project that was implemented under the Property Rights and Resource Governance Task Order. PRADD and PRADD II were developed to support country compliance with the <a href=""http://www.kimberleyprocess.com/"" target=""_blank"" rel=""noopener"">Kimberley Process</a> (KP), “a joint governments, industry and civil society initiative to stem the flow of conflict diamonds – rough diamonds used by rebel movements to finance wars against legitimate governments.”</p>
<p>The overarching goal of PRADD and PRADD II are to increase the percentage of diamonds entering the legal chain of custody, while improving the livelihoods of artisanal diamond mining communities. PRADD II is financed through a Congressional Earmark in support of the Clean Diamond Trade Act and managed by USAID’s Land Tenure and Property Rights Division within the E3 Bureau. The LTPR Division closely coordinates with the US Department of State and US Geological Survey who also provide support to the KPCS.</p>
<p>PRADD II will continue to be a landmark program for the United States Government (USG), the Kimberley Process and the development community at large. PRADD was one of the first and largest development projects concentrated on the Kimberley Process and artisanal diamond mining challenges. Significantly, PRADD has been instrumental in helping the KPCS modify its goals from a narrow focus on traceability, regulation and enforcement systems to a broader focus recognizing the role of economic development in bringing rough diamonds into legitimate chains of custody, and consequently better addressing the challenges of conflict diamonds. This transition is demonstrated by the recent adoption of the <a href=""/sites/default/files/Washington_Declaration_Kimberley_Process_Implementation.pdf"" target=""_blank"" rel=""noopener"">Washington Declaration</a> at the 2012 Kimberley Process Plenary meetings that occurred in November in Washington, DC. Due to the limited number of development institutions and experiences in the artisanal mining sector, PRADD II will continue to test and evaluate approaches to achieving its objectives while also consolidating program successes, to encourage other donors and governments to implement PRADD-type programs to achieve KPCS objectives.</p>
<p><a href=""/project/property-rights-and-artisanal-diamond-development-ii-guinea"" target=""_blank"" rel=""noopener"">PRADD II also operates in Guinea</a>.</p>",,2013,2018,USD 18900000,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-ii-cote-divoire/,CIV,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Bolivia Land Titling Program,"<p><b>The Bolivia Land Titling Program</b> helped Bolivia’s National Agrarian Reform Institute and its Property Registry System to develop a low-cost model to title and register more than 470,000 hectares containing more than 25,000 properties. The activity improved security of property rights and to expanded individual access to land markets and the full benefits of land assets. The project developed and validated a massive low-cost titling process — the results of which are accessible on the Internet — that can be applied throughout the country. Land titling fostered by the project helps farmers receive loans and encourages them to abandon illicit crops, while strengthening government institutions at all levels.</p>",,2003,2008,USD 8968846,https://www.land-links.org/project/bolivia-land-titling-program/,BOL,USAID,,,
,Building Bridges to Peace: Uganda,"<p>This program aimed to address key causes of conflict and engage communities to achieve peace and reconciliation in Kaabong District, Karamoja, where cattle raiding, contested access to natural resources, small arms proliferation, and weak state institutions are among the drivers of conflict. The program strengthened local and district mechanisms for conflict mitigation, encouraged ongoing dialogue and joint monitoring and strengthened livelihoods.</p>",,2009,2011,USD 598204,https://www.land-links.org/project/building-bridges-to-peace-uganda/,UGA,USAID,,Land Conflicts,land conflicts;land governance
,Addressing Biodiversity-Social Conflict in Latin America,"<p>The overall goal of the U.S. Government in providing technical support and training under the <b> Addressing Biodiversity-Social Conflict in Latin America (ABC-LA) </b> program is to improve indigenous/minority community and local/regional governmental capacities to better address conflicts (potential and on-going) in the extractives sector that may negatively impact areas of significant biodiversity, thus leading to greater inclusion of marginalized groups. Inclusion encompasses indigenous/minority communities active participation in the decision making processes of planned, or on-going, extractive enterprises that have the potential to negatively impact their lands, societies, livelihoods, and biodiversity. Enhancing the ability of people, communities, and local/regional governments to address complicated issues surrounding extractive activities directly works towards USAID’s mission to (1) build local sustainability and partnerships, (2) foster innovation, and (3) strengthen USAID’s capacity to deliver results. Extractive activities primarily refer to mining (alluvial and hard-rock) and hydrocarbon enterprises. A key focus of this project will be strengthening organizations, including applied research centers that work on preventing and mitigating conflicts arising over extractive activities. Developing and disseminating applicable tools for improved conflict management is a project priority.</p>
<p>Select South and Central American countries have been identified as priorities for USAID conflict alleviation work in the LA region; this project will therefore focus primarily on these LA sub-regions. During the first two years of project implementation, the project will focus on Guatemala, Colombia and Peru; complementing LA bilateral Mission work in the area of conflict management.</p>",,2013,2015,USD 1300000,https://www.land-links.org/project/addressing-biodiversity-social-conflict-in-latin-america/,GTM;PER,USAID,"Land Use, Management & Investment","Land Conflicts;Land, Climate change & Environment",land conflicts;sustainable land management;climate change;land governance;environment;natural resources management
,Agriculture and Rural Development Support: Ukraine,"<p>The <strong>Agriculture and Rural Development Support (ARDS)</strong> project will support broad-based, resilient economic growth through a more inclusive, competitive, and better governed agriculture sector that provides attractive livelihoods to rural Ukrainians. The project consists of three components:</p>
<ol>
<li>Improve enabling environment and governance of the agricultural sector;</li>
<li>Increase investment, productivity, employment, and incomes in the agricultural sector; and</li>
<li>Improve welfare of rural communities and marginalized producers.</li>
</ol>
<p>ARDS will create a better enabling environment for agricultural small and medium enterprises (SMEs) by strengthening the capacity of the Ministry of Agriculture to implement sector reforms, by developing a transparent legal framework for agricultural land markets, and by implementing reforms that attract irrigation system modernization investments. The Agriculture and Rural Development Support Project will improve agriculture sector competitiveness by supporting agricultural SMEs to introduce international quality and safety standards and take advantage of the trade opportunities available through the EU Deep and Comprehensive Free Trade Agreement (DCFTA). ARDS will support rural development by expanding employment and income opportunities and supporting target rural communities to develop viable economic strategies that stimulate economic growth.</p>",,2016,2020,USD 20600000,https://www.land-links.org/project/agriculture-rural-development-support-ukraine/,UKR,USAID,,Socio-Economic & Institutional Context;Land & Food Security,development;food security;sustainable development
,Capacity Building for Responsible Minerals Trade: Democratic Republic of Congo,"<p>The Great Lakes Region (GLR) and the Democratic Republic of Congo (DRC) are characterized by an abundance of natural resources, including significant deposits of gold, cobalt, copper, diamonds, tantalum, and tin. However, the potential of these resources to contribute to economic growth and sustainable development has remained untapped.</p>
<p>The goal of the <strong>Capacity Building for Responsible Minerals Trade</strong> (CBRMT) project is to strengthen the capacity of the Democratic Republic of Congo and regional institutions to transparently regulate a critical mass of the trade in strategic minerals in eastern DRC in order to transform the region’s mineral wealth into economic growth and development. The project supports programming in responsible mineral access, trade, and chain of custody related tin, tantalum, tungsten, (3Ts) and gold. The project is implemented in three locations with a headquarters in Kinshasa, an Eastern Congo field office in Goma supervising the conflict free minerals trade, and an office in Bujumbura, Burundi, the headquarters of the International Council on the Great Lakes (ICGLR). Partners include Pact and RESOLVE, as well as a number of Congolese organizations dedicated to the responsible minerals trade.</p>
<h2>Objectives</h2>
<ul>
<li>Improve the Legal and policy framework for mining sector in the GDRC</li>
<li>Strengthen the capacity of key actors in conflict-free minerals supply chain in the GDRC at national, regional and private sector levels</li>
<li>Assess the efficacy of conflict-free mineral certification and traceability systems, and scale up systems for the 3Ts and Gold</li>
<li>Improve credibility and capacity of the International Conference on the Great Lakes Region and in particular it independent mineral chain auditing capabilities</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Improved legal and policy framework for the GDRC mining sector with respect to artisanal and small-scale mining an public private partnerships that can support it</li>
<li>Capacity of key actors in conflict free minerals supply chain developed to enable transparent monitoring of operations, increased incomes for artisanal miners and exporters, and increased revenue for GDRC</li>
<li>Conflict free mineral certification and traceability systems scaled up to mitigate the impact of smuggling and insecurity in at least 250-400 more mine sites</li>
<li>International Conference on the Great Lakes Region credibility and capacity improved to participate and audit membership compliance with conflict free mineral certification and traceability systems</li>
</ul>",,2014,2015,USD 5759101,https://www.land-links.org/project/capacity-building-for-responsible-minerals-trade-democratic-republic-of-congo/,COD,USAID,,,
